,종목명,회계년,유동자산(천원),총자산(천원),부채비율(%),차입금의존도(%),자기자본비율(%),재고자산(천원),매출채권(천원),매입채무(천원),단기차입금(천원)
55,CS홀딩스,2011,63374674.0,188753459.0,15.95,1.0,86.25,13961828.0,13217670.0,10083176.0,1883258.0
56,CS홀딩스,2012,97062887.0,218181889.0,13.95,0.6,87.76,32228761.0,16243461.0,10118367.0,1302286.0
57,CS홀딩스,2013,112551373.0,233929444.0,14.78,0.54,87.12,28262406.0,17497044.0,9877387.0,1266127.0
58,CS홀딩스,2014,134005482.0,260355830.0,16.03,2.19,86.19,31038640.0,18703820.0,7946072.0,5690628.0
59,CS홀딩스,2015,169849722.0,284933124.0,15.89,3.08,86.29,27181427.0,16612598.0,8250581.0,8788722.0
60,CS홀딩스,2016,178709509.0,293927435.0,12.23,2.47,89.10,25159620.0,16277541.0,7719952.0,7245393.0
61,CS홀딩스,2017,185548205.0,302433875.0,12.25,2.71,89.09,24922098.0,15343325.0,6307315.0,8183395.0
62,CS홀딩스,2018,188480772.0,304418193.0,10.80,1.7,90.26,27903005.0,17192582.0,6442452.0,5190082.0
63,DB,2010,125020898.0,679304595.0,129.61,34.94,43.55,15963174.0,72533588.0,68197566.0,56684725.0
64,DB,2011,133657144.0,686746431.0,167.70,41.83,37.36,9092461.0,87399035.0,70687262.0,58523015.0
65,DB,2012,186427965.0,693327543.0,134.28,36.14,42.68,10977785.0,105294464.0,92814193.0,65205472.0
66,DB,2013,186036732.0,638356756.0,159.20,40.08,38.58,12021095.0,131588822.0,102350903.0,39504796.0
67,DB,2014,137506858.0,365853366.0,231.84,35.36,30.13,10136177.0,42066264.0,44864634.0,28337977.0
68,DB,2015,182404085.0,276200611.0,66.56,15.37,60.04,1929080.0,31545791.0,29235219.0,6316671.0
69,DB,2016,54657980.0,214971054.0,41.85,11.21,70.50,4889026.0,31510231.0,20881411.0,2713849.0
70,DB,2017,64597177.0,197512862.0,41.95,7.23,70.45,5440698.0,34091442.0,16311586.0,5455920.0
71,DB,2018,83654778.0,288416201.0,109.65,35.23,47.70,8353681.0,30551958.0,13110997.0,63687.0
72,DB하이텍,2010,311090151.0,1381251114.0,247.03,56.82,28.82,79723938.0,102333154.0,30639171.0,5000152.0
73,DB하이텍,2011,279725558.0,1199043869.0,289.22,59.0,25.69,77112663.0,78003676.0,23196334.0,5398046.0
74,DB하이텍,2012,309144147.0,1157755031.0,298.00,58.88,25.13,79262392.0,68299932.0,17740927.0,5141640.0
75,DB하이텍,2013,222960700.0,1058391832.0,416.90,62.57,19.35,72377687.0,59216339.0,29717748.0,6452198.0
76,DB하이텍,2014,247582371.0,984876636.0,715.95,66.85,12.26,69179569.0,81730237.0,36235325.0,7547467.0
77,DB하이텍,2015,337757266.0,984643712.0,287.57,53.39,25.80,83459568.0,92048122.0,44271640.0,5218482.0
78,DB하이텍,2016,368924211.0,986788572.0,188.60,42.8,34.65,76344778.0,110259838.0,44199479.0,15253525.0
79,DB하이텍,2017,353662841.0,993950720.0,118.07,35.77,45.86,75018890.0,85706099.0,33883223.0,11286143.0
80,DB하이텍,2018,383378937.0,1066533840.0,91.00,28.6,52.36,42891649.0,98855166.0,36469258.0,15890934.0
81,DI동일,2010,303371090.0,947732235.0,61.23,0.0,62.02,136280210.0,79309250.0,40781287.0,0.0
82,DI동일,2011,330103837.0,976868870.0,66.59,0.0,60.03,173029975.0,86897917.0,54571720.0,0.0
83,DI동일,2012,286965008.0,919993876.0,63.96,21.74,60.99,147818966.0,82327186.0,41424165.0,172796162.0
