,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율
17,BGF리테일,유통업,A282330,12,2021,Annual,2596378757,808328772,73163134,108457563,614077693,2596378757,1787059387,1016456192,504242443,6090000,1092034,809319369,6781161259,5604063733,199441704,3439000,3879000,147642852,538147660,-239089232,-268623346,31.17,27.84,220.81,89.33,82.64,19.61,2.94,199441703.7,17.36,9.49780898,-2.503642197,3.825282838,9.49780898,6.732060714,1.301891751,16.143363,9.704994223,22.95714285,20.31727453,6.072084075,-10.23861299,2.611776591,8.378844642,3.794592003
18,BGF리테일,유통업,A282330,12,2022,Annual,2946235272,889900434,127653657,124841356,690462607,2946235272,1983607628,1102246622,524159150,12290000,0,962627644,7615769468,6229570187,252407574,3894000,4743000,193538863,630424676,-98479902,-317632967,32.67,27.67,206.06,84.69,81.8,21.84,3.31,252407573.6,18.2,13.4747873,10.09139657,12.43896576,13.4747873,10.99841686,8.440150267,18.94286494,12.30774755,26.55706853,31.0858334,17.14715549,-58.81039845,2.584915584,7.911438567,3.839352784
19,BGF리테일,유통업,A282330,12,2023,Annual,3219078523,978981169,179672894,176968203,776433425,3219078523,2144625475,1191297911,545113743,10690000,0,1074453048,8194753979,6671994182,253187754,4497000,4477000,195844952,647081048,-244136780,-369214702,33.38,27.66,199.6,82.86,81.42,19.23,3.09,253187753.6,18.58,9.260742127,10.01019121,12.451191,9.260742127,8.117424269,8.079071165,11.61668322,7.602442714,0.309095321,1.19153795,2.64208757,147.9051817,2.545683158,7.626907471,3.821065298
21,BYC,섬유의복,A001460,12,2020,Annual,679134864,116356314,4338337,34704886,61432622,679134864,226466839,121169201,3752236,38809978,45500000,452668025,161863377,93110794,22940934,0,1088113,18285122,35408711,26188307,-31102656,66.65,15.73,50.03,23.61,57.52,4.12,14.17,22940934,42.48,-2.125429233,-1.661207462,-10.93173563,-2.125429233,-12.74816865,10.77858513,4.222751942,-5.115012468,-1.935364015,-34.20002555,89.18953244,-37.56374679,0.238337605,0.357576343,0.714733237
22,BYC,섬유의복,A001460,12,2021,Annual,684434512,133338984,4923098,30955006,69036987,684434512,202622248,130677557,3855973,28227391,0,481812265,164445894,94549165,26711346,0,1006645,29855489,35707429,3766575,-33059365,70.4,10.81,42.05,15.35,57.5,6.39,16.24,26711346.47,42.5,0.780352811,14.59540047,12.37838261,0.780352811,-10.52895475,7.847172319,6.438325305,1.595491857,16.43530294,63.27749413,0.843628564,-85.61734059,0.240265345,0.34130699,0.811588538
23,BYC,섬유의복,A001460,12,2022,Annual,668872026,120182142,4897177,38420150,77727018,668872026,153134740,79177004,3177671,28274737,0,515737286,169680337,97946674,25326353,0,1092184,35286502,10468407,43321939,-50413187,77.11,4.25,29.69,5.51,57.72,7.07,14.93,25326353.05,42.28,-2.273772834,-9.867213327,12.58750038,-2.273772834,-24.42353122,-39.41040388,7.041128561,3.183079171,-5.185036351,18.19100334,-70.68283186,1050.167964,0.253681318,0.329005371,1.108046006
24,BYC,섬유의복,A001460,12,2023,Annual,685663060,113987958,5770897,39594952,105219092,685663060,150742490,51122092,4223069,8389553,20000000,534920570,168401524,95788699,27498394,0,1232948,23666593,30311997,-72664318,-2913565,78.02,4.26,28.18,5.46,56.88,4.51,16.33,27498394.28,43.12,2.510350762,-5.153997006,35.37003568,2.510350762,-1.562186346,-35.43315683,3.719584471,-0.753660101,8.576209137,-32.93018106,189.5569211,-267.7309919,0.245603903,0.314815944,1.117147023
26,CJ,기타금융,A001040,12,2020,Annual,40024965069,11118109484,3320554672,2238146145,13002525157,40024965069,24628738994,11422602369,2368251431,3092611322,3065207901,15396226075,31999102947,23391528118,1390340166,48479143,601305321,204007798,3032814780,-1443779122,-537230169,38.47,40.38,159.97,104.98,73.1,1.36,4.34,1390340166,26.9,-0.882584151,-0.310138391,-3.807998893,-0.882584151,-4.414842496,-7.017473334,5.344759497,-5.271223151,-7.872908712,-37.00406886,-21.52271496,-70.5093667,0.799478598,2.078373154,1.299258681
27,CJ,기타금융,A001040,12,2021,Annual,41955995804,12052390290,3640572265,2735868912,13453497278,41955995804,25492465688,12546083570,2760881123,3205342324,2467662370,16463530116,34484026554,24787913920,1881800099,57521423,739305175,806961658,3353190728,-1623491611,-1230196115,39.24,39.8,154.84,101.44,71.88,5.07,5.46,1881800099,28.12,4.824565697,8.403234447,3.468342615,4.824565697,3.506987078,9.83559757,6.932244537,7.765603964,35.34817917,295.5543199,10.56365031,12.44736721,0.821909381,2.094570624,1.352714444
28,CJ,기타금융,A001040,12,2022,Annual,48240408307,15173652714,4406167598,3707465503,14277413784,48240408307,30506774819,16950325414,3356993821,5714650512,2382867707,17733633488,40924879773,29696090453,2154201790,78599980,856720208,686845690,4044985960,-4610826113,1379245056,36.76,41.18,172.03,112.03,72.56,4.02,5.26,2154201790,27.44,14.97858025,25.8974556,6.124180865,14.97858025,19.66976907,35.10451544,7.714647849,18.67778755,14.47559128,-14.88496595,20.63095386,184.0067717,0.848352682,2.307754911,1.341501356
