종목코드,종목명,결산월,회계년,주기,총자산(천원),유동자산(천원),재고자산(천원),부채및자본총계(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),매출액(천원),연구개발비(천원),광고선전비(천원),영업이익(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),매출채권(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),유보율(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자산증가율(전년동기)(%),*매출원가율(%),ROE(당기순이익)(%),총자본회전율(회),총부채회전율(회),총자산회전율(회),영업이익률(%),EBIT(천원),당기순이익률(%),매출총이익률(%),유형자산증가율(전년동기)(%)
A282330,BGF리테일,12,2024,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A138930,BNK금융지주,12,2010,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A138930,BNK금융지주,12,2011,Annual,"39,358,672,618",,,"39,358,672,618",,,,"1,845,025,723",0,"13,396,000","536,277,321","400,296,028","34,901,431","130,075,949","455,791,135",,7.51,20.98,"1,231.96",279.40,205.78,,,,,26.84,,,,,17.54,"536,277,321",13.09,33.51,
A138930,BNK금융지주,12,2012,Annual,"43,163,255,892",,,"43,163,255,892",,,,"2,165,443,480",0,"16,690,000","493,613,471","365,873,516","-931,685,189","675,444,686","-120,776,469",,7.56,19.15,"1,223.39",253.46,237.49,17.37,-7.96,-8.60,9.67,33.39,11.77,0.99,0.08,0.07,16.12,"493,613,471",11.95,37.33,0.92
A138930,BNK금융지주,12,2013,Annual,"46,916,890,811",,,"46,916,890,811",,,,"2,117,574,024",0,0,"412,738,282","305,522,081","-794,301,716","-375,207,771","930,576,943",,7.67,19.27,"1,202.93",251.04,262.09,-2.21,-16.38,-16.50,8.70,30.45,8.90,0.92,0.08,0.07,13.05,"412,738,282",9.66,36.50,22.16
A138930,BNK금융지주,12,2014,Annual,"84,050,063,927",,,"84,050,063,927",,,,"2,495,772,999",0,0,"941,140,229","819,668,197","-130,549,478","-1,237,468,527","1,366,428,865",,6.50,16.59,"1,438.27",255.18,306.66,17.86,128.02,168.28,79.15,23.31,18.08,1.01,0.08,0.07,20.53,"941,140,229",17.88,31.14,55.96
A138930,BNK금융지주,12,2015,Annual,"90,279,548,107",,,"90,279,548,107",,,,"3,319,185,191",0,0,"696,176,311","530,471,201","746,420,688","-855,488,549","436,095,462",,6.86,15.69,"1,358.31",228.86,359.99,32.99,-26.03,-35.28,7.41,24.84,9.10,0.89,0.06,0.06,13.46,"696,176,311",10.25,39.31,0.32
A138930,BNK금융지주,12,2016,Annual,"93,482,189,322",,,"93,482,189,322",,,,"3,256,535,300",0,0,"712,280,656","518,114,402","-1,125,805,874","-371,881,886","1,197,840,458",,7.58,15.93,"1,219.04",210.17,316.21,-1.89,2.31,-2.33,3.55,22.72,7.80,0.74,0.06,0.05,14.50,"712,280,656",10.55,43.57,0.64
A138930,BNK금융지주,12,2017,Annual,"94,349,977,199",,,"94,349,977,199",,,,"3,353,377,247",0,0,"594,323,666","424,964,047","1,530,250,471","-427,306,521","-931,953,074",,8.11,14.74,"1,132.36",181.67,333.08,2.97,-16.56,-17.98,0.93,22.30,5.76,0.65,0.06,0.05,12.36,"594,323,666",8.84,47.42,6.82
A138930,BNK금융지주,12,2018,Annual,"98,793,581,957",,,"98,793,581,957",,,,"3,628,802,880",0,0,"749,833,212","538,140,849","354,436,107","-853,811,627","636,379,667",,8.53,14.35,"1,072.63",168.27,368.02,8.21,26.17,26.63,4.71,25.21,6.69,0.63,0.06,0.05,14.71,"749,833,212",10.55,45.96,3.73
