,종목명,회계년,총자산(천원),EBIT(천원),총차입금(천원)
203,HJ중공업,2015,"5,754,767,000","-223,360,000","660,354,000628,609,000"
204,HJ중공업,2016,"5,278,868,000","-79,319,000","514,563,0001,269,833,000"
205,HJ중공업,2017,"4,206,655,000","-1,926,000","243,789,00082,638,000"
206,HJ중공업,2018,"2,733,620,000","61,676,000","104,816,0001,071,786,000"
207,HLB글로벌,2010,"85,364,497","548,624","16,269,4505,817,135"
208,HLB글로벌,2011,"71,972,091","-2,385,426","15,591,4673,983,043"
209,HLB글로벌,2012,"65,291,329","-3,772,963","14,980,0005,859,121"
210,HLB글로벌,2013,"58,528,489","-3,167,609","17,244,8506,315,555"
211,HLB글로벌,2014,"56,795,640","-186,541","18,161,7145,321,765"
212,HLB글로벌,2015,"58,354,657","1,249,783","7,564,8500"
213,HLB글로벌,2016,"57,821,449","2,060,942",00
214,HLB글로벌,2017,"74,925,487","-467,593",00
215,HLB글로벌,2018,"159,993,622","-4,041,551","254,610400,000"
216,HMM,2010,"8,872,377,000","570,157,000","14,575,0002,263,903,000"
217,HMM,2011,"8,799,439,000","-357,397,000","89,957,0002,904,082,000"
218,HMM,2012,"8,982,427,000","-509,616,000","127,108,0003,279,958,000"
219,HMM,2013,"8,842,585,000","-362,662,000","284,362,0002,688,920,000"
220,HMM,2014,"7,265,782,000","-235,027,000","527,496,0001,848,417,000"
221,HMM,2015,"5,942,501,000","-279,327,000","681,527,0001,728,358,000"
222,HMM,2016,"4,398,098,000","-833,391,000","01,673,470,000"
223,HMM,2017,"3,602,418,000","-406,780,000","01,109,987,000"
224,HMM,2018,"4,121,440,000","-558,656,000","0430,009,000"
225,HS애드,2010,"318,191,368","10,874,010","341,6700"
226,HS애드,2011,"366,689,626","13,557,411","1,156,484579,772"
227,HS애드,2012,"363,912,590","15,107,915","2,198,4780"
228,HS애드,2013,"408,525,165","16,133,938","12,672,6080"
229,HS애드,2014,"398,436,358","12,839,343","3,825,9380"
230,HS애드,2015,"482,838,658","13,807,787","10,631,1000"
231,HS애드,2016,"507,061,896","19,588,688","4,661,5700"
232,HS애드,2017,"603,730,627","19,713,358","4,698,01210,000"
233,HS애드,2018,"632,827,969","25,412,263","9,863,9800"
234,IHQ,2010,"43,666,536","-2,940,703","7,350,0000"
235,IHQ,2011,"56,076,290","2,812","2,263,9180"
236,IHQ,2012,"45,827,243","2,258,033",00
237,IHQ,2013,"81,340,956","-426,357",00
238,IHQ,2014,"103,486,906","10,840,014","5,500,0000"
239,IHQ,2015,"255,675,961","7,366,386","5,500,0000"
240,IHQ,2016,"256,634,714","11,222,960","2,000,0000"
241,IHQ,2017,"255,079,898","15,347,229",00
242,IHQ,2018,"231,274,872","9,928,069",00
243,JW중외제약,2010,"636,143,636","25,686,135","158,343,46578,954,000"
244,JW중외제약,2011,"667,091,705","17,529,577","179,389,269105,041,604"
245,JW중외제약,2012,"603,145,264","9,486,065","146,758,47057,787,452"
246,JW중외제약,2013,"589,368,538","25,900,042","199,061,61725,573,300"
247,JW중외제약,2014,"589,243,249","13,233,720","114,717,31760,443,700"
248,JW중외제약,2015,"613,481,028","21,524,771","110,222,58455,653,700"
249,JW중외제약,2016,"651,077,844","24,537,931","91,863,63919,500,000"
250,JW중외제약,2017,"630,873,131","21,718,134","130,878,36813,500,000"
251,JW중외제약,2018,"593,791,187","21,584,083","112,030,9747,500,000"
252,JW홀딩스,2010,"993,627,849","41,009,762","289,948,20294,159,050"
253,JW홀딩스,2011,"1,094,786,336","13,512,064","338,388,238148,093,454"
254,JW홀딩스,2012,"1,077,132,172","3,673,599","324,317,80297,753,029"
255,JW홀딩스,2013,"1,014,442,067","20,419,562","350,584,21679,574,177"
256,JW홀딩스,2014,"1,030,745,502","18,240,840","247,299,658105,219,977"
257,JW홀딩스,2015,"1,082,862,853","33,456,795","264,683,09460,653,700"
258,JW홀딩스,2016,"1,196,629,709","43,348,332","202,124,47064,211,596"
259,JW홀딩스,2017,"1,347,252,529","41,714,523","310,114,02673,556,861"
260,JW홀딩스,2018,"1,275,635,934","33,314,786","243,349,74460,453,695"
