,종목명,회계년,총자산(천원),EBIT(천원),총차입금(천원)
39,DB,2023,"879,384,842","37,022,768","178,096,6610"
40,DB하이텍,2019,"1,088,889,810","181,292,188","30,550,406179,746,294"
41,DB하이텍,2020,"1,178,581,197","239,335,181","15,209,83696,717,358"
42,DB하이텍,2021,"1,549,937,896","399,106,778","33,620,48896,499,920"
43,DB하이텍,2022,"2,142,165,862","761,884,807","26,652,89268,499,960"
44,DB하이텍,2023,"2,043,378,694","265,437,456","13,123,79946,833,320"
45,DRB동일,2019,"745,278,927","26,475,358","115,569,71631,449,063"
46,DRB동일,2020,"776,434,763","21,049,960","146,729,12142,876,808"
47,DRB동일,2021,"831,956,562","577,562","192,711,01423,743,589"
48,DRB동일,2022,"945,238,495","12,110,321","261,081,28940,507,615"
49,DRB동일,2023,"963,651,592","35,845,946","235,490,37739,770,278"
50,DSR제강,2019,"201,633,524","5,203,274","29,493,9671,875,000"
51,DSR제강,2020,"206,252,816","3,534,043","31,229,1780"
52,DSR제강,2021,"241,710,739","4,291,637","54,890,1140"
53,DSR제강,2022,"259,398,157","26,367,414","42,567,7520"
54,DSR제강,2023,"262,988,107","23,494,982","24,624,1230"
55,E1,2019,"3,594,979,133","106,309,925","189,749,644360,144,035"
56,E1,2020,"3,731,448,422","39,530,859","276,666,78521,997,000"
57,E1,2021,"3,999,326,311","5,575,315","283,308,617387,844,343"
58,E1,2022,"4,339,655,186","278,730,692","593,938,668407,931,275"
59,E1,2023,"4,597,407,646","93,175,066","472,923,99018,315,000"
60,GKL,2019,"909,430,532","96,802,634",00
61,GKL,2020,"708,445,969","-88,810,805","11,900,312194,444"
62,GKL,2021,"531,306,108","-145,828,747","027,778"
63,GKL,2022,"609,513,167","-13,917,278",00
64,GKL,2023,"639,368,284","51,017,881",00
65,GS,2019,"24,734,086,000","2,033,142,000","900,493,0002,285,730,000"
66,GS,2020,"24,476,843,000","920,569,000","563,750,0001,967,215,000"
67,GS,2021,"31,191,287,000","2,651,346,000","725,042,0002,485,271,000"
68,GS,2022,"33,922,242,000","5,120,181,000","866,330,0002,506,434,000"
69,GS,2023,"34,448,425,000","3,721,802,000","666,567,0002,022,839,000"
70,GS건설,2019,"13,171,205,734","767,266,689","450,893,0001,187,750,000"
71,GS건설,2020,"13,770,677,889","750,397,846","391,697,0001,459,461,000"
72,GS건설,2021,"15,183,727,265","646,485,539","269,308,0001,722,107,000"
73,GS건설,2022,"16,946,616,697","554,834,831","879,143,0001,847,894,000"
74,GS건설,2023,"17,707,298,538","-387,945,401","1,286,213,0002,467,330,000"
75,GS글로벌,2019,"1,205,244,855","58,277,396","239,599,61412,107,913"
76,GS글로벌,2020,"956,821,701","32,299,929","176,774,3537,000,000"
77,GS글로벌,2021,"1,442,681,821","38,846,703","485,966,7928,000,000"
78,GS글로벌,2022,"1,419,412,958","70,467,604","393,659,6600"
79,GS글로벌,2023,"1,401,098,380","76,519,059","180,771,92514,000,000"
80,JW중외제약,2019,"573,207,865","-19,013,830","117,731,70310,250,000"
81,JW중외제약,2020,"549,085,029","-1,322,982","70,000,0003,750,000"
82,JW중외제약,2021,"633,053,136","31,199,849","81,822,817543,640"
83,JW중외제약,2022,"627,972,755","62,960,871","46,000,0000"
84,JW중외제약,2023,"645,038,796","100,303,770","72,967,85430,000,000"
85,JW홀딩스,2019,"1,226,595,425","6,014,833","274,019,02419,113,183"
86,JW홀딩스,2020,"1,113,573,849","37,328,839","207,392,5459,186,859"
87,JW홀딩스,2021,"1,065,779,475","68,728,819","229,303,78469,475,147"
88,JW홀딩스,2022,"1,157,579,707","103,257,349","181,713,52345,198,776"
89,JW홀딩스,2023,"1,176,266,428","144,899,317","291,190,71420,657,332"
90,KC그린홀딩스,2019,"816,143,779","21,512,406","46,079,45054,847,974"
91,KC그린홀딩스,2020,"776,133,685","-47,920,727","99,255,37475,930,854"
92,KC그린홀딩스,2021,"906,605,618","27,353,738","80,265,32379,681,181"
93,KC그린홀딩스,2022,"792,860,678","11,420,550","105,719,85233,531,936"
94,KC그린홀딩스,2023,"916,578,396","-29,862,667","120,964,75477,502,202"
95,KEC,2019,"334,212,514","-6,954,033","52,685,6100"
96,KEC,2020,"368,345,953","-2,337,589","54,769,3909,000,000"
97,KEC,2021,"400,589,167","26,525,638","49,931,4580"
98,KEC,2022,"401,136,513","18,028,424","43,846,2290"
99,KEC,2023,"447,745,861","-33,000,542","40,570,0800"
100,주성코퍼레이션,2019,"27,113,647","-6,005,088","888,570268,000"
101,주성코퍼레이션,2020,"32,146,507","-4,860,722","7,827,000134,000"
102,주성코퍼레이션,2021,"33,044,553","-1,408,564","3,641,5003,763,100"
103,주성코퍼레이션,2022,"32,951,332","-4,812,464","3,789,0533,171,420"
104,주성코퍼레이션,2023,"34,134,612","-1,335,470","3,641,4812,114,280"
105,KG케미칼,2019,"4,151,542,217","117,974,346","585,671,321775,116,635"
106,KG케미칼,2020,"4,323,538,345","242,958,172","433,027,003873,598,842"
107,KG케미칼,2021,"4,884,892,280","448,184,282","645,873,676851,878,626"
108,KG케미칼,2022,"7,076,647,393","501,083,594","551,370,662654,971,569"
109,KG케미칼,2023,"7,818,145,771","442,583,708","528,923,548664,070,081"
110,KISCO홀딩스,2019,"1,557,313,864","57,567,232","17,972,1897,000,000"
111,KISCO홀딩스,2020,"1,564,589,807","82,681,994","8,994,8834,000,000"
112,KISCO홀딩스,2021,"1,688,093,089","200,741,467","9,071,9352,000,000"
113,KISCO홀딩스,2022,"1,745,832,248","197,916,717","12,476,9350"
114,KISCO홀딩스,2023,"1,802,517,205","149,275,075","12,729,0350"
115,그린케미칼,2019,"186,816,236","7,810,600","39,714,5840"
116,그린케미칼,2020,"176,839,793","14,708,306","24,227,9930"
117,그린케미칼,2021,"211,689,251","20,850,252","38,017,3860"
118,그린케미칼,2022,"196,645,335","17,219,652","35,590,7640"
119,그린케미칼,2023,"201,377,924","4,952,176","46,443,4730"
120,KPX케미칼,2019,"537,885,808","48,429,544","5,578,8800"
121,KPX케미칼,2020,"637,003,840","64,118,011","9,394,5760"
122,KPX케미칼,2021,"777,143,204","44,680,351","87,199,4530"
123,KPX케미칼,2022,"776,778,117","46,513,085","59,500,0006,316,849"
124,KPX케미칼,2023,"822,466,229","58,387,012","59,944,0296,930,399"
125,KPX홀딩스,2019,"1,448,992,400","63,379,134","92,409,41224,379,861"
126,KPX홀딩스,2020,"1,698,659,221","79,113,691","96,014,73533,075,659"
127,KPX홀딩스,2021,"1,814,858,039","54,144,023","172,688,17831,458,985"
128,KPX홀딩스,2022,"1,819,893,803","55,528,883","160,738,87934,983,252"
129,KPX홀딩스,2023,"1,928,646,650","65,375,089","163,591,06643,728,598"
130,KR모터스,2019,"144,081,160","-24,650,440","52,814,7840"
131,KR모터스,2020,"155,873,461","1,219,024","4,008,3370"
132,KR모터스,2021,"168,436,811","-2,697,618","8,515,3330"
133,KR모터스,2022,"149,185,246","-6,234,393","13,372,1760"
134,KR모터스,2023,"138,570,417","-17,856,852","24,469,7740"
135,KSS해운,2019,"957,238,169","52,771,937","55,576,290495,178,629"
136,KSS해운,2020,"1,069,527,678","50,731,188","70,048,400550,583,024"
137,KSS해운,2021,"1,446,228,923","58,089,121","73,404,780682,446,171"
138,KSS해운,2022,"1,659,172,643","69,511,092","87,683,692830,233,122"
139,KSS해운,2023,"1,656,034,880","88,361,347","65,837,529887,542,826"
140,LF,2019,"2,417,125,014","87,533,142","234,488,13044,161,626"
141,LF,2020,"2,479,439,884","77,067,170","291,791,31575,606,758"
142,LF,2021,"2,541,137,895","158,865,864","234,807,20362,699,804"
143,LF,2022,"2,584,040,376","185,160,686","130,709,3272,689,000"
144,LF,2023,"2,755,627,762","57,379,138","232,491,5551,677,000"
145,LG,2019,"22,434,630,000","994,319,000","56,129,00078,790,000"
146,LG,2020,"24,282,268,000","1,586,056,000","49,665,00089,471,000"
147,LG,2021,"25,669,796,000","2,460,104,000","41,453,0002,065,000"
148,LG,2022,"29,633,677,000","1,941,380,000","289,303,000413,000"
149,LG,2023,"30,253,085,000","1,589,013,000","2,565,0000"
150,LG디스플레이,2019,"35,574,563,000","-1,359,382,000","696,793,0008,799,677,000"
151,LG디스플레이,2020,"35,066,012,000","-36,465,000","394,906,0009,019,658,000"
152,LG디스플레이,2021,"38,154,515,000","2,230,608,000","613,733,0007,660,591,000"
153,LG디스플레이,2022,"35,686,019,000","-2,085,047,000","2,578,552,0008,425,195,000"
154,LG디스플레이,2023,"35,759,298,000","-2,510,164,000","1,875,635,00010,230,658,000"
155,LG생활건강,2019,"6,493,669,663","1,176,411,247","287,644,1283,566,080"
156,LG생활건강,2020,"6,801,415,784","1,220,864,731","186,412,98622,801,783"
157,LG생활건강,2021,"7,555,239,418","1,289,630,424","256,676,14617,341,602"
158,LG생활건강,2022,"7,302,929,652","711,122,934","215,544,46914,783,780"
159,LG생활건강,2023,"7,220,285,812","486,981,225","138,182,5101,993,444"
160,LG유플러스,2019,"17,941,050,000","686,244,000","5,000,0001,452,123,000"
161,LG유플러스,2020,"18,350,190,000","886,151,000","50,000,0001,278,125,000"
162,LG유플러스,2021,"19,370,515,000","979,014,000","01,103,125,000"
163,LG유플러스,2022,"19,774,800,000","1,081,260,000","01,215,625,000"
164,LG유플러스,2023,"20,100,605,000","998,031,000","130,000,000703,125,000"
165,LG이노텍,2019,"5,770,780,510","476,352,883","30,409,959920,369,182"
166,LG이노텍,2020,"6,038,600,272","681,019,009","1,213,528701,380,708"
167,LG이노텍,2021,"7,741,352,841","1,264,223,241","1,326,387615,115,344"
168,LG이노텍,2022,"9,793,617,826","1,271,751,532","207,626,593921,935,007"
169,LG이노텍,2023,"11,204,305,524","830,824,123","38,681,9971,496,606,808"
170,LG전자,2019,"44,859,875,000","2,436,139,000","271,541,0003,908,525,000"
171,LG전자,2020,"48,204,227,000","3,905,108,000","196,774,0003,528,600,000"
172,LG전자,2021,"53,481,478,000","4,057,997,000","330,086,0003,142,863,000"
173,LG전자,2022,"55,156,141,000","3,550,972,000","885,911,0004,584,578,000"
174,LG전자,2023,"60,240,793,000","3,549,074,000","707,605,0005,536,626,000"
175,LX하우시스,2019,"2,565,579,000","68,777,000","220,551,00096,389,000"
176,LX하우시스,2020,"2,385,372,000","70,987,000","247,600,000125,790,000"
177,LX하우시스,2021,"2,547,391,000","70,452,000","244,178,00073,855,000"
178,LX하우시스,2022,"2,483,729,000","14,940,000","323,324,000118,019,000"
179,LX하우시스,2023,"2,384,792,000","109,822,000","242,273,00085,788,000"
180,LG화학,2019,"34,024,426,000","825,415,000","771,102,0001,536,821,000"
181,LG화학,2020,"41,388,894,000","1,805,359,000","879,757,0003,131,254,000"
182,LG화학,2021,"51,135,302,000","5,026,370,000","1,688,383,0003,628,563,000"
183,LG화학,2022,"67,973,823,000","2,979,354,000","1,402,367,0005,285,629,000"
184,LG화학,2023,"77,466,694,000","1,852,322,000","1,875,362,0006,330,484,000"
185,LS,2019,"10,763,512,000","269,846,000","1,086,392,000810,697,000"
186,LS,2020,"11,660,540,000","336,561,000","1,244,974,000808,535,000"
187,LS,2021,"12,625,931,000","470,136,000","1,537,208,000622,753,000"
188,LS,2022,"17,257,356,000","560,129,000","3,597,977,000976,955,000"
189,LS,2023,"18,245,954,000","901,702,000","4,004,057,000992,250,000"
190,LS네트웍스,2019,"1,173,590,680","-21,368,358","38,813,956359,382,202"
191,LS네트웍스,2020,"1,228,401,794","-32,273,794","84,935,4400"
192,LS네트웍스,2021,"1,309,373,198","4,309,070","12,832,883367,186,342"
193,LS네트웍스,2022,"1,300,442,455","8,016,375","22,547,380388,632,275"
194,LS네트웍스,2023,"1,309,219,122","11,618,277","16,291,014400,000"
195,MH에탄올,2019,"451,474,451","7,829,103","46,242,62831,219,687"
196,MH에탄올,2020,"449,679,366","15,781,923","44,520,549164,313,891"
197,MH에탄올,2021,"451,460,752","23,335,313","45,807,59624,478,958"
198,MH에탄올,2022,"447,440,404","21,924,889","73,992,274119,332,861"
199,MH에탄올,2023,"445,231,563","18,917,522","72,818,840120,434,457"
200,NAVER,2019,"12,299,527,121","1,155,025,444","509,561,60350,039,880"
201,NAVER,2020,"17,014,238,664","1,215,342,457","481,207,513150,678,259"
202,NAVER,2021,"33,691,006,757","1,325,478,171","461,321,8181,552,014,026"
203,NAVER,2022,"33,899,042,889","1,304,664,411","261,430,486328,034,313"
204,NAVER,2023,"35,737,826,964","1,488,820,270","333,041,315993,600,443"
205,NICE,2019,"2,564,827,369","153,775,897","345,366,143107,223,638"
206,NICE,2020,"2,730,355,253","153,148,432","411,182,854115,989,939"
207,NICE,2021,"3,083,783,180","144,268,812","494,242,265105,333,104"
208,NICE,2022,"3,378,563,521","145,242,619","635,205,408100,269,787"
209,NICE,2023,"3,484,123,286","96,985,265","655,917,99065,312,118"
210,NI스틸,2019,"258,675,167","12,087,846","82,144,38613,798,591"
211,NI스틸,2020,"287,376,146","18,614,457","101,138,09610,373,604"
212,NI스틸,2021,"341,056,807","31,201,432","106,441,46620,410,120"
213,NI스틸,2022,"397,444,643","67,734,933","107,891,74522,510,115"
214,NI스틸,2023,"447,987,063","70,660,873","113,542,25214,333,327"
215,SNT에너지,2019,"333,897,235","17,473,548",00
216,SNT에너지,2020,"335,351,657","23,125,971",00
217,SNT에너지,2021,"332,143,488","13,280,960",00
218,SNT에너지,2022,"429,772,702","3,561,445","050,000,000"
219,SNT에너지,2023,"423,163,460","20,777,121",00
220,SNT모티브,2019,"1,038,905,998","89,214,779",00
221,SNT모티브,2020,"1,092,927,846","89,382,363",00
222,SNT모티브,2021,"1,149,796,359","91,595,252",00
223,SNT모티브,2022,"1,225,486,690","111,925,068",00
224,SNT모티브,2023,"1,211,181,269","116,628,674",00
225,SNT다이내믹스,2019,"841,373,802","19,249,743",00
226,SNT다이내믹스,2020,"833,364,508","13,625,430",00
227,SNT다이내믹스,2021,"879,625,081","20,587,467",00
228,SNT다이내믹스,2022,"930,994,305","25,764,819",00
229,SNT다이내믹스,2023,"1,056,904,317","41,595,970",00
230,SNT홀딩스,2019,"2,236,679,025","126,277,061",00
231,SNT홀딩스,2020,"2,270,485,740","127,086,173",00
232,SNT홀딩스,2021,"2,372,324,440","125,567,102",00
233,SNT홀딩스,2022,"2,558,426,987","144,692,982",00
234,SNT홀딩스,2023,"2,701,797,834","178,996,900",00
235,S-Oil,2019,"16,333,401,000","420,077,000","2,319,738,000719,310,000"
236,S-Oil,2020,"15,690,510,000","-1,099,146,000","1,875,586,0000"
237,S-Oil,2021,"18,693,235,000","2,140,942,000","2,358,921,0000"
238,S-Oil,2022,"19,613,135,000","3,405,166,000","1,939,122,0000"
239,S-Oil,2023,"21,576,123,000","1,354,582,000","2,142,469,000699,707,000"
240,SBS,2019,"1,247,762,888","12,579,354","6,367,9000"
241,SBS,2020,"1,169,090,151","74,511,503",00
242,SBS,2021,"1,462,149,708","172,342,279","2,000,0000"
243,SBS,2022,"1,407,888,697","185,603,490","62,000,00075,222"
244,SBS,2023,"1,346,398,452","58,323,294","51,800,0000"
245,SG세계물산,2019,"287,724,874","109,548","39,839,6140"
246,SG세계물산,2020,"267,195,626","-20,761,643","37,500,5440"
247,SG세계물산,2021,"308,412,903","-4,744,475","38,597,1740"
248,SG세계물산,2022,"303,815,670","7,202,639","35,414,9440"
249,SG세계물산,2023,"303,534,567","1,837,794","40,289,8530"
250,SG글로벌,2019,"204,066,348","4,771,421","24,549,7630"
251,SG글로벌,2020,"198,865,922","4,795,750","18,144,60721,000,000"
252,SG글로벌,2021,"187,021,454","-565,909","1,239,61036,000,000"
253,SG글로벌,2022,"185,935,448","-1,441,947","3,090,2859,000,000"
254,SG글로벌,2023,"198,246,797","6,606,303","17,956,9899,000,000"
255,SH에너지화학,2019,"123,415,832","-3,131,128","3,500,0004,800,000"
256,SH에너지화학,2020,"117,356,594","-7,851,791","3,500,0007,200,000"
257,SH에너지화학,2021,"119,629,058","74,330","3,500,0002,400,000"
258,SH에너지화학,2022,"124,160,292","805,218","3,500,0008,809,000"
259,SH에너지화학,2023,"120,793,105","-4,115,868","3,500,0006,649,000"
260,SIMPAC,2019,"679,145,850","11,141,319","126,700,00068,750"
261,SIMPAC,2020,"737,277,692","7,787,378","142,200,00013,750"
262,SIMPAC,2021,"903,229,593","106,401,536","177,300,0000"
263,SIMPAC,2022,"965,098,439","118,946,231","231,570,0009,000,000"
264,SIMPAC,2023,"1,057,913,470","17,502,289","321,886,5233,000,000"
265,SK,2019,"132,611,423,000","3,735,874,000","5,888,357,0007,237,113,000"
266,SK,2020,"137,667,906,000","-76,894,000","6,201,430,00010,443,923,000"
267,SK,2021,"165,368,363,000","4,859,760,000","7,657,381,00013,377,854,000"
268,SK,2022,"194,505,860,000","8,161,266,000","17,457,297,00017,897,787,000"
269,SK,2023,"206,970,264,000","4,439,340,000","17,388,374,00019,261,397,000"
270,SKC,2019,"3,972,988,752","139,754,996","331,419,151287,051,324"
271,SKC,2020,"5,406,405,841","202,016,696","606,331,7931,201,088,508"
272,SKC,2021,"6,180,132,504","401,454,319","701,350,1091,562,225,015"
273,SKC,2022,"6,393,092,565","186,194,207","1,065,169,8001,800,248,709"
274,SKC,2023,"7,032,322,132","-216,300,855","1,155,758,4581,983,765,749"
275,SK가스,2019,"4,082,417,323","189,578,352","596,602,3655,986,713"
276,SK가스,2020,"4,498,920,424","190,186,856","631,739,647188,071"
277,SK가스,2021,"5,121,535,472","105,462,365","796,493,5180"
278,SK가스,2022,"5,831,776,892","390,470,990","899,681,39846,547,635"
279,SK가스,2023,"6,081,811,411","303,595,469","717,270,001333,373,331"
280,SK네트웍스,2019,"10,138,772,000","109,372,000","934,803,000420,134,000"
281,SK네트웍스,2020,"8,773,482,000","123,949,000","951,202,000462,996,000"
282,SK네트웍스,2021,"9,410,916,000","121,978,000","935,363,000374,582,000"
283,SK네트웍스,2022,"9,499,259,000","177,552,000","924,929,000552,057,000"
284,SK네트웍스,2023,"9,110,359,000","237,283,000","746,507,000692,252,000"
285,SK디스커버리,2019,"5,000,106,972","173,947,882","646,602,36567,931,713"
286,SK디스커버리,2020,"5,621,634,329","172,966,917","706,739,64766,388,071"
287,SK디스커버리,2021,"6,881,873,215","74,366,473","1,244,493,51841,500,000"
288,SK디스커버리,2022,"11,780,098,492","362,228,952","1,644,791,217116,902,834"
289,SK디스커버리,2023,"12,250,710,295","256,702,035","1,319,977,891826,963,097"
290,SK이노베이션,2019,"39,534,500,042","1,113,646,302","1,131,974,1691,667,162,957"
291,SK이노베이션,2020,"38,498,146,106","-2,420,286,372","1,530,278,8332,659,398,397"
292,SK이노베이션,2021,"49,544,942,070","1,741,672,570","864,051,5003,305,841,137"
293,SK이노베이션,2022,"67,218,924,277","3,917,340,789","7,558,575,6964,983,970,000"
294,SK이노베이션,2023,"80,835,513,251","1,286,847,853","8,184,945,8797,710,975,000"
295,SK텔레콤,2019,"45,202,368,000","1,108,177,000","20,603,0001,972,149,000"
296,SK텔레콤,2020,"47,906,957,000","1,248,578,000","109,998,0001,979,261,000"
297,SK텔레콤,2021,"30,911,277,000","1,387,162,000","12,998,000353,122,000"
298,SK텔레콤,2022,"31,308,262,000","1,612,070,000","142,998,000668,125,000"
299,SK텔레콤,2023,"30,119,227,000","1,753,204,000","0315,578,000"
300,SK하이닉스,2019,"65,248,350,000","2,719,179,000","1,168,354,0005,040,371,000"
301,SK하이닉스,2020,"71,173,853,000","5,012,624,000","179,579,0004,526,968,000"
302,SK하이닉스,2021,"96,346,525,000","12,410,340,000","233,199,0007,529,063,000"
303,SK하이닉스,2022,"103,871,512,000","6,809,417,000","3,833,263,0009,073,567,000"
304,SK하이닉스,2023,"100,330,165,000","-7,730,313,000","4,145,647,00010,121,033,000"
305,SPC삼립,2019,"1,196,293,066","46,977,693","113,961,38432,000,000"
306,SPC삼립,2020,"1,181,871,545","51,123,260","157,093,1820"
307,SPC삼립,2021,"1,222,983,111","66,177,208","188,265,00830,000,000"
308,SPC삼립,2022,"1,295,399,586","89,513,471","231,339,14930,000,000"
309,SPC삼립,2023,"1,293,732,305","91,734,323","226,895,4120"
310,STX,2019,"560,107,000","2,790,000","264,271,00038,017,000"
311,STX,2020,"650,840,000","-587,000","277,547,00027,300,000"
312,STX,2021,"676,149,000","9,040,000","252,281,00030,523,000"
313,STX,2022,"741,784,000","-8,827,000","348,729,00027,979,000"
314,STX,2023,"578,680,000","-15,004,000","292,426,0006,953,000"
315,STX엔진,2019,"828,375,562","30,041,305","119,020,559169,971,149"
316,STX엔진,2020,"809,261,679","14,343,662","101,516,656899,300"
317,STX엔진,2021,"837,479,879","3,644,391","257,874,2580"
318,STX엔진,2022,"853,387,673","-8,815,780","237,830,1340"
319,STX엔진,2023,"899,134,400","18,868,404","259,304,3920"
320,STX중공업,2019,"447,548,959","-10,695,549","64,000,0000"
321,STX중공업,2020,"467,363,346","2,319,415","67,856,7300"
322,STX중공업,2021,"430,406,730","-8,032,257","78,390,0370"
323,STX중공업,2022,"416,290,994","11,120,635","80,976,8750"
324,STX중공업,2023,"454,013,908","17,925,000","87,419,6440"
325,TCC스틸,2019,"314,210,087","12,856,170","49,412,4798,063,000"
326,TCC스틸,2020,"306,758,932","970,928","30,931,5076,539,560"
327,TCC스틸,2021,"366,996,615","25,597,716","76,517,9905,162,285"
328,TCC스틸,2022,"507,482,317","43,983,211","112,275,48435,054,894"
329,TCC스틸,2023,"559,737,446","11,250,766","142,521,52063,359,722"
330,WISCOM,2019,"135,113,962","753,480","1,130,0000"
331,WISCOM,2020,"130,666,515","-1,721,061",00
332,WISCOM,2021,"135,283,854","-34,184",00
333,WISCOM,2022,"128,503,266","744,304","3,075,0000"
334,WISCOM,2023,"122,990,007","-2,854,536",00
335,가온전선,2019,"512,573,535","7,118,670","12,125,67131,209,200"
336,가온전선,2020,"542,461,378","12,650,885","30,009,87546,292,000"
337,가온전선,2021,"658,966,429","16,571,778","55,203,21382,423,088"
338,가온전선,2022,"752,332,445","28,462,569","31,136,49866,205,140"
339,가온전선,2023,"801,805,532","43,720,039","60,483,42747,077,400"
340,강남제비스코,2019,"672,270,313","-1,964,062","2,093,9790"
341,강남제비스코,2020,"712,155,829","2,724,672","2,050,60516,000,000"
342,강남제비스코,2021,"904,010,952","-12,719,975","1,979,97950,746,200"
343,강남제비스코,2022,"957,791,315","4,405,119","32,185,90350,554,350"
344,강남제비스코,2023,"985,686,727","23,167,971","47,067,70337,856,250"
345,강원랜드,2019,"4,438,119,306","501,153,152",00
346,강원랜드,2020,"3,641,632,201","-431,583,874",00
347,강원랜드,2021,"3,827,273,464","-52,695,286","04,550,000"
348,강원랜드,2022,"4,167,752,671","217,565,214","04,550,000"
349,강원랜드,2023,"4,448,655,838","282,263,015","03,050,000"
350,갤럭시아에스엠,2019,"28,241,598","-456,437",00
351,갤럭시아에스엠,2020,"28,554,685","1,375,120",00
352,갤럭시아에스엠,2021,"40,900,713","3,452,415",00
353,갤럭시아에스엠,2022,"57,863,012","4,174,665","17,000,0000"
354,갤럭시아에스엠,2023,"90,043,246","4,582,164",00
355,경농,2019,"370,874,091","8,690,743","65,326,30323,600,000"
356,경농,2020,"371,525,656","14,281,977","64,648,9434,500,000"
357,경농,2021,"388,785,779","16,758,990","66,751,8378,500,000"
358,경농,2022,"448,632,689","40,975,102","79,209,74810,138,400"
359,경농,2023,"448,592,734","25,209,888","77,863,8700"
360,경동나비엔,2019,"609,808,343","44,824,995","64,709,26623,688,184"
361,경동나비엔,2020,"734,688,738","67,099,323","98,646,38913,346,619"
362,경동나비엔,2021,"933,884,529","64,295,519","87,570,2786,508,770"
363,경동나비엔,2022,"1,018,019,428","59,770,842","154,745,29826,674,095"
364,경동나비엔,2023,"1,060,557,971","105,910,538","94,313,6656,858,656"
365,경동인베스트,2019,"605,467,383","23,588,309","22,000,00062,256,400"
366,경동인베스트,2020,"589,277,835","20,661,286","22,000,00043,417,590"
367,경동인베스트,2021,"577,693,061","14,097,338","16,000,00035,541,100"
368,경동인베스트,2022,"586,813,598","14,726,809","10,308,78028,677,100"
369,경동인베스트,2023,"606,915,246","21,204,924","11,308,28222,639,020"
370,경방,2019,"1,370,742,491","32,020,530","122,000,203149,162,959"
371,경방,2020,"1,264,902,051","21,853,997","81,277,54234,348,613"
372,경방,2021,"1,270,805,118","53,796,815","114,176,111101,195,365"
373,경방,2022,"1,248,318,314","31,895,306","120,584,376130,000,000"
374,경방,2023,"1,206,860,951","15,968,826","117,604,55130,000,000"
375,경인양행,2019,"472,081,003","23,555,055","140,233,69130,503,057"
376,경인양행,2020,"505,102,151","3,369,847","161,934,89944,110,607"
377,경인양행,2021,"579,492,465","28,354,678","190,433,55343,499,597"
378,경인양행,2022,"548,252,999","28,060,459","155,994,96954,561,591"
