,종목명,업종명,종목코드,결산월,회계년,주기,총자산(천원),유동자산(천원),재고자산(천원),부채및자본총계(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),매출액(천원),연구개발비(천원),광고선전비(천원),영업이익(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),매출채권(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),유보율(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자산증가율(전년동기)(%),*매출원가율(%),ROE(당기순이익)(%),총자본회전율(회),총부채회전율(회),총자산회전율(회),영업이익률(%),EBIT(천원),당기순이익률(%),매출총이익률(%),유형자산증가율(전년동기)(%)
10,BYC,섬유의복,A001460,12,2011,Annual,"477,929,172","147,605,717","127,246,984","477,929,172","8,920,556","36,956,499","49,900,000","202,084,292",0,"2,012,023","36,153,615","27,006,654","24,425,734","-56,802,236","31,778,912","15,509,433",64.61,18.17,54.77,28.13,"7,260.11",-2.09,5.36,24.93,16.55,59.93,9.13,0.68,1.36,0.46,17.89,"36,153,615",13.36,40.07,6.71
11,BYC,섬유의복,A001460,12,2012,Annual,"505,456,934","143,410,428","121,715,226","505,456,934","11,194,876","23,285,699","44,851,433","216,985,677",0,"2,292,302","33,401,881","24,650,594","29,619,439","-26,222,716","-1,907,505","16,007,741",65.95,16.84,51.63,25.54,"7,842.05",7.37,-7.61,-8.72,5.76,62.79,7.68,0.68,1.27,0.44,15.39,"33,401,881",11.36,37.21,15.75
12,BYC,섬유의복,A001460,12,2013,Annual,"525,157,538","76,641,710","60,457,067","525,157,538","7,949,967","18,059,695","27,130,027","182,448,693",0,"1,824,775","25,118,122","15,514,678","38,274,235","-36,977,060","-2,589,990","11,406,882",66.25,15.82,50.94,23.88,"8,191.24",-15.92,-24.80,-37.06,3.90,59.72,4.55,0.54,1.04,0.35,13.77,"25,118,122",8.50,40.28,19.77
13,BYC,섬유의복,A001460,12,2014,Annual,"608,388,101","82,095,340","66,578,997","608,388,101","7,598,875","55,168,746","60,053,467","176,909,795",0,"2,310,122","27,901,295","19,050,210","27,875,362","-85,796,016","57,732,834","10,814,621",60.07,23.31,66.49,38.80,"8,607.91",-3.04,11.08,22.79,15.85,58.13,5.34,0.50,0.84,0.31,15.77,"27,901,295",10.77,41.87,25.79
14,BYC,섬유의복,A001460,12,2015,Annual,"691,464,609","91,849,038","68,567,867","691,464,609","9,433,371","63,286,502","114,077,000","182,195,988",0,"4,142,345","21,130,659","13,158,137","28,069,051","-83,676,887","59,092,255","15,057,363",54.68,29.12,82.87,53.25,"8,910.59",2.99,-24.27,-30.93,13.66,60.98,3.54,0.49,0.66,0.28,11.60,"21,130,659",7.22,39.02,-24.54
15,BYC,섬유의복,A001460,12,2016,Annual,"733,018,518","118,647,018","68,256,885","733,018,518","13,467,742","69,649,468","98,400,000","211,857,618",0,"4,830,726","16,154,497","17,543,266","43,942,199","-37,856,352","18,071,354","15,522,850",53.73,30.07,86.12,55.97,"9,285.29",16.28,-23.55,33.33,6.01,68.13,4.55,0.55,0.65,0.30,7.63,"16,154,497",8.28,31.87,1.22
16,BYC,섬유의복,A001460,12,2017,Annual,"745,823,200","112,685,946","62,400,941","745,823,200","9,084,735","31,636,476","122,500,000","195,815,808",0,"4,708,126","17,207,998","6,190,457","23,542,700","-30,880,876","8,823,245","19,107,107",53.54,30.64,86.76,57.23,"9,416.98",-7.57,6.52,-64.71,1.75,64.58,1.56,0.49,0.57,0.26,8.79,"17,207,998",3.16,35.42,1.41
17,BYC,섬유의복,A001460,12,2018,Annual,"738,431,267","89,810,780","54,609,508","738,431,267","5,113,114","11,537,425","155,000,000","197,864,080",0,"4,646,381","21,346,821","9,092,446","49,052,410","-21,463,281","-20,660,506","6,020,221",55.17,28.31,81.25,51.31,"9,609.16",1.05,24.05,46.88,-0.99,62.69,2.25,0.49,0.58,0.27,10.79,"21,346,821",4.60,37.31,-1.41
18,CJ,기타금융,A001040,12,2010,Annual,"13,800,611,531","4,452,779,399","993,188,483","13,800,611,531","584,595,313","1,736,360,797","539,552,120","11,615,503,495","38,798,488","292,303,726","891,085,415","796,524,863","998,728,956","-234,246,571","-772,824,867","1,171,933,385",43.56,32.67,129.58,74.99,"2,025.61",N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),64.41,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),7.67,"891,085,415",6.86,35.59,N/A(IFRS)
19,CJ,기타금융,A001040,12,2011,Annual,"19,656,075,093","5,923,000,095","1,338,204,012","19,656,075,093","857,107,193","2,763,622,287","1,958,718,876","13,271,073,391","42,322,052","388,718,879","900,591,897","736,148,645","569,688,953","-2,620,795,425","2,281,839,986","1,917,411,377",38.48,39.63,159.86,102.99,"1,968.56",14.25,1.07,-7.58,42.43,65.47,10.85,1.96,1.34,0.79,6.79,"900,591,897",5.55,34.53,48.61
