종목코드,종목명,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),,
A068270,셀트리온,12,2020,Annual,5020121254 ,2516494912 ,1252394564 ,384324661 ,946280260 ,5020121254 ,1592540900 ,1056766921 ,33962627 ,436977488 ,199869876 ,3427580354 ,1849115532 ,821451543 ,718577360 ,171437188 ,5246634 ,525702910 ,350746672 ,(471983443),265988485 ,68.28 ,15.43 ,46.46 ,22.59 ,44.42 ,16.69 ,38.86 ,718577360.00 ,55.58 ,,
A068270,셀트리온,12,2021,Annual,5674122532 ,3074470614 ,1101089342 ,578056854 ,950411764 ,5674122532 ,1623747846 ,1210479664 ,80723080 ,512107570 ,170383137 ,4050374687 ,1893401217 ,805806952 ,744176850 ,125769269 ,12765912 ,595779439 ,911159432 ,(355825397),(69277578),71.38 ,13.12 ,40.09 ,18.38 ,42.56 ,15.93 ,39.30 ,744176850.30 ,57.44 ,,
A068270,셀트리온,12,2022,Annual,5891652311 ,2929792464 ,1621890148 ,616352352 ,1007037655 ,5891652311 ,1617448041 ,1294097736 ,50270474 ,553706634 ,151579926 ,4274204270 ,2283967480 ,1251270175 ,647198175 ,139714341 ,15092917 ,542566233 ,863532 ,(297051208),(350219428),72.55 ,13.45 ,37.84 ,18.54 ,54.78 ,13.04 ,28.34 ,647198174.58 ,45.22 ,,
A068270,셀트리온,12,2023,Annual,19917534297 ,5009357807 ,939169491 ,3041452920 ,1214588075 ,19917534297 ,2791739990 ,2470579211 ,50853304 ,1607610329 ,99133316 ,17125794307 ,2176431531 ,1124562480 ,651481422 ,161112164 ,17331654 ,539706505 ,537158606 ,(138864903),(385114627),85.98 ,9.49 ,16.30 ,11.04 ,51.67 ,5.04 ,29.93 ,651481422.15 ,48.33 ,,
A068270,셀트리온,12,2024,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A005490,POSCO홀딩스,12,2010,Annual,69418425614 ,27672376832 ,8415973000 ,9559206378 ,25437740028 ,69418425614 ,30881258876 ,18276776978 ,3980701314 ,7089185629 ,3353984367 ,38537166738 ,47887255368 ,39722460564 ,5544085023 ,141314000 ,96305000 ,4185651473 ,3582006251 ,(6914820783),4587760734 ,55.51 ,30.51 ,80.13 ,54.96 ,82.95 ,N/A(IFRS),11.58 ,5544085022.86 ,17.05 ,,
A005490,POSCO홀딩스,12,2011,Annual,78408837832 ,33556910427 ,10265421000 ,12283643560 ,28453184150 ,78408837832 ,37678917498 ,19605356852 ,4397278722 ,9572985810 ,4315344496 ,40729920334 ,68938725064 ,59823850489 ,5467693871 ,212472000 ,70939000 ,3714285845 ,1691565433 ,(5516866472),4899885370 ,51.95 ,34.25 ,92.51 ,65.94 ,86.78 ,9.37 ,7.93 ,5467693871.00 ,13.22 ,,
A005490,POSCO홀딩스,12,2012,Annual,79265850804 ,31566116095 ,9865436000 ,10584645685 ,32276379318 ,79265850804 ,36836432389 ,19775000575 ,4389194669 ,7710678000 ,5119427000 ,42429418415 ,63604150874 ,56142892349 ,3653107747 ,192321000 ,55777000 ,2385606843 ,7319456885 ,(6169003105),(907627135),53.53 ,31.50 ,86.82 ,58.85 ,88.27 ,5.74 ,5.74 ,3653107747.00 ,11.73 ,,
A005490,POSCO홀딩스,12,2013,Annual,84455406685 ,31666211066 ,10299825900 ,9798380584 ,35760118644 ,84455406685 ,38633376655 ,20241158836 ,4231322292 ,7356696983 ,6974774671 ,45822030030 ,61864649859 ,55004590605 ,2996133864 ,192805000 ,105663000 ,1355180338 ,4858135043 ,(8751669532),3532335704 ,54.26 ,31.14 ,84.31 ,57.40 ,88.91 ,3.07 ,4.84 ,2996133864.00 ,11.09 ,,
A005490,POSCO홀딩스,12,2014,Annual,85252172613 ,32627381902 ,10814599665 ,10471329728 ,35241195102 ,85252172613 ,39960808435 ,21877008745 ,3950786069 ,9244477381 ,7250451367 ,45291364178 ,65098445304 ,57815040908 ,3213530266 ,175195000 ,104485000 ,556659146 ,3412099310 ,(3745181888),135111808 ,53.13 ,32.23 ,88.23 ,60.66 ,88.81 ,1.22 ,4.94 ,3213530266.00 ,11.19 ,,
A005490,POSCO홀딩스,12,2015,Annual,80408759246 ,29180888772 ,8953245197 ,8225205235 ,34522854931 ,80408759246 ,35338537276 ,20130925777 ,3125347787 ,8415759954 ,6738125430 ,45070221970 ,58192344561 ,51658097330 ,2410042582 ,135508000 ,90698000 ,(96181234),7601828932 ,(4534676340),(2241601331),56.05 ,31.42 ,78.41 ,56.05 ,88.77 ,(0.21),4.14 ,2410042582.00 ,11.23 ,,
A005490,POSCO홀딩스,12,2016,Annual,79762994520 ,29303834312 ,9329798894 ,9051721166 ,33770338871 ,79762994520 ,33924600214 ,18915396087 ,4073285613 ,7979727000 ,6364813005 ,45838394306 ,53083512926 ,46393962164 ,2844324579 ,120608000 ,86141000 ,1048168660 ,5269417624 ,(3754627358),(3950967040),57.47 ,28.61 ,74.01 ,49.78 ,87.40 ,2.31 ,5.36 ,2844324579.00 ,12.60 ,,
A005490,POSCO홀딩스,12,2017,Annual,79024959080 ,31127418057 ,8583310652 ,9950954686 ,31883534695 ,79024959080 ,31560950539 ,18946015814 ,3465146314 ,8174817843 ,4802740000 ,47464008541 ,60655099617 ,52299188579 ,4621833654 ,125795000 ,119724000 ,2973469161 ,5607310244 ,(3817874626),(1565527907),60.06 ,26.77 ,66.49 ,44.57 ,86.22 ,6.37 ,7.62 ,4621833654.00 ,13.78 ,,
A005490,POSCO홀딩스,12,2018,Annual,78248265217 ,33651002030 ,8648249510 ,11499928316 ,30018272832 ,78248265217 ,31488714346 ,18937985495 ,4006134835 ,7487780000 ,4468673000 ,46759550870 ,64977777434 ,57005396339 ,5542599677 ,108352000 ,106875000 ,1892064406 ,5869724524 ,(2647969548),(3195047921),59.76 ,25.95 ,67.34 ,43.42 ,87.73 ,4.02 ,8.53 ,5542599677.00 ,12.27 ,,
A005490,POSCO홀딩스,12,2019,Annual,79058661131 ,34842373722 ,8352968263 ,10920319762 ,29925972800 ,79058661131 ,31263954311 ,16323689975 ,3422922288 ,5486332985 ,3802778499 ,47794706820 ,64366847808 ,58116494432 ,3868854559 ,110315000 ,82574000 ,1982637209 ,6004655015 ,(3682858684),(1512178545),60.45 ,26.71 ,65.41 ,44.18 ,90.29 ,4.19 ,6.01 ,3868854558.55 ,9.71 ,,
A005490,POSCO홀딩스,12,2020,Annual,79086973226 ,35830815053 ,7471915619 ,9051790403 ,29400141332 ,79086973226 ,31412381141 ,16854968423 ,3755512911 ,5194395327 ,3350341693 ,47674592085 ,57792795733 ,53072389982 ,2403035193 ,116273000 ,71743000 ,1788152419 ,8685737216 ,(6259265694),(1090867623),60.28 ,26.85 ,65.89 ,44.55 ,91.83 ,3.75 ,4.16 ,2403035192.91 ,8.17 ,,
