,종목명,회계년,영업활동CF/총자산(%),투자활동CF/총자산(%),재무활동CF/총자산(%)
73,GS건설,2022,-0.04305311868705683,-7.737078116790783,3.6860046295292688
74,GS건설,2023,2.653135485301773,-4.309297030049316,2.8038629265471076
75,GS글로벌,2019,2.7557880759424607,-0.6556288514502723,-1.3538865511274054
76,GS글로벌,2020,12.55931965949422,-0.6820232017292007,-10.226100526120906
77,GS글로벌,2021,-23.863930701044026,0.16432493745271917,21.515284138317288
78,GS글로벌,2022,14.431520076344126,-0.6452969129509666,-7.73760986054067
79,GS글로벌,2023,17.266876006237336,-4.885078234120862,-8.745031023446048
80,JW중외제약,2019,9.687774434148771,-3.8352111585210023,-4.214925243567619
81,JW중외제약,2020,11.483534183191143,-14.465390204619839,-2.5514090277628023
82,JW중외제약,2021,2.8629479848276116,-3.612516975194322,4.296888910759618
83,JW중외제약,2022,9.039315567122017,-3.012735799342123,-5.877238097694223
