,종목명,회계년,총자산증가율(전년동기)(%),유형자산증가율(전년동기)(%),매출액증가율(전년동기)(%),당기순이익(천원)
218,SNT에너지,2022,29.39,23.15,18.58,"18,804,694"
219,SNT에너지,2023,-1.54,-1.35,58.69,"22,727,502"
220,SNT모티브,2019,-13.17,-22.26,6.24,"3,698,578"
221,SNT모티브,2020,5.20,-1.13,-3.64,"54,441,083"
222,SNT모티브,2021,5.20,-1.26,0.11,"80,118,858"
223,SNT모티브,2022,6.58,-0.43,10.95,"87,508,434"
224,SNT모티브,2023,-1.17,-2.48,8.75,"86,980,060"
225,SNT다이내믹스,2019,-0.51,-1.69,-5.34,"16,645,499"
226,SNT다이내믹스,2020,-0.95,-24.32,-19.56,"8,341,660"
227,SNT다이내믹스,2021,5.55,-1.61,11.33,"58,998,656"
228,SNT다이내믹스,2022,5.84,1.40,21.45,"23,006,448"
229,SNT다이내믹스,2023,13.52,4.96,19.10,"49,529,807"
230,SNT홀딩스,2019,5.81,0.21,7.91,"124,509,305"
231,SNT홀딩스,2020,1.51,-10.91,-5.05,"77,889,420"
232,SNT홀딩스,2021,4.49,-1.39,-2.21,"151,814,612"
233,SNT홀딩스,2022,7.84,4.04,16.06,"115,574,756"
234,SNT홀딩스,2023,5.60,0.34,16.34,"164,296,063"
235,S-Oil,2019,2.37,4.09,-4.20,"65,429,000"
236,S-Oil,2020,-3.94,-0.60,-31.01,"-796,108,000"
237,S-Oil,2021,19.14,-5.09,63.19,"1,378,541,000"
238,S-Oil,2022,4.92,0.24,54.55,"2,104,387,000"
239,S-Oil,2023,10.01,16.31,-15.83,"948,848,000"
240,SBS,2019,30.29,2.62,-10.54,"20,934,115"
241,SBS,2020,-6.31,-4.46,5.22,"-57,790,657"
242,SBS,2021,25.07,-0.25,21.93,"144,824,285"
243,SBS,2022,-3.71,3.92,11.89,"156,555,166"
244,SBS,2023,-4.37,12.45,-15.08,"47,215,006"
245,SG세계물산,2019,-13.96,-8.79,-23.13,"9,668,209"
246,SG세계물산,2020,-7.14,-84.61,-31.83,"-10,351,536"
247,SG세계물산,2021,15.43,56.14,-19.10,"46,959,185"
248,SG세계물산,2022,-1.49,8.24,18.83,"1,774,226"
249,SG세계물산,2023,-0.09,-1.90,-11.30,"-1,027,345"
250,SG글로벌,2019,2.22,-15.31,-30.85,"753,301"
251,SG글로벌,2020,-2.55,15.59,-8.57,"-2,290,625"
252,SG글로벌,2021,-5.96,34.53,-32.08,"-5,550,660"
253,SG글로벌,2022,-0.58,-6.77,17.12,"-2,445,648"
254,SG글로벌,2023,6.62,4.21,42.74,"20,175,101"
255,SH에너지화학,2019,0.80,10.49,-23.28,"-3,090,151"
256,SH에너지화학,2020,-4.91,10.16,-33.56,"-6,945,600"
257,SH에너지화학,2021,1.94,-6.61,53.62,"342,583"
258,SH에너지화학,2022,3.79,8.48,16.41,"1,832,404"
259,SH에너지화학,2023,-2.71,-5.20,-19.91,"-2,582,297"
260,SIMPAC,2019,-0.38,2.32,40.48,"9,487,516"
261,SIMPAC,2020,8.56,-13.51,-14.93,"34,139,484"
262,SIMPAC,2021,22.51,-2.95,67.55,"90,832,863"
263,SIMPAC,2022,6.85,9.16,9.66,"76,137,344"
264,SIMPAC,2023,9.62,6.61,-9.34,"-6,463,854"
265,SK,2019,11.01,7.84,-2.35,"1,606,039,000"
266,SK,2020,3.81,7.16,-17.37,"-108,432,000"
267,SK,2021,20.12,11.98,20.27,"5,705,926,000"
268,SK,2022,17.62,16.59,35.88,"3,966,176,000"
269,SK,2023,6.41,22.65,-0.64,"-406,387,000"
270,SKC,2019,3.65,6.94,-14.70,"67,392,287"
271,SKC,2020,36.08,8.61,4.44,"73,620,867"
272,SKC,2021,14.31,8.19,-8.18,"342,340,322"
273,SKC,2022,3.45,-23.96,5.41,"-24,636,827"
274,SKC,2023,10.00,40.97,-34.19,"-326,360,017"
275,SK가스,2019,8.70,-5.86,-28.11,"154,118,608"
276,SK가스,2020,10.20,1.29,-10.52,"265,350,075"
277,SK가스,2021,13.84,12.72,47.19,"249,265,885"
278,SK가스,2022,13.87,53.02,24.20,"257,077,748"
279,SK가스,2023,4.29,29.71,-13.31,"316,290,608"
280,SK네트웍스,2019,30.50,-1.70,3.23,"-122,613,000"
281,SK네트웍스,2020,-13.47,-7.59,-18.60,"42,053,000"
282,SK네트웍스,2021,7.27,7.33,3.69,"103,540,000"
283,SK네트웍스,2022,0.94,10.61,-14.45,"90,765,000"
284,SK네트웍스,2023,-4.09,3.57,-3.10,"5,459,000"
285,SK디스커버리,2019,4.05,-9.03,-27.64,"250,196,740"
286,SK디스커버리,2020,12.43,1.19,-9.99,"355,450,020"
287,SK디스커버리,2021,22.42,12.03,46.35,"272,294,791"
288,SK디스커버리,2022,71.18,186.61,31.79,"534,037,723"
289,SK디스커버리,2023,3.99,26.14,2.55,"247,822,244"
290,SK이노베이션,2019,10.27,12.66,-9.06,"65,774,590"
291,SK이노베이션,2020,-2.62,15.96,-29.93,"-2,146,738,601"
292,SK이노베이션,2021,28.69,8.16,35.61,"488,509,884"
293,SK이노베이션,2022,35.67,29.85,66.60,"1,895,179,127"
294,SK이노베이션,2023,20.26,42.74,-0.98,"554,894,277"
295,SK텔레콤,2019,6.69,20.67,5.14,"860,733,000"
296,SK텔레콤,2020,5.98,3.43,-9.32,"1,500,538,000"
297,SK텔레콤,2021,-35.48,-3.78,4.11,"2,418,989,000"
298,SK텔레콤,2022,1.28,3.51,3.32,"947,831,000"
299,SK텔레콤,2023,-3.80,-2.37,1.75,"1,145,937,000"
300,SK하이닉스,2019,2.50,14.30,-33.27,"2,009,078,000"
301,SK하이닉스,2020,9.08,3.21,18.19,"4,758,914,000"
302,SK하이닉스,2021,35.37,29.09,34.79,"9,616,188,000"
303,SK하이닉스,2022,7.81,13.16,3.78,"2,241,669,000"
304,SK하이닉스,2023,-3.41,-12.49,-26.57,"-9,137,547,000"
305,SPC삼립,2019,59.03,131.47,12.57,"20,238,430"
306,SPC삼립,2020,-1.21,-4.54,1.74,"-12,379,925"
307,SPC삼립,2021,3.48,-4.71,15.89,"40,471,829"
308,SPC삼립,2022,5.92,-8.30,12.49,"53,236,797"
309,SPC삼립,2023,-0.13,-6.49,3.58,"50,228,465"
310,STX,2019,1.09,21.60,-2.61,"-33,218,000"
311,STX,2020,16.20,150.16,-33.35,"-9,942,000"
312,STX,2021,3.89,8.66,-5.13,"-23,318,000"
313,STX,2022,9.71,-11.00,5.08,"-18,650,000"
314,STX,2023,-21.99,-6.15,-7.07,"-50,368,000"
315,STX엔진,2019,-4.14,-2.34,5.76,"20,377,063"
316,STX엔진,2020,-2.31,-0.47,-3.92,"20,647,153"
317,STX엔진,2021,3.49,8.40,-15.89,"1,005,292"
318,STX엔진,2022,1.90,-5.85,10.25,"-26,682,910"
319,STX엔진,2023,5.36,-0.28,15.87,"5,684,681"
320,STX중공업,2019,-21.09,-6.97,18.24,"-35,895,797"
321,STX중공업,2020,4.43,41.99,-2.37,"1,103,386"
322,STX중공업,2021,-7.91,-21.55,-44.59,"-7,828,438"
323,STX중공업,2022,-3.28,1.11,29.15,"14,143,937"
324,STX중공업,2023,9.06,-39.45,38.07,"31,641,505"
325,TCC스틸,2019,3.09,6.16,5.81,"5,037,267"
326,TCC스틸,2020,-2.37,3.13,-1.23,"-1,687,460"
327,TCC스틸,2021,19.64,3.58,24.28,"28,723,275"
328,TCC스틸,2022,38.28,92.62,27.53,"29,566,778"
329,TCC스틸,2023,10.30,74.22,-8.77,"-8,293,018"
330,WISCOM,2019,5.73,17.96,3.15,"1,047,442"
331,WISCOM,2020,-3.29,4.10,-11.26,"-1,001,070"
332,WISCOM,2021,3.53,3.86,14.79,"1,211,762"
333,WISCOM,2022,-5.01,-12.57,6.87,"-7,425,222"
334,WISCOM,2023,-4.29,-3.45,-10.63,"-475,565"
335,가온전선,2019,-2.64,2.28,-1.24,"5,462,904"
336,가온전선,2020,5.83,4.72,3.27,"9,505,568"
337,가온전선,2021,21.48,4.32,24.84,"5,854,429"
338,가온전선,2022,14.17,1.05,32.33,"10,463,889"
339,가온전선,2023,6.58,1.78,5.80,"17,898,342"
340,강남제비스코,2019,2.19,3.23,8.31,"17,412,514"
341,강남제비스코,2020,5.93,2.36,2.49,"25,067,504"
342,강남제비스코,2021,26.94,51.40,73.41,"47,442,441"
343,강남제비스코,2022,5.95,1.71,13.91,"11,666,578"
344,강남제비스코,2023,2.91,3.93,-5.11,"21,726,050"
345,강원랜드,2019,4.89,4.30,5.70,"334,653,892"
346,강원랜드,2020,-17.95,-1.55,-68.52,"-275,879,104"
347,강원랜드,2021,5.10,-3.36,64.74,"-10,582,086"
348,강원랜드,2022,8.90,-3.53,61.17,"115,612,768"
349,강원랜드,2023,6.74,-1.87,9.28,"340,880,761"
350,갤럭시아에스엠,2019,-15.07,103.49,30.42,"-1,375,316"
351,갤럭시아에스엠,2020,1.11,442.17,-32.00,"983,909"
352,갤럭시아에스엠,2021,43.24,23.79,47.90,"3,681,735"
353,갤럭시아에스엠,2022,41.47,-50.27,4.13,"4,613,111"
354,갤럭시아에스엠,2023,55.61,173.13,9.49,"2,674,240"
355,경농,2019,3.81,-2.24,6.99,"4,014,664"
356,경농,2020,0.18,-2.11,9.14,"13,294,936"
357,경농,2021,4.65,2.32,8.85,"16,107,580"
358,경농,2022,15.39,4.31,33.79,"30,880,493"
359,경농,2023,-0.01,-2.61,-3.93,"15,126,191"
360,경동나비엔,2019,4.49,11.97,6.54,"27,852,090"
361,경동나비엔,2020,20.48,9.01,12.80,"41,637,325"
362,경동나비엔,2021,27.11,19.47,26.28,"80,657,673"
363,경동나비엔,2022,9.01,4.32,5.25,"53,582,342"
364,경동나비엔,2023,4.18,4.13,3.74,"83,148,711"
365,경동인베스트,2019,0.89,-8.73,18.85,"8,856,009"
366,경동인베스트,2020,-2.67,-15.34,14.27,"16,483,709"
367,경동인베스트,2021,-1.97,-6.62,-3.89,"13,891,393"
368,경동인베스트,2022,1.58,-1.03,-7.68,"9,356,776"
369,경동인베스트,2023,3.43,22.57,13.43,"20,189,917"
370,경방,2019,5.30,-49.03,-2.15,"43,621,631"
371,경방,2020,-7.72,-8.34,-4.27,"13,025,703"
372,경방,2021,0.47,-9.14,16.44,"22,281,880"
373,경방,2022,-1.77,166.92,1.53,"4,415,250"
374,경방,2023,-3.32,-10.81,1.10,"-13,452,219"
375,경인양행,2019,14.31,24.93,8.37,"16,372,880"
376,경인양행,2020,6.99,11.44,-8.22,"-7,581,553"
377,경인양행,2021,14.73,5.75,22.48,"27,210,075"
378,경인양행,2022,-5.39,13.00,-0.17,"17,240,723"
379,경인양행,2023,-1.70,-0.25,-14.21,"-9,742,505"
380,경인전자,2019,-0.95,-12.53,-27.92,"243,036"
381,경인전자,2020,1.70,-7.34,56.23,"1,350,533"
382,경인전자,2021,13.92,14.03,31.71,"3,699,859"
383,경인전자,2022,3.79,2.46,-26.77,"2,707,450"
384,경인전자,2023,9.86,-4.12,5.38,"5,784,797"
385,계룡건설,2019,16.13,12.30,-0.74,"74,556,838"
386,계룡건설,2020,3.28,-2.38,-3.33,"95,413,721"
387,계룡건설,2021,12.40,2.04,16.45,"156,417,920"
388,계룡건설,2022,10.01,0.77,15.14,"60,339,312"
389,계룡건설,2023,6.52,-2.36,0.93,"51,924,199"
390,계양전기,2019,3.06,-1.82,2.73,"-2,538,605"
391,계양전기,2020,4.43,-6.95,1.24,"9,385,033"
392,계양전기,2021,-3.11,-7.07,0.13,"-6,211,394"
393,계양전기,2022,4.39,-46.92,-3.97,"-24,539,071"
394,계양전기,2023,-22.01,10.69,4.54,"-1,264,724"
395,고려산업,2019,-3.34,1.51,21.48,"4,728,661"
396,고려산업,2020,4.89,4.14,-1.01,"6,765,682"
397,고려산업,2021,10.17,8.59,12.06,"4,520,565"
398,고려산업,2022,15.13,14.52,30.39,"417,869"
399,고려산업,2023,1.17,-15.12,14.62,"3,135,897"
400,고려아연,2019,8.51,4.15,-2.74,"638,613,352"
401,고려아연,2020,8.41,10.11,13.25,"574,828,671"
402,고려아연,2021,17.23,8.29,31.59,"811,106,029"
403,고려아연,2022,21.42,6.80,12.45,"798,264,387"
404,고려아연,2023,-0.43,4.73,-13.50,"533,378,688"
405,고려제강,2019,-1.71,1.35,3.96,"-4,214,666"
406,고려제강,2020,-4.30,-8.13,-14.78,"2,725,914"
407,고려제강,2021,10.18,-5.27,21.04,"133,312,252"
408,고려제강,2022,2.36,-5.00,22.54,"92,322,770"
409,고려제강,2023,-3.22,-4.81,-13.69,"64,526,770"
410,광동제약,2019,8.29,-18.96,4.92,"22,655,802"
411,광동제약,2020,4.78,-9.53,0.45,"45,601,967"
412,광동제약,2021,6.40,10.69,7.59,"25,540,745"
413,광동제약,2022,5.45,11.25,6.98,"26,700,699"
414,광동제약,2023,15.67,38.36,5.79,"39,371,763"
415,광명전기,2019,3.22,-33.30,17.15,"7,118,200"
416,광명전기,2020,5.85,12.04,-6.31,"4,529,827"
417,광명전기,2021,2.44,-1.34,10.96,"5,858,898"
418,광명전기,2022,1.33,16.61,0.84,"5,635,248"
419,광명전기,2023,8.79,11.60,16.62,"10,638,414"
420,광전자,2019,-0.70,-4.03,-6.07,"3,363,538"
421,광전자,2020,-6.50,-9.28,-9.63,"-16,332,832"
422,광전자,2021,-1.81,-4.78,15.72,"10,469,916"
