,종목명,회계년,총자산(천원),*매출원가율(%),당기순이익(천원),영업이익률(%),매출총이익률(%),ROE(당기순이익)(%),당기순이익률(%),매출액(천원),총자산순이익률(%)
75,GS글로벌,2019,1205244855.0,96.2,-16661330.0,1.50,3.8,-4.26,-0.43,3889400298.0,322.7062353234439
76,GS글로벌,2020,956821701.0,95.66,-82139431.0,1.15,4.34,-24.20,-2.92,2815020979.0,294.2053860252068
77,GS글로벌,2021,1442681821.0,96.49,22028008.0,1.01,3.51,6.87,0.57,3849040520.0,266.79760318404954
78,GS글로벌,2022,1419412958.0,96.35,68061370.0,1.39,3.65,18.17,1.34,5070923117.0,357.25495448097774
79,GS글로벌,2023,1401098380.0,94.83,26078651.0,1.95,5.17,6.10,0.67,3916492567.0,279.5301616864335
80,JW중외제약,2019,573207865.0,68.49,-25275016.0,-3.72,31.51,-10.31,-4.94,511335343.0,89.20591886854169
81,JW중외제약,2020,549085029.0,67.57,-15275471.0,-0.24,32.43,-6.98,-2.79,547335708.0,99.68141163797785
82,JW중외제약,2021,633053136.0,61.36,-1441453.0,5.14,38.64,-0.73,-0.24,606584945.0,95.81896218582196
83,JW중외제약,2022,627972755.0,57.92,29852560.0,9.20,42.08,14.41,4.36,684351099.0,108.9778328042273
84,JW중외제약,2023,645038796.0,55.17,38430260.0,13.40,44.83,15.65,5.13,748526708.0,116.04367251113375
85,JW홀딩스,2019,1226595425.0,60.63,-27869132.0,0.83,39.37,-7.57,-3.83,728081859.0,59.357946732925406
86,JW홀딩스,2020,1113573849.0,60.68,3385180.0,4.78,39.32,1.03,0.43,781514840.0,70.18078241526665
87,JW홀딩스,2021,1065779475.0,56.37,4434634.0,8.71,43.63,1.41,0.56,788936981.0,74.02441119444528
88,JW홀딩스,2022,1157579707.0,53.74,46482142.0,11.94,46.26,14.57,5.38,864536431.0,74.68482954323248
89,JW홀딩스,2023,1176266428.0,51.93,31025900.0,15.61,48.07,9.10,3.34,928071671.0,78.89978400369682
90,KC그린홀딩스,2019,816143779.0,80.19,14327973.0,3.08,19.81,4.93,2.05,698943263.0,85.63972194414043
91,KC그린홀딩스,2020,776133685.0,90.79,-78918169.0,-7.04,9.21,-30.10,-11.60,680448182.0,87.67151782621056
92,KC그린홀딩스,2021,906605618.0,85.27,9793621.0,4.46,14.73,4.00,1.60,612676621.0,67.57917763090676
93,KC그린홀딩스,2022,792860678.0,88.67,-17036532.0,1.78,11.33,-6.58,-2.65,643354458.0,81.14344371609762
94,KC그린홀딩스,2023,916578396.0,94.73,-55928224.0,-4.28,5.27,-23.64,-8.01,698466594.0,76.20369376456479
95,KEC,2019,334212514.0,88.73,-19726091.0,-3.45,11.27,-8.98,-9.78,201729382.0,60.35961358406825
96,KEC,2020,368345953.0,87.16,-44855951.0,-1.16,12.84,-23.44,-22.31,201046481.0,54.58088499753383
97,KEC,2021,400589167.0,78.88,10173157.0,9.92,21.12,4.54,3.80,267472591.0,66.76980134113312
98,KEC,2022,401136513.0,80.29,22270600.0,7.04,19.71,7.63,8.69,256171263.0,63.861367563914584
99,KEC,2023,447745861.0,99.95,-37798918.0,-15.95,0.05,-11.43,-18.27,206935260.0,46.21712404841192
100,주성코퍼레이션,2019,27113647.0,96.3,-16210212.0,-13.12,3.7,완전잠식,-35.41,45782646.0,168.85462143842176
101,주성코퍼레이션,2020,32146507.0,88.09,-6306405.0,-23.77,11.91,-309.55,-30.84,20447825.0,63.6082327700487
102,주성코퍼레이션,2021,33044553.0,81.11,-1586432.0,-3.53,18.89,-18.52,-3.97,39946492.0,120.88676763156701
103,주성코퍼레이션,2022,32951332.0,87.87,-9902822.0,-20.95,12.13,-81.16,-43.12,22967076.0,69.69999270439205
104,주성코퍼레이션,2023,34134612.0,79.47,-1376873.0,-5.58,20.53,-7.43,-5.75,23947360.0,70.15565315346196
105,KG케미칼,2019,4151542217.0,76.75,219341423.0,5.70,23.25,22.43,10.60,2068395231.0,49.82233403601686
106,KG케미칼,2020,4323538345.0,81.89,154664333.0,6.59,18.11,10.82,4.20,3686350352.0,85.26234898004587
107,KG케미칼,2021,4884892280.0,81.53,281961178.0,9.29,18.47,17.11,5.84,4826618393.0,98.8070589143063
108,KG케미칼,2022,7076647393.0,83.53,997422975.0,7.58,16.47,39.09,15.10,6607355089.0,93.368437369591
109,KG케미칼,2023,7818145771.0,86.16,350715471.0,4.95,13.84,10.09,3.93,8933057024.0,114.26055852188843
110,KISCO홀딩스,2019,1557313864.0,90.34,62889043.0,4.87,9.66,4.83,5.32,1182987794.0,75.9633508277815
111,KISCO홀딩스,2020,1564589807.0,84.77,36484194.0,7.77,15.23,2.74,3.43,1064569447.0,68.04144078128971
112,KISCO홀딩스,2021,1688093089.0,83.17,178382903.0,12.70,16.83,12.95,11.28,1580849339.0,93.64704762439791
113,KISCO홀딩스,2022,1745832248.0,85.31,131534562.0,10.93,14.69,9.00,7.26,1810613446.0,103.71061985332281
114,KISCO홀딩스,2023,1802517205.0,86.03,130202531.0,9.68,13.97,8.39,8.44,1541894306.0,85.54116996625282
115,그린케미칼,2019,186816236.0,93.26,5580406.0,3.37,6.74,5.17,2.41,231874453.0,124.1190048385302
116,그린케미칼,2020,176839793.0,90.43,10340154.0,6.07,9.57,9.33,4.27,242398001.0,137.0720904429016
117,그린케미칼,2021,211689251.0,88.86,15928806.0,7.28,11.14,13.46,5.57,286224270.0,135.20963801794545
118,그린케미칼,2022,196645335.0,90.48,2870341.0,5.30,9.52,2.33,0.88,324927356.0,165.2352220814188
119,그린케미칼,2023,201377924.0,93.68,3349835.0,1.75,6.32,2.76,1.19,282345762.0,140.206908677835
120,KPX케미칼,2019,537885808.0,86.9,43054876.0,6.32,13.1,9.30,5.62,765712142.0,142.35589238673498
121,KPX케미칼,2020,637003840.0,83.82,64416145.0,8.59,16.18,12.68,8.63,746662323.0,117.21472872125858
