,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),매출채권(천원)_증가율(%),재고자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),매입채무(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),재무활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율
26,CJ,기타금융,A001040,12,2020,Annual,40024965069.0,11118109484.0,3320554672,2238146145,13002525157.0,40024965069.0,24628738994.0,11422602369,2368251431,3092611322,3065207901,15396226075.0,31999102947.0,23391528118.0,1390340166,48479143,601305321,204007798,3032814780,-1443779122,-537230169,38.47,40.38,159.97,104.98,73.1,1.36,4.34,1390340166.0,26.9,-0.8825841513582233,-0.3101383909284383,-7.252823546748677,-12.196002118343795,-3.8079988933214737,-0.8825841513582233,-4.414842496079219,-7.017473334473712,-13.680014523982587,5.344759496602958,-5.271223150806481,-7.872908712163129,-37.00406885973945,-21.52271495599515,-70.5093667039377,-146.02980137518495,0.7994785977160999,2.0783731539873482,1.2992586812826898
27,CJ,기타금융,A001040,12,2021,Annual,41955995804.0,12052390290.0,3640572265,2735868912,13453497278.0,41955995804.0,25492465688.0,12546083570,2760881123,3205342324,2467662370,16463530116.0,34484026554.0,24787913920.0,1881800099,57521423,739305175,806961658,3353190728,-1623491611,-1230196115,39.24,39.8,154.84,101.44,71.88,5.07,5.46,1881800099.0,28.12,4.8245656971119155,8.403234446868124,9.637473994886836,22.238171002010244,3.4683426146437046,4.8245656971119155,3.5069870780246593,9.83559756968373,16.578885453653513,6.932244537075616,7.765603964322909,35.34817917358506,295.5543199382996,10.563650312994067,12.447367208846515,128.98865067274357,0.8219093813216647,2.0945706243454354,1.352714444183113
28,CJ,기타금융,A001040,12,2022,Annual,48240408307.0,15173652714.0,4406167598,3707465503,14277413784.0,48240408307.0,30506774819.0,16950325414,3356993821,5714650512,2382867707,17733633488.0,40924879773.0,29696090453.0,2154201790,78599980,856720208,686845690,4044985960,-4610826113,1379245056,36.76,41.18,172.03,112.03,72.56,4.02,5.26,2154201790.0,27.44,14.978580254316975,25.897455599241127,21.02953264684062,35.51327283037602,6.1241808652038765,14.978580254316975,19.669769069691732,35.10451544043078,21.59139316191412,7.714647849221934,18.677787551618998,14.475591277987277,-14.884965947167716,20.630953862043476,184.00677168636136,-212.11586828982956,0.8483526821032634,2.307754911067326,1.341501355545178
29,CJ,기타금융,A001040,12,2023,Annual,47203762893.0,14584098325.0,4114768676,3169893143,14306194154.0,47203762893.0,29310944319.0,15637197515,2931229527,3937378915,2502878954,17892818574.0,41352688159.0,29955292833.0,2039057889,62671945,806235809,524667990,5016996681,-2365324347,-2973540674,37.91,38.39,163.81,101.28,72.44,2.95,4.93,2039057889.0,27.56,-2.1489150908566734,-3.885382116700531,-6.613432546965958,-14.499726553490744,0.2015797148938292,-2.1489150908566734,-3.9198850324067114,-7.7469185217850285,-12.682903713929717,0.8976450658446211,1.0453503794585206,-5.345084269008982,-23.61195569269715,24.030014704921253,-48.70063869181527,-315.5919037784102,0.8760464341102842,2.3111332620948533,1.4108275635525764
31,CJ대한통운,운수창고업,A000120,12,2020,Annual,9643498960.0,2538547347.0,1420450433,25323774,3496200702.0,9643498960.0,5603556698.0,2807606984,897465414,419177668,441581338,4039942262.0,10781127150.0,9779955605.0,325337561,0,11591048,142623241,572347644,-315839526,-94015594,41.89,33.63,138.7,80.27,90.71,3.71,3.02,325337561.3,9.29,5.856003365508866,9.3165145203163,3.139127349596027,10.781090211320187,-0.6467021992317745,5.856003365508866,2.727628060256926,11.915072134573478,3.445003992381812,10.524519187450032,3.5143034714614663,5.908861261691634,180.25869006700844,-32.68673545904805,-0.9049869414263223,-80.15191865935039,1.1179684049035248,2.6686339682148654,1.9239793101135139
32,CJ대한통운,운수창고업,A000120,12,2021,Annual,8993928516.0,2348222542.0,1371077751,25128745,3312064213.0,8993928516.0,4977570577.0,2448916061,826135988,261567095,170151224,4016357939.0,11343651787.0,10272323722.0,343880766,0,11493831,158279696,344143274,366409538,-877201845,44.66,31.29,123.93,70.06,90.56,3.93,3.03,343880765.7,9.44,-6.735837756548069,-7.497390396319448,-3.475846875960653,-0.7701419227639561,-5.266759682722588,-6.735837756548069,-11.171228466795469,-12.775681391452187,-7.947874635311569,-0.583778714409755,5.217679275770348,5.699681568584691,10.97749209050718,-39.87163612750017,-216.01129935839634,833.0386669683754,1.26125660959167,2.8243627583213766,2.278953479718787
33,CJ대한통운,운수창고업,A000120,12,2022,Annual,9693299818.0,2956459493.0,1422739127,34299355,3364173934.0,9693299818.0,5658991480.0,3108759802,831449965,789578095,367116669,4034308339.0,12130712862.0,10944706303.0,411786887,0,11924772,196821784,622939080,-566860798,290402311,41.62,37.18,140.27,89.33,90.22,4.89,3.39,411786887.3,9.78,7.776038032277377,25.902014827008667,3.767939196907011,36.4945006207035,1.5733306375965483,7.776038032277377,13.689829053326964,26.944318407163248,0.6432327216327582,0.4469322772678197,6.938339520453063,19.746995968945825,24.35062043586438,81.01155160161579,-254.70688920767122,-133.10552897890906,1.251453384272076,3.0068878832912627,2.1436174457714503
34,CJ대한통운,운수창고업,A000120,12,2023,Annual,9357587267.0,2488306558.0,1433160225,29836220,3327912583.0,9357587267.0,5314491024.0,2622292400,864030638,365968798,218206030,4043096243.0,11767893663.0,10468766117.0,480234863,0,14010210,242876055,836599672,-80050816,-1055669537,43.21,34.39,131.45,79.59,88.96,6.01,4.08,480234863.2,11.04,-3.463346407346213,-15.8349179519775,0.7324672388798303,-13.012300085526384,-1.0778679019394555,-3.463346407346213,-6.087665217689986,-15.648278830903383,3.918536817786755,0.21782925997615443,-2.9909140800500444,16.622184474757205,23.398970410714306,34.29879403295744,-85.87822331647637,-463.5196749518981,1.2575777630736147,2.910614280670241,2.2143030461161244
36,CJ씨푸드,음식료품,A011150,12,2020,Annual,135332382.0,46306337.0,1886565,27738489,73428644.0,135332382.0,69472863.0,43728866,13324757,17470276,0,65859519.0,149049674.0,130486555.0,3962856,0,0,2105552,3449077,-5006200,1809035,48.67,27.65,105.49,56.82,87.55,3.23,2.66,3962855.96,12.45,6.272954432407274,20.91563643278125,-12.72504966150606,23.77385810834327,-2.9526735076140564,6.272954432407274,10.288940353176134,-23.812392917745317,7.031765840267301,2.3418872724626505,-0.07996034027188959,7.0942304028408065,15.186016308908634,-52.640400091119545,7.5051071475584985,-151.25289513758545,1.1013600130085643,2.263145499134301,2.1454373342869144
37,CJ씨푸드,음식료품,A011150,12,2021,Annual,133389814.0,51224078.0,2571190,16745691,57953480.0,133389814.0,66278140.0,40773011,18843709,9404662,0,67111675.0,162142952.0,140111856.0,4499170,0,0,2204339,10911065,-2437292,-8790016,50.31,22.02,98.76,43.77,86.41,3.32,2.77,4499170.29,13.59,-1.435405164153547,10.62001729914417,36.28949969918873,-39.63012549097393,-21.075105240946566,-1.435405164153547,-4.59851928083056,-6.759505265926635,41.418781595791955,1.9012528773555193,8.784506298215721,13.533522287966049,4.691738793437539,216.34738801134336,-51.3145299828213,-585.8952977692527,1.2155572238821775,2.4160170640950325,2.446401664259136
38,CJ씨푸드,음식료품,A011150,12,2022,Annual,143409087.0,60241893.0,2981683,19897736,54722240.0,143409087.0,67719807.0,63686192,18327080,13489469,0,75689279.0,152701472.0,131165862.0,4135028,0,0,7419861,-905718,2360886,3602029,52.78,23.41,89.47,44.36,85.9,10.39,2.71,4135027.84,14.1,7.51127293722742,17.604640926870374,15.965097872969336,18.823021396967142,-5.575575444304636,7.51127293722742,2.1751772152930116,56.196931347552436,-2.7416523997478404,12.781090622458757,-5.82293580050276,-8.093537252426565,236.60253708708146,-108.30091288063997,-196.86512736266315,-140.97863985685578,1.0647963472495994,2.0174782217175036,2.2549011694613954
39,CJ씨푸드,음식료품,A011150,12,2023,Annual,168208969.0,80537106.0,3636363,23783273,57570040.0,168208969.0,90158645.0,86175621,34460637,38044260,0,78050324.0,148348807.0,127479344.0,4139340,0,0,4435394,5511061,1501873,-6274051,46.4,23.3,115.51,50.22,85.93,5.77,2.79,4139339.99,14.07,17.293103609257333,33.689533959366116,21.956727123574172,19.52753318266962,5.204099832170606,17.293103609257333,33.134822726237246,35.31288069476661,88.03124665795097,3.1193915851675635,-2.850440760649642,0.10427982591654228,-40.222680721377394,-708.4742712411589,-36.38519606622259,-274.18102408392605,0.8819316109119009,1.9006815013349592,1.6454196599782527
41,CJ제일제당,음식료품,A097950,12,2020,Annual,25611892185.0,7469913474.0,2409369434,1861478883,10462045760.0,25611892185.0,15445453188.0,7082673561,1793738367,1647881072,2412810326,10166438997.0,24245725654.0,19059312372.0,1359551440,39905922,116857417,786425538,2001752173,-345091608,-1097921853,39.69,37.11,151.93,93.49,78.61,8.01,5.61,1359551440.0,21.39,-2.5446121579892456,-5.956482573435351,-13.279285438622402,-7.767998763063422,-3.289277904395882,-2.5446121579892456,-8.05813739026895,-13.649500804013414,-7.057745494373158,7.224173300565662,8.470043849884057,51.590511822378794,311.68011527590227,-6.595296199470058,-89.18169128271545,-189.35552755992845,0.9466588988766665,2.384878880516043,1.5697646005516481
42,CJ제일제당,음식료품,A097950,12,2021,Annual,26855804277.0,7725600945.0,2616118100,2338251516,11160866010.0,26855804277.0,16049003859.0,7915867743,2153028876,1455599563,1966024758,10806800418.0,26289227767.0,20507136770.0,1524429392,48689469,175943237,892393213,1686409257,-625359234,-1273855062,40.24,36.4,148.51,90.45,78.01,8.51,5.8,1524429392.0,21.99,4.8567754503063165,3.422897358717125,8.581028010169401,25.61257274278732,6.679575544123795,4.8567754503063165,3.9076268184148555,11.763837127661736,20.030262808109956,6.298777981050829,8.428298423243398,12.127378718380811,13.47459738775676,-15.753344507547084,81.21542787560338,16.024201405525716,0.9789030146274476,2.4326559897610576,1.6380597822747398
