,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%)
3428,효성화학,화학,A298000,12,2022,Annual,3131118899,819924445,248158000,353083000,2187082745,3131118899,3016501814,1715748683,284416299,645411272,913839560,114617085,2878558181,3108714474,-336727240,20882686,1008000,-408866781,-134763959,-230709448,416722967,3.66,81.8,2631.81,2234.54,108,-135.4,-11.7,-336727239.9,-8
1362,롯데관광개발,서비스업,A032350,12,2021,Annual,1302424557,91479671,2551878,6636477,935381938,1302424557,1249736891,240448305,8334507,43713638,674935344,52687666,107071759,0,-131250266,0,4248512,-200695718,-50901378,-74050890,127394122,4.05,85.37,2371.97,2110.41,0,-143.98,-122.58,-131250266.1,100
1364,롯데관광개발,서비스업,A032350,12,2023,Annual,1764111056,80886866,4559853,4134584,1289380046,1764111056,1698551480,1208746929,7049861,760586470,0,65559576,313548275,0,-60605788,0,14560981,-202330590,-13077424,-19567438,37644347,3.72,75.11,2590.85,2021.2,0,-136.14,-19.33,-60605788.47,100
1952,아시아나항공,운수창고업,A020560,12,2021,Annual,13082664860,2565299369,510737738,181326223,8704941630,13082664860,12561568437,5239252109,90537757,2583000000,241573057,521096423,4339706411,3965090372,93203600,0,3262271,-516809974,1008216925,-275648497,-518805022,3.98,61.79,2410.6,1551.4,91.37,-64.18,2.15,93203600.4,8.63
2596,페이퍼코리아,종이목재,A001020,12,2020,Annual,508899951,248973349,29559720,159663091,238635586,508899951,480849369,291387660,10886988,44899888,170299652,28050582,484064482,419929860,34611432,357298,1576074,241879,16600275,-15673484,-13371791,5.51,77.96,1714.22,1414.34,86.75,1.18,7.15,34611431.74,13.25
1953,아시아나항공,운수창고업,A020560,12,2022,Annual,13455341412,2844322555,424314635,207173856,8714517157,13455341412,12739695841,5976436039,117722745,2577000000,1294173,715645571,6206669335,5197774779,598763775,0,7902028,26525712,1857222018,-951647962,-1033943296,5.32,57.5,1780.17,1081.11,83.74,4.29,9.65,598763774.9,16.26
1205,흥아해운,운수창고업,A003280,12,2019,Annual,430962722,93810124,2644414,7715548,238913893,430962722,400043339,202347422,17283443,44292628,0,30919383,102166838,96504366,-12364293,0,145148,-51356551,-12048291,117484146,-107050006,7.17,72.38,1293.83,1008.87,94.46,-98.7,-12.1,-12364292.51,5.54
1950,아시아나항공,운수창고업,A020560,12,2019,Annual,13503422879,1560758526,363100083,225534662,10357685162,13503422879,12595134363,4558412097,161803207,913288940,51104045,908288516,6886846688,6614243738,-435709496,0,24207837,-817886114,558989483,-847797759,64344585,6.73,57.84,1386.69,859.89,96.04,-81.73,-6.33,-435709495.7,3.96
481,금호전기,전기전자,A001210,12,2020,Annual,67783031,45740320,6396611,8924524,10122968,67783031,63542469,59384992,3318754,3070020,0,4240562,45002238,32299097,-6423343,120598,300609,-24340514,-424345,2393964,4158576,6.26,52.91,1498.44,845.68,71.77,-230.8,-14.27,-6423342.72,28.23
2597,페이퍼코리아,종이목재,A001020,12,2021,Annual,497167643,241095269,35447748,135363271,239436085,497167643,451786536,195689650,20950872,29447802,236085444,45381108,435282696,372394022,31459196,358820,2785037,9246301,37310680,5233414,-15622529,9.13,76.71,995.54,840.41,85.55,25.18,7.23,31459196.42,14.45
1954,아시아나항공,운수창고업,A020560,12,2023,Annual,13016745781,2149808879,435600160,231402563,9043323004,13016745781,12206400393,5435521833,177012976,1800000000,1232545,810345388,7623348347,6401772339,619928673,0,13056567,180531807,1541196232,12603230,-1824298563,6.23,51.21,1506.32,822.53,83.98,23.66,8.13,619928673.3,16.02
1951,아시아나항공,운수창고업,A020560,12,2020,Annual,13851459281,2386235553,356135006,193439199,9532585022,13851459281,12762122307,5247203582,67959937,2614000000,242173036,1089336974,3878133104,3797026916,-271788564,0,5904598,-502971861,-405485383,-1037111497,1750234842,7.86,61.09,1171.55,776.8,97.91,-50.36,-7.01,-271788563.8,2.09
2284,일정실업,섬유의복,A008500,12,2023,Annual,31049305,12149039,5425440,4887434,14989431,31049305,28010994,22312001,2507799,16882876,5500000,3038311,32579519,28769783,-1492869,1176214,16784,-2255980,95947,-93617,-567340,9.79,72.09,921.93,736.69,88.31,-52.94,-4.58,-1492869.34,11.69
2438,카프로,화학,A006380,12,2022,Annual,302205592,94426177,49671239,28444600,206823883,302205592,275602853,167024554,25856638,125800000,16000000,26602738,427187321,541917216,-122282524,0,0,-186206661,-66044512,14040467,17658201,8.8,64.46,1035.99,732.25,126.86,-244.03,-28.63,-122282523.6,-26.86
2110,웅진,서비스업,A016880,12,2019,Annual,2901605949,2575762042,180099913,51286927,143623121,2901605949,2636630183,2557605516,56090962,248743295,11000000,264975767,819916676,444958242,75213066,826232,10276941,-237500819,22649073,-1388288009,1533570982,9.13,65.32,995.05,715.32,54.27,-96.82,9.17,75213065.93,45.73
3378,티웨이항공,운수창고업,A091810,12,2022,Annual,1042495891,240567964,20576367,14184015,51937243,1042495891,983093108,411247105,0,35426784,0,59402783,525821186,569299590,-103929571,0,2048363,-118672294,165994529,-105660589,7977501,5.7,39.22,1654.96,688.22,108.27,-222.35,-19.77,-103929570.9,-8.27
3377,티웨이항공,운수창고업,A091810,12,2021,Annual,735047689,105237465,3035298,9492588,49807171,735047689,687706322,247979169,0,46359266,0,47341368,214395239,323513438,-148326842,0,499802,-156243779,35096015,-34103752,-16862819,6.44,43.88,1452.65,681.3,150.9,-190.16,-69.18,-148326842.1,-50.9
2292,일진디스플,전기전자,A020760,12,2021,Annual,117460184,30221074,5775913,14799216,86613023,117460184,106734302,79589554,18835727,53476484,0,10725882,101440584,125708112,-35456270,3451342,0,-43668263,-25542394,-6913693,33726486,9.13,61.78,995.11,676.58,123.92,-223.37,-34.95,-35456269.9,-23.92
2641,KC코트렐,기계,A119650,12,2020,Annual,281917549,189055680,42260695,22445563,39874048,281917549,269571482,185029211,40427630,58437819,3956280,12346067,327908709,342830218,-44693531,1037889,51221,-63911087,-84351287,-6893941,55312539,4.38,27.65,2183.46,631.43,104.55,-144.31,-13.63,-44693530.58,-4.55
740,대한항공,운수창고업,A003490,12,2019,Annual,27014118935,3574701574,701607042,712925078,21310439947,27014118935,24233326242,8777297332,196453209,762860319,1832845393,2780792693,12384263747,10935888944,176086528,0,81916967,-622761502,2287888607,-1549246685,-1447170262,10.29,63.02,871.45,612.19,88.3,-20.96,1.42,176086528.4,11.7
2598,페이퍼코리아,종이목재,A001020,12,2022,Annual,501830145,249090739,38764537,121345192,238534666,501830145,440215220,410999661,23079753,37289078,12234902,61614925,409957041,350686969,25843739,423891,821070,-1828714,13433238,-7151055,-2674933,12.28,74.06,714.46,603.15,85.54,-3.42,6.3,25843738.57,14.46
1519,부산주공,운수장비,A005030,12,2023,Annual,238225997,133595008,27170988,37286710,88989790,238225997,218282472,182706825,50688121,91696508,20390000,19943525,241720629,221185972,364369,0,0,-5084591,-3453363,-6843134,12964969,8.37,50.08,1094.5,598.17,91.5,-24.58,0.15,364369.14,8.5
1516,부산주공,운수장비,A005030,12,2020,Annual,249781607,66744844,33202830,28141595,132796112,249781607,223142381,147595960,40440364,67018161,60775454,26639226,152724659,142401448,-4508062,0,0,-13437444,-6754155,17627498,-10127174,10.67,63.74,837.65,597.69,93.24,-47.39,-2.95,-4508061.69,6.76
1515,부산주공,운수장비,A005030,12,2019,Annual,282063934,72745915,29262029,33487849,138692036,282063934,251993671,165433759,42053825,75422790,68841304,30070263,204597345,195824254,-8926702,0,0,-21586911,3655305,-3445546,-209141,10.66,63.57,838.02,596.32,95.71,-52.37,-4.36,-8926702.19,4.29
1517,부산주공,운수장비,A005030,12,2021,Annual,239665282,77436967,35697732,36699313,129378357,239665282,216496992,176230159,48462111,74478205,24766483,23168290,186826816,179924128,-9346942,0,0,-11744451,-1361085,17794840,-17166837,9.67,57.27,934.45,592.45,96.31,-47.16,-5,-9346942.3,3.69
310,STX,유통업,A011810,12,2019,Annual,560107000,386401000,140880000,118778000,90288000,560107000,503816000,439806000,102262000,264271000,38017000,56291000,1463714000,1417134000,2790000,0,159000,-33218000,528000,-26727000,21637000,10.05,59.3,895.02,590.05,96.82,-55.22,0.19,2790000,3.18
1363,롯데관광개발,서비스업,A032350,12,2022,Annual,1802776594,61153936,3923303,6645527,1342191649,1802776594,1571088485,1027340540,7128672,734006909,0,231688110,183670906,0,-118719753,0,8553528,-224708158,-62856715,-3653803,34422969,12.85,71.53,678.1,556.61,0,-158.04,-64.64,-118719752.7,100
1518,부산주공,운수장비,A005030,12,2022,Annual,233931779,129259247,29271010,35576382,88511556,233931779,212511514,174175206,59659393,52082944,24557602,21420266,230549456,221134207,-6463261,0,0,-9711498,19926667,5501541,-24653319,9.16,46.6,992.1,508.91,95.92,-43.56,-2.8,-6463260.66,4.08
3323,에어부산,운수창고업,A298690,12,2022,Annual,1227883088,202750960,19635945,5193101,170112202,1227883088,1101224122,357728875,21459482,21000000,0,126658966,404992920,445506815,-81307511,0,499425,-150400645,113030969,11062642,31935912,10.32,50.28,869.44,487.46,110,-116.96,-20.08,-81307510.99,-10
1090,HMM,운수창고업,A011200,12,2019,Annual,7160187000,1427203000,494833000,135256000,2023528000,7160187000,6069878000,1683674000,493118000,0,1007038000,1090309000,5513089000,5517219000,-299694000,0,4742000,-589837000,399331000,-877197000,572850000,15.23,73.59,556.71,483.24,100.07,-55.38,-5.44,-299694000,-0.07
3321,에어부산,운수창고업,A298690,12,2020,Annual,1034490515,83878090,5581589,10612829,205468786,1034490515,924223795,288478697,155088407,30000000,0,110266721,189917868,348967181,-188684535,0,624019,-128471546,-116157984,30418258,83429779,10.66,50.91,838.17,477.59,183.75,-117.66,-99.35,-188684534.8,-83.75
741,대한항공,운수창고업,A003490,12,2020,Annual,25190061074,4002518982,675099994,551195375,18482139653,25190061074,21878336960,7987774773,86354393,1900886974,1770832757,3311724114,7610530916,6850104202,107324036,0,15443241,-230018635,1376703699,-2716132,-858149390,13.15,61.68,660.63,469.18,90.01,-7.55,1.41,107324035.9,9.99
3095,다이나믹디자인,기계,A145210,12,2019,Annual,160988788,52224212,23022717,10091406,76011306,160988788,139493305,112591044,11682173,52212068,7482761,21495482,99404033,89743530,-10507464,681369,0,-5543390,-1577851,14667160,-14852705,13.35,62.22,648.94,465.97,90.28,-22.35,-10.57,-10507464.11,9.72
3320,에어부산,운수창고업,A298690,12,2019,Annual,985775844,112510125,16783130,6111458,182933241,985775844,877666774,271787842,58603715,30000000,0,108109070,633183493,621924583,-37843357,0,3163443,-72910218,112534647,-56263833,-49217433,10.97,50.37,811.83,459.32,98.22,-56,-5.98,-37843356.65,1.78
1010,HJ중공업,건설업,A097230,12,2019,Annual,2470222000,1300538000,147449000,363759000,615117000,2470222000,2225228000,1845223000,166881000,0,3927000,244994000,1628751000,1451267000,83839000,1734000,429000,306169000,155934000,36099000,-296104000,9.92,45.36,908.28,457.39,89.1,-4.73,5.15,83839000,10.9
484,금호전기,전기전자,A001210,12,2023,Annual,52905127,27154653,9104835,7326941,8722583,52905127,45756810,39040424,6516227,2137132,182570,7148316,53372994,38597840,-8228668,276336,267624,-18342317,-2121120,7583473,-5281756,13.51,60.13,640.11,445,72.32,-177.46,-15.42,-8228668.33,27.68
3415,효성첨단소재,화학,A298050,12,2019,Annual,2531098757,983989342,409983922,472116092,1276038278,2531098757,2125698242,1540234017,173063683,1129928866,229148907,405400514,3053616299,2696624401,158326477,29037242,3502000,-52906925,127016741,-222916435,50915907,16.02,69.44,524.35,433.52,88.31,-12.14,5.18,158326476.8,11.69
2812,하나투어,서비스업,A039130,12,2021,Annual,430595585,166208050,11253911,1711235,13379039,430595585,372839457,172522849,8887001,16563494,10527204,57756127,40258282,0,-127293510,0,12464525,-70446260,-107289706,219661705,-109388198,13.41,57.87,645.54,431.42,0,-76.96,-316.19,-127293510.5,100
798,한국가스공사,전기가스업,A036460,12,2022,Annual,62424983096,25091557360,11310384849,7622624303,23293801160,62424983096,52014242784,30634566494,2682434000,23601077000,192144000,10410740312,51724286632,48828262572,2463421952,63796000,12966000,1497008013,-14580918442,-973794066,15802111856,16.68,71.9,499.62,431.12,94.4,15.33,4.76,2463421952,5.6
313,STX,유통업,A011810,12,2022,Annual,741784000,465066000,256567000,91873000,218439000,741784000,639377000,541861000,98020000,348729000,27979000,102407000,972571000,949474000,-8827000,0,84000,-18650000,-84572000,-16846000,99770000,13.81,59.48,624.35,430.82,97.63,-16.58,-0.91,-8827000,2.37
3416,효성첨단소재,화학,A298050,12,2020,Annual,2376593775,939289692,417504957,324695630,1204359886,2376593775,1995482965,1574911699,192164446,993588591,200851316,381110809,2394622899,2185964691,34208423,27926255,2237000,6810289,312387826,-148746390,-142414088,16.04,67.79,523.6,422.71,91.29,1.73,1.43,34208423.17,8.71
2283,일정실업,섬유의복,A008500,12,2022,Annual,33565989,13706268,5644832,5723464,15755667,33565989,28081176,28031176,2872826,22969896,0,5484812,31654086,32556023,-7417556,1344906,66,-6892685,-7715994,-167703,7787096,16.34,68.43,511.98,418.79,102.85,-78.3,-23.43,-7417555.82,-2.85
3426,효성화학,화학,A298000,12,2020,Annual,2417365034,435749014,174068573,143161586,1923347651,2417365034,2015011905,627538132,146214408,192345960,864600635,402353129,1817189980,1664136962,60927549,20203162,182000,-11616488,168340866,-553538453,356760203,16.64,69.26,500.81,416.13,91.58,-2.71,3.35,60927548.91,8.42
3343,진에어,운수창고업,A272450,12,2022,Annual,757789020,275073699,33566977,1322297,443124,757789020,662850264,392285684,0,40000000,0,94938756,593428498,602562565,-67279708,0,362196,-63518972,175586447,-13611897,-130865390,12.53,52.13,698.19,416.11,101.54,-47.46,-11.34,-67279707.92,-1.54
3427,효성화학,화학,A298000,12,2021,Annual,3044049458,788985422,214738481,392367988,2184604309,3044049458,2554748675,1083163917,235034250,339710695,1139946101,489300784,2519965285,2282689201,136574030,21782796,225000,58415830,68665641,-307440373,262685654,16.07,66.73,522.12,415.15,90.58,13.1,5.42,136574029.9,9.42
799,한국가스공사,전기가스업,A036460,12,2023,Annual,57254666338,17430305322,6563120067,5043153970,22351509182,57254666338,47428628235,22566372249,3114298000,14705074000,278894000,9826038103,44555995015,42598871941,1553418858,42536000,11002000,-747428633,5885553657,-1334013044,-4587069066,17.16,71.13,482.68,414.47,95.61,-7.39,3.49,1553418858,4.39
1346,디아이씨,운수장비,A092200,12,2020,Annual,604617280,209971792,62177337,85465619,380812404,604617280,533974825,455301102,148987117,230541517,18246305,70642455,493387380,525068686,-70962146,865375,129034,-119098345,123094862,503947,-130568820,11.68,47.91,755.88,410.05,106.42,-92.77,-14.38,-70962145.91,-6.42
3322,에어부산,운수창고업,A298690,12,2021,Annual,1009737367,76090894,3303292,10150738,179086478,1009737367,879205856,243211758,3273189,27000000,0,130531511,176501762,351742546,-203964282,0,198785,-265960609,-69055835,-126901629,152904636,12.93,52.87,673.56,408.98,199.29,-220.9,-115.56,-203964281.6,-99.29
2976,AJ네트웍스,서비스업,A095570,12,2020,Annual,1588170350,354686634,84967285,33664676,229558956,1588170350,1300162540,708897437,39072097,262670778,209018939,288007810,871956093,0,21089141,0,2206927,-3316812,17725957,96850693,-121189250,18.13,71.27,451.43,393.01,0,-1.04,2.42,21089141,100
2196,이수페타시스,전기전자,A007660,12,2020,Annual,389384713,224299899,86484082,94206393,130550934,389384713,324275898,295044097,31551087,209569490,11827759,65108814,393228673,342055377,12785971,0,7517,-13504623,-21251514,2378629,19343645,16.72,63.39,498.05,379.11,86.99,-19.14,3.25,12785970.79,13.01
2807,티웨이홀딩스,비금속광물,A004870,12,2021,Annual,805278646,125504329,5574538,12149418,69222627,805278646,716048793,264148020,934698,46359266,2900000,89229853,226746470,333475101,-148528986,0,500102,-163447867,32323226,-29273630,-10883887,11.08,41.83,802.48,377.51,147.07,-144.03,-65.5,-148528985.7,-47.07
3341,진에어,운수창고업,A272450,12,2020,Annual,556768750,161290089,3192500,1268380,1549404,556768750,458608098,187510885,0,40000000,0,98160651,271769078,417495881,-184709918,0,1150912,-190402947,-171819561,122036853,17983910,17.63,66.53,467.2,377.35,153.62,-131.35,-67.97,-184709917.9,-53.62
3351,콘텐트리중앙,서비스업,A036420,12,2020,Annual,1475541489,330042100,58405656,26343864,273576202,1475541489,1211631897,645206309,2149531,238500000,21600000,263909591,360228000,235268925,-58839781,517540,8408056,-154022316,39064264,-344626783,366426708,17.89,67.35,459.11,376.53,65.31,-45,-16.33,-58839780.98,34.69
658,한화오션,운수장비,A042660,12,2022,Annual,12235665305,7822464528,323867921,2202075920,3786679503,12235665305,11490693373,10672486378,616967489,1283431165,99715361,744971932,4860150250,6207032529,-1613564534,73582000,0,-1744778448,-1065432626,87974127,-129780483,6.09,22.53,1542.43,369.98,127.71,-117.79,-33.2,-1613564534,-27.71
3132,제주항공,운수창고업,A089590,12,2021,Annual,1266756061,390602612,4555031,12687584,249433710,1266756061,1082667274,488274740,530229,165600000,183987945,184088788,273079199,500150258,-317159495,0,658840,-272277860,-83736411,62693924,214041312,14.53,53.77,588.12,369.97,183.15,-135.83,-116.14,-317159495.2,-83.15
834,한국전력,전기가스업,A015760,12,2023,Annual,2.39715E+11,29536215000,11009543000,8875615000,1.79876E+11,2.39715E+11,2.0245E+11,61248421000,4341482000,10667335000,3392831000,37264750000,88219461000,89699527000,-4541648000,218387000,30305000,-4716144000,1522162000,-13073757000,12661882000,15.55,57.33,543.28,368.82,101.68,-11.9,-5.15,-4541648000,-1.68
2602,평화산업,운수장비,A090080,12,2021,Annual,220115438,122936942,62336773,37321756,86279371,220115438,194125632,140985746,55486685,58004223,10194100,25989806,424123466,395270108,5916278,0,0,205128,9390966,-16944106,8154243,11.81,43.49,746.93,368.31,93.2,0.8,1.39,5916278.19,6.8
576,다우기술,서비스업,A023590,12,2020,Annual,38622232830,34479396477,11894408,38506,318079822,38622232830,35377055590,19904833542,5578874,11236630836,660452510,3245177240,4732935104,3247368974,1015386726,0,55123979,679446474,-1334999877,49357698,2180599539,8.4,30.82,1090.14,366.86,68.61,23,21.45,1015386726,31.39
2644,KC코트렐,기계,A119650,12,2023,Annual,414426220,363818557,108985206,19877511,2636013,414426220,372977143,294167231,72957547,69003000,31899600,41449078,436615282,430133443,-21089870,1114478,27245,-44388517,-92846108,-632442,90416942,10,36.61,899.84,366.02,98.52,-90.4,-4.83,-21089869.64,1.48
1361,롯데관광개발,서비스업,A032350,12,2020,Annual,1198450486,124776945,624013,3965344,965268742,1198450486,972349830,212394203,693412,80585848,663030324,226100656,16769429,0,-71384718,0,963057,-82068543,-114489713,-578890240,735305109,18.87,68.59,430.05,363.58,0,-30.86,-425.68,-71384718.49,100
1091,HMM,운수창고업,A011200,12,2020,Annual,9373360000,2237239000,623199000,152966000,2299924000,9373360000,7684812000,2880669000,418205000,0,677245000,1688548000,6413270000,5128828000,980781000,0,3500000,123966000,1408546000,-2034150000,1155460000,18.01,65.23,455.11,362.09,79.97,8.92,15.29,980781000,20.03
575,다우기술,서비스업,A023590,12,2019,Annual,24741606800,20530675110,10333739,66822,291175084,24741606800,22077381030,13162433117,2305879,7485622900,2128742279,2664225769,2712162416,1808338031,507538853,0,27894443,395865387,-2947197122,-374384900,3110093028,10.77,38.93,828.66,361.51,66.68,15.51,18.71,507538852.8,33.32
2975,AJ네트웍스,서비스업,A095570,12,2019,Annual,1803255226,501055395,104945550,58629572,272817242,1803255226,1455914070,796837082,32556846,291467302,358407162,347341156,1000259402,0,15649323,0,2343647,42128594,-37909434,44413195,64330327,19.26,69.41,419.16,360.37,0,10.04,1.56,15649322.69,100
2811,하나투어,서비스업,A039130,12,2020,Annual,703260915,208325756,9315225,2013920,98387081,703260915,577946924,173261822,7021596,23900152,94865826,125313991,109571614,0,-114866698,0,4240087,-218571040,-132868025,87033705,37942473,17.82,63.77,461.2,357.85,0,-127.37,-104.83,-114866698.5,100
2115,웅진씽크빅,서비스업,A095720,12,2019,Annual,2453550824,2236207125,126327848,33713742,52934265,2453550824,1981766140,1963193382,7578684,78000000,0,471784683,652236816,280064807,21653561,1022891,13203136,-150612377,51724317,-1631297495,1622689867,19.23,66.55,420.06,346.1,42.94,-38.09,3.32,21653560.93,57.06
3324,에어부산,운수창고업,A298690,12,2023,Annual,1358083334,248452066,24779062,9392727,214364394,1358083334,1171269889,361362136,17021839,0,0,186813445,890440349,676556824,159754476,0,1136040,104145079,281758298,-239759277,-167787662,13.76,46.57,626.97,338.52,75.98,66.45,17.94,159754475.9,24.02
311,STX,유통업,A011810,12,2020,Annual,650840000,319912000,145397000,102015000,225864000,650840000,543156000,458275000,103468000,277547000,27300000,107684000,975567000,935285000,-587000,0,41000,-9942000,57915000,-12083000,-57741000,16.55,55.73,504.4,336.84,95.87,-12.13,-0.06,-587000,4.13
577,다우기술,서비스업,A023590,12,2021,Annual,46322445970,38642271057,8751851,52023,336296158,46322445970,41705976712,22225793067,3018797,13674528927,1766661440,4616469257,6086980402,4240482826,1257233834,0,55597661,914188890,-3480396427,-355782675,3988892387,9.97,33.35,903.42,334.66,69.66,23.26,20.65,1257233834,30.34
2601,평화산업,운수장비,A090080,12,2020,Annual,203154750,115234308,56628888,33587554,82664241,203154750,177600642,147494596,55299052,0,3150000,25554107,338581043,322148805,-7210669,0,0,-7790030,19583314,-15215538,-4460402,12.58,41.9,695,333.09,95.15,-26.39,-2.13,-7210668.65,4.85
795,한국가스공사,전기가스업,A036460,12,2019,Annual,39311854558,9232764529,4973901168,2645254121,24377427684,39311854558,31165333775,8900542511,1483232000,3800314885,476493000,8146520783,24982639515,23227117209,1334514162,91289000,4741000,58269152,1985840004,-1397034074,-581911717,20.72,67.81,382.56,327.24,92.97,0.7,5.34,1334514162,7.03
1864,신세계건설,건설업,A034300,12,2023,Annual,1261721118,663932526,443677694,12144083,444481428,1261721118,1141761519,911659504,148613542,170000000,4200000,119959599,1502628134,1615513355,-187816502,0,0,-158514892,-175498948,-26719853,277853386,9.51,30.33,951.79,318.99,107.51,-78.54,-12.5,-187816502.4,-7.51
3420,효성티앤씨,화학,A298020,12,2019,Annual,3224306572,1470102674,762257253,524231839,1455282769,3224306572,2641352829,2074421798,476974289,1381778583,451545302,582953743,5983144766,5419331753,322913486,13707680,3771000,122022893,349544531,-195185659,-152018734,18.08,57.23,453.1,316.53,90.58,22.81,5.4,322913486.4,9.42
2425,청호ICT,기계,A012600,12,2019,Annual,51107615,17560711,4508805,8618351,17550648,51107615,43998249,34507582,9413734,8228863,1877740,7109366,41236801,40545295,-7926535,2463452,3000,-16417235,-7829813,18527575,-9115758,13.91,43.93,618.88,315.77,98.32,-114.59,-19.22,-7926535.4,1.68
134,KR모터스,운수장비,A000040,12,2023,Annual,138570417,48971233,5748536,23204503,70212817,138570417,116165786,100285758,27415308,24469774,0,22404631,78406267,73639024,-17856852,5325475,562391,-21026669,-8763355,472932,8419157,16.17,51.04,518.49,315.67,93.92,-67.36,-22.77,-17856852.21,6.08
984,한익스프레스,운수창고업,A014130,12,2023,Annual,427530518,126642802,89180179,3885499,202899098,427530518,342926253,217075636,46593777,65340000,75352144,84604265,668410641,645955935,8724985,0,17114,-15603643,30396897,-19143829,-5614445,19.79,62.23,405.33,314.44,96.64,-16.43,1.31,8724985.2,3.36
3407,화승코퍼레이션,운수장비,A013520,12,2021,Annual,1183992948,623634866,219375324,241776618,410618564,1183992948,959344260,784978043,144345840,507770044,11151549,224648688,1399821014,1189351422,10025213,19477244,731992,-36020317,-11723256,-45697392,9146405,18.97,59.29,427.04,312.5,84.96,-16.18,0.72,10025213.03,15.04
