,종목명,회계년,연구개발비/매출액(%),광고선전비/매출액(%)
1970,에넥스,2019,0.0,0.394023880616882
1971,에넥스,2020,0.0,0.8641549117247469
1972,에넥스,2021,0.0,1.4722441910842685
1973,에넥스,2022,0.0,0.46037476603778776
1974,에넥스,2023,0.0,0.163289880078299
1975,에스엘,2019,0.7856720883659305,0.011041316003924107
1976,에스엘,2020,0.5998754770071136,0.003362931421228379
1977,에스엘,2021,0.49650826341585313,0.01190816618007393
1978,에스엘,2022,0.4447250279928286,0.007596864729413461
1979,에스엘,2023,0.3142387423137325,0.02449519636527869
1980,에스원,2019,0.582047444418864,1.1395068010093747
1981,에스원,2020,0.5450371164896541,1.013328453684914
1982,에스원,2021,0.8570861307586407,0.8715298747711826
1983,에스원,2022,0.8732872324103457,0.8290827121768947
1984,에스원,2023,0.8435823439235846,0.8140572413799455
1985,SJM홀딩스,2019,2.010274321392721,0.0047700971196252525
1986,SJM홀딩스,2020,2.1924805101371634,0.0054573021772643514
1987,SJM홀딩스,2021,2.13573819149618,0.0033640942953158852
1988,SJM홀딩스,2022,2.4640962433446876,0.019872037194955963
1989,SJM홀딩스,2023,2.0536663021650106,0.026393043532036038
1990,에쓰씨엔지니어링,2019,1.1299296169542596,0.0628096347440277
1991,에쓰씨엔지니어링,2020,0.0,0.053699724898610995
1992,에쓰씨엔지니어링,2021,0.6437753702705081,0.07778306960720414
1993,에쓰씨엔지니어링,2022,1.4398474713170133,0.07659037582364933
1994,에쓰씨엔지니어링,2023,1.5191434833424016,0.2174990281968485
1995,에이엔피,2019,0.0,0.0
1996,에이엔피,2020,0.0,0.0
1997,에이엔피,2021,0.0,0.0
1998,에이엔피,2022,0.0,0.027917682071538167
1999,에이엔피,2023,0.0,0.030589891817470426
2000,에이프로젠,2019,2.390956819411549,0.5269509359250446
2001,에이프로젠,2020,0.8090221576675969,0.16035063111486517
2002,에이프로젠,2021,124.65911088290393,0.0
2003,에이프로젠,2022,49.21615389379062,0.0
2004,에이프로젠,2023,28.43535849117376,0.0
2005,에이프로젠바이오로직스,2019,0.660304066368613,0.8213194840520912
2006,에이프로젠바이오로직스,2020,1.3085170931059684,0.33256766657209297
2007,에이프로젠바이오로직스,2021,3.0724746927774946,1.2762859022909756
2008,에이프로젠바이오로직스,2022,3.3545527798059833,0.004598839530857622
2009,에이프로젠바이오로직스,2023,17.169491862219825,0.003835692354717686
2010,엔씨소프트,2019,18.202983978895755,6.24448226300138
2011,엔씨소프트,2020,15.79021964075312,5.226671433941147
2012,엔씨소프트,2021,18.572938437159888,11.757224713476681
2013,엔씨소프트,2022,0.0,7.422330929912947
2014,엔씨소프트,2023,0.0,4.800083662681747
2015,엔케이,2019,0.0,0.0
2016,엔케이,2020,0.0,0.0
2017,엔케이,2021,0.0,0.0
2018,엔케이,2022,0.0,0.0
2019,엔케이,2023,0.0,0.0
