종목명,2011통합등급,2011환경,2011사회,2011지배구조,2012통합등급,2012환경,2012사회,2012지배구조,2013통합등급,2013환경,2013사회,2013지배구조,2014통합등급,2014환경,2014사회,2014지배구조,2015통합등급,2015환경,2015사회,2015지배구조,2016통합등급,2016환경,2016사회,2016지배구조,2017통합등급,2017환경,2017사회,2017지배구조,2018통합등급,2018환경,2018사회,2018지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2024통합등급,2024환경,2024사회,2024지배구조,종목코드,시장구분,업종명,시가총액
삼성화재,A,A,A,B+,A,A,A,B+,A,A,A,A,A,A,A,A,A,A+,A,A,A+,A+,A+,A,A,A,A+,A,A,B+ 이하,A+,A+,A,A+,A+,A,A,A+,A+,B+,A,A,A,A,A,A,A+,A,A,A,A+,A,810,KOSPI,보험,14236100000000.0
삼아알미늄,,B,,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B이하,B,B,C,B,B,B,C,B+,C,D,D,B,C,C,D,C,C,C,D,C,6110,KOSPI,철강금속,1119580000000.0
삼양식품,B이하,B,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B+,B이하,B,B+,B이하,B이하,D,B이하,B이하,B,B,B,B,A,A,A+,A,B+,A,A+,B,A,A,A+,A,A,A,A+,A,3230,KOSPI,음식료품,2207170000000.0
삼양엔텍,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼양옵틱스,B이하,C,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225190,KOSDAQ,의료·정밀기기,92818896760.0
삼양제넥스,B이하,B,B이하,B이하,B+,B,B+,B+,B+,B,B+,B+,B+,B+,B+,B+,B+,B+,B이하,B+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼양통상,,B,,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B+,C,B,C,D,B,C,C,B+,C,D,D,B,C,C,D,B+,C,C,D,B+,2170,KOSPI,기타제조업,148800000000.0
삼양홀딩스,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B+,B이하,B+,B,B+,B+,B+,A,A,B,B+,B+,A,B,B+,A,A,B+,B+,A,A,B+,70,KOSPI,기타금융,586653000000.0
삼영무역,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,D,C,C,B,D,C,B+,B,D,C,B+,C,D,D,B+,C,D,D,B+,2810,KOSPI,유통업,235269000000.0
삼영전자,B+,B,B+,,B+,B,B+,B+,B+,B,B+,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B+,B+,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B+,B+,B+,B,B,B,B,B+,C,C,D,C,D,C,C,D,D,C,C,D,5680,KOSPI,전기전자,190400000000.0
삼영,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B+,B이하,C,B이하,B+,B이하,B,B이하,B+,C,B,C,C,B,B,C,B,C,C,D,C,C,C,D,C,C,C,D,C,3720,KOSPI,화학,129880000000.0
삼익THK,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B+,B,B,B+,B+,B,B,B+,C,C,C,C,C,C,C,B,C,C,C,B,4380,KOSPI,기계,278250000000.0
삼익악기,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,D,C,B,C,D,C,B+,D,C,D,D,C,C,D,C,C,C,D,C,2450,KOSPI,기타제조업,116513000000.0
삼일제약,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,D,B+,B,B,D,B,B+,D,D,D,C,C,D,C,C,C,D,C,C,520,KOSPI,의약품,183800000000.0
삼정펄프,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,C,B,C,C,C,D,B,D,D,C,D,D,C,C,D,D,C,C,D,9770,KOSPI,종이목재,62499275000.0
삼진제약,B이하,B+,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B+,B이하,B,D,B+,B,B,D,B,B+,D,D,D,D,C,D,D,B+,C,D,D,B+,5500,KOSPI,의약품,273830000000.0
삼천리,B이하,B+,B이하,B이하,B+,B+,B+,B이하,B+,B+,B+,B이하,B+,B+,B+,B+,B이하,C,B+,B+,B+,B+,B+,B+,B+,B,B+,B+,B+,B+,B+,B+,B+,B+,A,B+,B+,B,A,B+,C,C,B+,C,C,B,B,C,C,B,B,C,4690,KOSPI,전기가스업,369818000000.0
삼호,B이하,B,B이하,B이하,B이하,B,B+,B이하,B이하,C,B+,B이하,B+,B,B+,B+,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,
삼호개발,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,D,D,C,C,C,D,D,B,B,C,B+,B,B+,B,A,B+,B+,B,A,B+,10960,KOSPI,건설업,81750000000.0
삼화왕관,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,B,C,B,B,B,C,B,D,D,D,D,D,C,D,D,D,C,D,D,4450,KOSPI,기계,70448193300.0
삼화전기,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,C,C,B,B,C,C,C,B,D,D,D,D,D,C,C,D,D,C,C,D,9470,KOSPI,전기전자,251325000000.0
삼화전자,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,D,D,C,C,C,C,C,B,D,D,D,D,D,D,D,D,D,D,D,D,11230,KOSPI,전기전자,67526286500.0
삼화콘덴서,,C,,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B,B,B,B,C,C,B,B,D,D,C,D,D,C,C,D,D,C,C,D,1820,KOSPI,전기전자,466736000000.0
삼화페인트,B이하,B+,B이하,B이하,B+,B+,B+,B+,B이하,B+,B이하,B이하,B+,B+,B+,B+,B이하,C,B+,B+,B+,B+,B이하,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B,B+,B+,B+,B+,B+,A,B,C,B+,B+,B+,B+,A,B+,B+,B+,A,B+,390,KOSPI,화학,202666000000.0
삼환기업,B이하,B,B이하,B이하,B이하,B,B이하,B이하,,,,,B이하,C,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상신브레이크,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,B,B,B,B,B,B,B,D,D,C,C,C,D,B,C,C,D,B,C,41650,KOSPI,운수장비,82020939000.0
새론오토모티브,,C,,B이하,B이하,B,B이하,B+,B이하,C,B이하,B+,B이하,C,B+,B+,B이하,C,B이하,B+,B이하,C,B이하,B+,B이하,C,B이하,B+,B이하,B,B이하,B+,B,B,B,B,C,C,C,B,D,D,C,C,D,C,D,D,D,C,D,D,75180,KOSPI,운수장비,72960000000.0
샘표,B이하,B,B이하,,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,C,B,B+,C,B,B,B+,B,C,D,C,C,C,C,B,D,C,C,B,D,7540,KOSPI,기타금융,142496000000.0
서연,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,B,B이하,B이하,B+,C,B+,B+,B+,B+,A,B+,B+,B,A,B,B+,B+,A,B+,B+,B+,A,B+,7860,KOSPI,기타금융,214136000000.0
서울가스,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B+,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B+,B+,B+,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B,C,B+,B,B+,C,B+,A,C,D,B,C,C,C,B,C,C,C,B,C,17390,KOSPI,전기가스업,284000000000.0
서울식품,,B,,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,B,B,B,B+,B,B,B+,D,D,D,D,D,C,D,D,D,C,D,D,4410,KOSPI,음식료품,64457956148.0
서울저축은행,B이하,C,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서원,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B,B,C,B,B,B,C,B+,C,C,D,C,C,C,D,C,C,C,D,C,21050,KOSPI,철강금속,64375544040.0
서흥,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,C,C,C,B,B,C,B,B+,B,C,B,B+,B+,B+,A,B,B+,B+,A,B,8490,KOSPI,화학,249314000000.0
선도전기,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,B,C,B,C,C,C,B,D,D,D,D,D,C,C,D,D,C,C,D,7610,KOSPI,전기전자,54000000000.0
선진지주,B이하,C,B이하,,B이하,C,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUN&L,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B+,B,B,B+,B+,B,B,B+,C,D,C,B,C,C,C,C,C,C,C,C,2820,KOSPI,종이목재,32591651565.0
성문전자,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,C,B,C,C,C,C,C,D,D,C,D,C,C,D,C,C,C,D,C,14910,KOSPI,전기전자,32029364610.0
성보화학,,B,,,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,C,D,B,B,B,D,B,B+,D,D,C,C,D,D,C,C,D,D,C,C,3080,KOSPI,화학,58258200000.0
성신양회,B이하,B+,B이하,B이하,B이하,B,B이하,B+,B+,B+,B이하,B+,B+,B+,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,C,B이하,B+,B이하,B,B이하,B+,C,B+,B,C,B+,B+,B+,B+,C,C,B,C,B,B,A,C,B,B,A,C,4980,KOSPI,비금속광물,206670000000.0
성안머티리얼즈,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,
성창기업지주,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,C,D,C,C,C,D,C,C,D,D,D,D,D,D,D,C,D,D,D,C,180,KOSPI,서비스업,132737000000.0
세기상사,,B,,,,C,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,C,D,C,C,C,D,C,B,D,D,D,D,C,D,D,B,C,D,D,B,2420,KOSPI,유통업,43581368320.0
세방,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B+,B+,B+,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B+,B,B+,B+,B,B,D,B+,C,C,C,B,B+,B+,B+,B,B+,B+,B+,B,4360,KOSPI,운수창고업,224946000000.0
세방전지,B이하,B,B이하,B이하,B+,B+,B+,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,C,B+,B+,B+,B,B+,B+,B이하,C,B이하,B+,B이하,C,B이하,B+,B,B+,B,B,B,B,B,B+,C,B,C,C,C,C,C,C,C,C,C,C,4490,KOSPI,전기전자,1303400000000.0
세아베스틸지주,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,C,B이하,B+,B+,B,B+,B+,B이하,C,B이하,B+,B이하,C,B+,B+,B,B,B,B+,B+,B+,B,B+,C,C,B,B,A,A,A+,A,A,A,A+,A,1430,KOSPI,철강금속,747725000000.0
세아제강,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,C,B이하,B+,B이하,C,B+,B+,B이하,B,B이하,B+,B이하,C,B이하,B+,B,B,B+,B,B+,B+,B+,B+,B+,B,B+,B+,A,B+,A,A,A,B+,A,A,306200,KOSPI,철강금속,384886000000.0
세아홀딩스,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B,C,B,B+,B+,B+,B+,B+,C,C,B+,C,B+,A,A+,B,B+,A,A+,B,58650,KOSPI,철강금속,429200000000.0
세우글로벌,,B,,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,B,C,C,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,13000,KOSPI,유통업,40387978617.0
세원이앤씨,B이하,B,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B,B,B,B,C,D,C,B,D,D,C,D,D,D,D,D,D,D,D,D,91090,KOSPI,기계,54838923850.0
세원정공,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,C,C,B+,D,C,C,B,C,D,D,C,D,C,C,C,C,C,C,C,C,21820,KOSPI,운수장비,78200000000.0
세이브존I&C,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,D,B,C,C,D,C,B,C,D,C,C,C,D,C,C,C,D,C,C,67830,KOSPI,유통업,96446103250.0
에스제이지세종,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B+,B이하,C,B이하,B이하,C,B,B+,C,B,B,B,B,C,D,B,D,D,C,C,D,D,C,C,D,33530,KOSPI,운수장비,158858000000.0
세하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B+,B이하,C,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,,,,,,,,,,,,,,,,,,,,,,,,
솔로몬저축은행,B이하,B+,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송원산업,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,C,B이하,B+,B이하,B,B이하,B+,B이하,C,B이하,B+,B이하,C,B이하,B+,B+,B,B+,B+,B이하,D,B이하,B+,B,B+,B+,C,C,B,B,C,D,C,C,D,C,B+,B+,D,C,B+,B+,D,4430,KOSPI,화학,324000000000.0
수산중공업,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,B,B,B,C,D,C,B+,D,D,D,C,C,C,D,B,C,C,D,B,17550,KOSPI,기계,124611000000.0
신대양제지,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,C,C,C,C,C,C,C,B,D,D,C,D,D,C,D,D,D,C,D,D,16590,KOSPI,종이목재,229698000000.0
신도리코,B이하,C,B이하,B이하,B이하,B,B이하,B+,B+,B,B+,B+,B이하,B+,B이하,B이하,B+,B+,B이하,B+,B이하,B,B이하,B+,B+,B+,B이하,B+,B이하,B+,B이하,B이하,B,B,B+,B,C,C,C,B+,C,C,D,B+,C,C,D,C,C,C,D,C,29530,KOSPI,전기전자,373969000000.0
신라교역,,B,,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,C,D,C,B,C,D,D,B+,D,D,D,C,D,D,D,C,D,D,D,C,4970,KOSPI,"농업, 임업 및 어업",135680000000.0
신성에프에이,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,C,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신성이엔지,B이하,B,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,C,C,B,B,B,C,B+,D,D,C,C,D,C,D,D,D,C,D,D,11930,KOSPI,전기전자,428164000000.0
신성통상,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,C,D,C,C,C,C,B,D,D,D,D,D,D,D,D,D,D,D,D,5390,KOSPI,유통업,255657000000.0
신세계,B이하,A,B이하,B이하,B+,B+,B+,B이하,B+,B+,A,B+,B+,B+,B+,B+,B+,C,A,B+,B+,C,A+,B+,B+,B,A+,B+,B+,B,A+,B+,A,B+,A,A,A,A,A+,A,A,A,A+,B+,A,A,A+,A,A,A,A+,A,4170,KOSPI,유통업,1618550000000.0
신세계I&C,B이하,B,B이하,,B이하,C,B+,B이하,B+,B,B+,B+,B이하,B,B+,B이하,B이하,B,B이하,B+,B+,B,B+,B+,B+,B,A,B이하,B이하,B,A,B이하,B+,B,B+,B+,B+,B,B+,A,B+,B+,A,B+,A,A,A+,A,A,A,A+,A,35510,KOSPI,서비스업,193500000000.0
신세계건설,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B+,B이하,B이하,C,A,B이하,B이하,B,B+,B이하,B+,B,B+,B+,B이하,B+,B이하,B이하,B+,B+,B+,B이하,B,C,B,B+,B+,C,A,A,B+,B,A,B+,B+,B+,A,B+,B+,B+,A,B+,34300,KOSPI,건설업,80709761600.0
신영와코루,B이하,C,B이하,,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,C,D,B,C,C,D,B,B,D,D,D,D,D,D,D,D,D,D,D,D,5800,KOSPI,섬유의복,82620000000.0
신영증권,B이하,B+,B이하,,,B+,B이하,,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,A,B이하,B이하,B+,A,B이하,B이하,B이하,B+ 이하,B이하,B이하,B,D,B,B+,B,D,C,B+,B+,C,B+,B+,B+,B,A,B+,B+,B,A,B+,1720,KOSPI,증권,625509000000.0
신원,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,D,D,C,C,C,D,B,B,D,D,C,C,C,C,B,D,C,C,B,D,9270,KOSPI,섬유의복,131311000000.0
신일건업,B이하,B,B이하,,B이하,B,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신일전자,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,D,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,C,D,C,B,C,D,D,B+,D,D,D,D,D,D,D,D,D,D,D,D,2700,KOSPI,유통업,132362000000.0
신풍제약,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,D,B,B+,B,D,B,B+,D,D,C,D,D,D,D,D,D,D,D,D,19170,KOSPI,의약품,722715000000.0
신풍,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B,B+,C,B,B+,B,B,B+,D,D,D,C,D,D,D,C,D,D,D,C,2870,KOSPI,유통업,29470184100.0
신한,,C,,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,
신한지주,A,A,A,A,A,A+,A,B+,A+,A+,A+,A,A,A+,A,A,A+,A+,A+,A,A+,A+,A+,A+,A+,S,A,A+,A+,A+,A,A+,A+,A+,A,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,55550,KOSPI,기타금융,22566100000000.0
SHD,,B,,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,D,D,C,D,C,D,C,B,D,D,D,C,C,D,D,B,C,D,D,B,1770,KOSPI,철강금속,21928547900.0
신흥,B이하,B+,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B,D,B,B,B,D,B,B,D,D,C,D,C,D,C,C,C,D,C,C,4080,KOSPI,유통업,142120000000.0
쌍방울,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,C,D,B,C,C,D,B,C,D,D,C,D,D,D,D,D,D,D,D,D,102280,KOSPI,섬유의복,70637282701.0
쌍용C&E,B이하,B,B이하,B+,B이하,C,B이하,B+,B이하,C,B이하,B+,B이하,C,B+,B+,B이하,B,B이하,B+,B+,B,A,A,B+,B+,B이하,A,A,B+,A,A,B+,B,B+,B+,A,A,A,B+,B+,B+,B,B+,B+,B+,B,A,B+,B+,B,A,3410,KOSPI,비금속광물,3495870000000.0
써니전자,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B+,B이하,B이하,B,B이하,B이하,C,C,B,B,C,D,B,B,D,D,D,C,D,C,C,D,D,C,C,D,4770,KOSPI,전기전자,72304681480.0
씨아이테크,,B,,,,C,B이하,,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,D,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,C,B이하,B이하,C,D,C,C,C,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,4920,KOSPI,기타제조업,59628359463.0
아남전자,,B,,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,C,C,C,C,C,C,B,D,D,C,D,D,D,C,C,D,D,C,C,8700,KOSPI,전기전자,141987000000.0
