종목명,2011통합등급,2011환경,2011사회,2011지배구조,2012통합등급,2012환경,2012사회,2012지배구조,2013통합등급,2013환경,2013사회,2013지배구조,2014통합등급,2014환경,2014사회,2014지배구조,2015통합등급,2015환경,2015사회,2015지배구조,2016통합등급,2016환경,2016사회,2016지배구조,2017통합등급,2017환경,2017사회,2017지배구조,2018통합등급,2018환경,2018사회,2018지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2024통합등급,2024환경,2024사회,2024지배구조,종목코드,시장구분,업종명,시가총액
SNT에너지,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B+,B,B,B+,B,B,B,B,C,D,C,C,D,D,C,D,D,D,C,D,100840,KOSPI,기계,76193116650.0
SNT모티브,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B+,B+,B이하,B+,B이하,B,B이하,B+,B+,B,B+,B+,B,C,B,B+,C,C,D,B,C,C,C,C,C,C,C,C,64960,KOSPI,운수장비,666084000000.0
SNT다이내믹스,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,B,B+,B이하,B+,B,B+,B+,B이하,B,B이하,B+,B+,B+,B+,B+,B,B,C,B,C,C,C,B,C,C,C,C,C,C,C,C,3570,KOSPI,운수장비,540356000000.0
SNT홀딩스,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B+,C,B+,B+,B+,B,B,B+,C,C,C,B,B,C,C,B+,B,C,C,B+,36530,KOSPI,기타금융,366837000000.0
S-Oil,A,A,A,A+,A,A,A,A+,A+,A,A+,A+,A+,A+,A,A+,A,A,A+,A,A+,A+,A+,A,A+,A+,A+,A,A+,A+,A+,A,A+,A,A+,A+,A,B+,A+,A+,A,B,A+,A+,A+,A,A+,A+,A+,A,A+,A+,10950,KOSPI,화학,8567550000000.0
SBS,,B,,,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,C,B,B+,B,D,B+,B+,C,D,D,B+,B+,B+,A,B+,B+,B+,A,B+,34120,KOSPI,서비스업,422968000000.0
SBS미디어홀딩스,,B,,,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B+,B이하,,,,,,,,,,,,,,,,,,,,,,,,
SG세계물산,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,C,D,B,C,C,D,B,C,D,D,D,D,D,D,D,D,D,D,D,D,4060,KOSPI,유통업,82791808640.0
SG글로벌,B이하,C,B이하,,B이하,C,B이하,B이하,,,,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,D,C,C,D,C,C,C,C,D,D,D,D,D,C,D,D,D,C,D,D,1380,KOSPI,운수장비,91502031005.0
SH에너지화학,B이하,C,B이하,,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,C,C,C,B+,B,B,D,B+,C,C,D,B+,C,C,D,B,C,C,D,B,2360,KOSPI,화학,71236720930.0
SIMPAC,B이하,C,B이하,,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,C,C,B,C,B,B,B,B,D,D,C,D,D,C,C,D,D,C,C,D,9160,KOSPI,철강금속,287236000000.0
SK,B이하,B+,B이하,,A,B+,A,A,A,B+,A+,A,A,B,A,A+,A,A,A,A,A,A,A+,A,A+,A+,A+,A,A+,A+,A+,A,A+,A,A+,A+,A+,A+,A+,A+,A+,A,A,A+,A+,A,A+,A+,A+,A,A+,A+,34730,KOSPI,기타금융,11865400000000.0
SKC,A,A,A,A+,A,A,A,A,A,B+,A,A,A,B+,A,A,A,B+,A,A,B+,B+,B+,A,B+,B+,B+,A,B+,B+,A,B+,B+,B+,A+,B,A,A,A+,B+,A,B+,A+,A,A+,A+,A+,A,A+,A+,A+,A,11790,KOSPI,화학,4161730000000.0
SK가스,B이하,B,B이하,B이하,B이하,C,B+,B이하,B+,B+,B+,B이하,B+,B+,B+,B이하,B이하,B+,B이하,B이하,B이하,B+,B+,B이하,B이하,B+,B+,B이하,B+,B+,A,B이하,A,B+,A+,A,A,A,A+,A,A,A,A+,A,A+,A+,A+,A,A+,A+,A+,A,18670,KOSPI,유통업,1426070000000.0
SK네트웍스,A+,A,A+,B이하,B+,A,A,B이하,B+,A,B+,B이하,B+,B+,A,B이하,B이하,B+,B+,B이하,B+,A,B+,B이하,B+,B+,B+,B이하,A,B+,A+,B+,A,B+,A+,A,A,B+,A+,A,A,A,A+,B+,A,A,A+,A,A,A,A+,A,1740,KOSPI,유통업,1199330000000.0
SK디스커버리,B+,B+,B+,A,B+,B+,B이하,A,B+,B+,B+,A,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,A,B이하,,B+,,,A,B,A,A,A,A,A+,A,A,A,A+,B+,A,A+,A+,A,A,A+,A+,A,6120,KOSPI,기타금융,830335000000.0
SK이노베이션,A,A+,A,,A,A,B+,A,B+,B,A,A,B+,B,A,A,A,B+,A,A,A,A+,B+,A,B+,A,A,B이하,A,A,A+,B+,A,A,A,A,A+,A,A+,A+,A,B+,A+,A+,A+,A,A+,A+,A+,A,A+,A+,96770,KOSPI,화학,10588400000000.0
SK증권,B+,B+,B+,,B+,A,A,B이하,B이하,B+,B+,B이하,B이하,B+,B+,B이하,B이하,B+,B+,B이하,B+,A,B+,B이하,B+,A,B+,B이하,B이하,B+ 이하,B이하,B이하,B,D,A,B,B+,C,A,B+,B+,C,B+,B+,B+,B,B+,B+,B+,B,B+,B+,1510,KOSPI,증권,281664000000.0
SK텔레콤,A+,A+,A+,A+,A,B+,A,A+,A,B+,A,A,A,A+,B+,A,A,A,A,A,A,A,B+,A,A,A,B+,A,A+,A+,A,A,A,A+,A,A,A,A,A+,A,A,A+,A,A,A,A,A,A,A,A,A,A,17670,KOSPI,통신업,10954300000000.0
SK하이닉스,A+,A+,A+,A+,A+,A+,A+,A+,A,B+,A+,A,B+,B,A,B+,B+,B+,B+,B+,B+,A,B+,B+,A,A,A,A,A,B+,A+,B+,A,A,A+,A,A,B+,A+,A,B+,B+,A,B+,A,A,A+,A,A,A,A+,A,660,KOSPI,전기전자,124925000000000.0
