,회사명,종합등급,환경,사회,지배구조
51,JB금융지주  2021  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
52,JW생명과학  2021  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
53,JW중외제약  2021  N  N,KCGS  B,환경  C,사회  B+,지배구조 B+
54,JW홀딩스  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
55,KB금융  2021  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A+
56,KC그린홀딩스  2021  N  N,KCGS  B,환경  D,사회  C,지배구조 B+
57,KC코트렐  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
58,KEC  2021  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
59,KG스틸  2021  N  N,KCGS  B,환경  B+,사회  B,지배구조 B
60,KG케미칼  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
61,KH 필룩스  2021  N  N,KCGS  C,환경  C,사회  B,지배구조 C
62,KIB플러그에너지  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
63,KISCO홀딩스  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B
64,KPX케미칼  2021  N  N,KCGS  C,환경  B,사회  C,지배구조 C
65,KPX홀딩스  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B+
66,KR모터스  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
67,KSS해운  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
68,KTcs  2021  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
69,KTis  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
70,LF  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
71,LG  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
72,LG디스플레이  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
73,LG생활건강  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
74,LG에너지솔루션  2021  N  N,KCGS  -,환경  -,사회  -,지배구조 -
75,LG유플러스  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
76,LG이노텍  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
77,LG전자  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
78,LG헬로비전  2021  N  N,KCGS  B+,환경  C,사회  A,지배구조 A
79,LG화학  2021  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
80,LIG넥스원  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
81,LS  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 B+
82,LS네트웍스  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
83,LS에코에너지  2021  N  N,KCGS  B,환경  D,사회  C,지배구조 B+
84,LX세미콘  2021  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
85,LX인터내셔널  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
86,LX하우시스  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
87,MH에탄올  2021  N  N,KCGS  B,환경  B,사회  D,지배구조 B+
88,NAVER  2021  N  N,KCGS  A+,환경  A,사회  A,지배구조 A+
89,NH투자증권  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
90,NICE  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
91,NICE평가정보  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 B
92,NI스틸  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
93,OCI홀딩스  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
94,PI첨단소재  2021  N  N,KCGS  B+,환경  B+,사회  B,지배구조 B+
95,POSCO홀딩스  2021  N  N,KCGS  A,환경  A,사회  B+,지배구조 A+
96,S-Oil  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A+
97,SBS  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
98,SGC에너지  2021  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
99,SG글로벌  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 C
100,SG세계물산  2021  N  N,KCGS  C,환경  D,사회  B,지배구조 C
101,SHD  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
102,SH에너지화학  2021  N  N,KCGS  B,환경  B,사회  D,지배구조 B+
103,SIMPAC  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B
104,SK  2021  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A+
105,SKC  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
106,SK가스  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
107,SK네트웍스  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
108,SK디스커버리  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
109,SK디앤디  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
110,SK렌터카  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 B+
111,SK바이오사이언스  2021  N  N,KCGS  -,환경  -,사회  -,지배구조 -
112,SK아이이테크놀로지  2021  N  N,KCGS  -,환경  -,사회  -,지배구조 -
113,SK이노베이션  2021  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
114,SK증권  2021  N  N,KCGS  B+,환경  C,사회  A,지배구조 B+
115,SK케미칼  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
116,SK텔레콤  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
117,SK하이닉스  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
118,SNT다이내믹스  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B
119,SNT모티브  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
120,SNT에너지  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B
121,SNT홀딩스  2021  N  N,KCGS  B+,환경  B,사회  B,지배구조 B+
122,SPC삼립  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
123,STX  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
124,STX엔진  2021  N  N,KCGS  B+,환경  B,사회  B,지배구조 B+
125,STX중공업  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
126,SUN&L  2021  N  N,KCGS  B+,환경  B,사회  B,지배구조 B+
127,TCC스틸  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B
128,TP  2021  N  N,KCGS  B,환경  C,사회  B+,지배구조 B
129,TYM  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 B+
130,WISCOM  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
131,YG PLUS  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
132,가온전선  2021  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
133,강남제비스코  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B+
134,강원랜드  2021  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
135,갤럭시아에스엠  2021  N  N,KCGS  C,환경  D,사회  D,지배구조 B
136,경농  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B
137,경동나비엔  2021  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
138,경동도시가스  2021  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
139,경동인베스트  2021  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
140,경방  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
141,경보제약  2021  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
142,경인양행  2021  N  N,KCGS  C,환경  C,사회  B,지배구조 B
143,경인전자  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
144,계룡건설산업  2021  N  N,KCGS  C,환경  D,사회  D,지배구조 B+
145,계양전기  2021  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
146,고려산업  2021  N  N,KCGS  C,환경  C,사회  D,지배구조 B
147,고려아연  2021  N  N,KCGS  B,환경  B+,사회  C,지배구조 B+
148,고려제강  2021  N  N,KCGS  B+,환경  B+,사회  B,지배구조 B+
149,광동제약  2021  N  N,KCGS  B,환경  C,사회  B+,지배구조 B+
150,광명전기  2021  N  N,KCGS  C,환경  C,사회  D,지배구조 B
151,광전자  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
152,광주신세계  2021  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
153,교보증권  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B
154,국도화학  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B+
155,국동  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
156,국보  2021  N  N,KCGS  D,환경  D,사회  D,지배구조 C
157,국제약품  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
158,그린케미칼  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B
159,극동유화  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B
160,금강공업  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
161,금비  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
162,금양  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
163,금호건설  2021  N  N,KCGS  C,환경  C,사회  D,지배구조 C
164,금호석유화학  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 A
165,금호에이치티  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
166,금호전기  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
167,금호타이어  2021  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
168,기신정기  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
169,기아  2021  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A
170,기업은행  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
171,까뮤이앤씨  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
172,깨끗한나라  2021  N  N,KCGS  B,환경  B+,사회  B,지배구조 B
173,남광토건  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
174,남선알미늄  2021  N  N,KCGS  C,환경  C,사회  B,지배구조 B
175,남성  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
176,남양유업  2021  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
177,남해화학  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
178,넥센  2021  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
179,넥센타이어  2021  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
180,넷마블  2021  N  N,KCGS  B+,환경  D,사회  B+,지배구조 A
181,노루페인트  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
182,노루홀딩스  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
183,녹십자  2021  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
184,녹십자홀딩스  2021  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
185,농심  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 B
186,농심홀딩스  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
187,다스코  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B+
188,다올투자증권  2021  N  N,KCGS  B+,환경  C,사회  A,지배구조 B+
189,다우기술  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
190,다이나믹디자인  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 C
191,대교  2021  N  N,KCGS  B+,환경  D,사회  B+,지배구조 A
192,대구백화점  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
193,대덕  2021  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
194,대동  2021  N  N,KCGS  B+,환경  B,사회  B,지배구조 B+
195,대동전자  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
196,대림비앤코  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
197,대림통상  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 C
198,대상  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
199,대상홀딩스  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
200,대성산업  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
201,대성에너지  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B
202,대성홀딩스  2021  N  N,KCGS  B,환경  C,사회  B+,지배구조 B
203,대신증권  2021  N  N,KCGS  A,환경  B,사회  A+,지배구조 A
204,대양금속  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
205,대영포장  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 C
206,대우건설  2021  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
207,대우부품  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
208,대웅  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B
209,대웅제약  2021  N  N,KCGS  C,환경  D,사회  B,지배구조 B
210,대원강업  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B+
211,대원전선  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
212,대원제약  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
213,대원화성  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B+
214,대유에이텍  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
215,대유플러스  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 C
216,대창  2021  N  N,KCGS  C,환경  B,사회  B,지배구조 C
217,대창단조  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B+
218,대한방직  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
219,대한유화  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B+
220,대한전선  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
221,대한제강  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B
222,대한제당  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B+
223,대한제분  2021  N  N,KCGS  B,환경  C,사회  C,지배구조 B+
224,대한항공  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
225,대한해운  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
226,대한화섬  2021  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
227,대현  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
228,대호에이엘  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B
229,더블유게임즈  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
230,더존비즈온  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B
231,덕성  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
232,덕양산업  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
233,덴티움  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
234,도화엔지니어링  2021  N  N,KCGS  B+,환경  B,사회  B,지배구조 B+
235,동국홀딩스  2021  N  N,KCGS  B+,환경  B+,사회  B,지배구조 B+
236,동남합성  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
237,동방  2021  N  N,KCGS  C,환경  B,사회  D,지배구조 B
238,동방아그로  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
239,동부건설  2021  N  N,KCGS  C,환경  C,사회  D,지배구조 B+
240,동서  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
241,동성제약  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
242,동성케미컬  2021  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
243,동아쏘시오홀딩스  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
244,동아에스티  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
245,동아지질  2021  N  N,KCGS  C,환경  D,사회  D,지배구조 B
246,동아타이어  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
247,동양  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
248,동양고속  2021  N  N,KCGS  B,환경  C,사회  C,지배구조 B+
249,동양생명  2021  N  N,KCGS  B+,환경  C,사회  A,지배구조 B+
250,동양철관  2021  N  N,KCGS  C,환경  D,사회  D,지배구조 B
251,동양피스톤  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B+
252,동원F&B  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 B
253,동원금속  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
254,동원산업  2021  N  N,KCGS  B,환경  C,사회  B+,지배구조 B+
255,동원수산  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
256,동원시스템즈  2021  N  N,KCGS  B,환경  C,사회  B+,지배구조 B
257,동일고무벨트  2021  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
258,동일산업  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B+
259,동일제강  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
260,동화약품  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B
261,두산  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
262,두산밥캣  2021  N  N,KCGS  B+,환경  C,사회  A,지배구조 A
263,두산에너빌리티  2021  N  N,KCGS  A,환경  A+,사회  A,지배구조 B+
264,두산퓨얼셀  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 A
265,두올  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
266,드림텍  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
267,디씨엠  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
268,디아이  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
269,디아이동일  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
270,디아이씨  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
271,디와이  2021  N  N,KCGS  B,환경  C,사회  C,지배구조 B+
272,디와이파워  2021  N  N,KCGS  B,환경  C,사회  C,지배구조 B+
273,락앤락  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
274,롯데관광개발  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B
275,롯데손해보험  2021  N  N,KCGS  A,환경  B,사회  A+,지배구조 A
276,롯데쇼핑  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
277,롯데에너지머티리얼즈  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
278,롯데웰푸드  2021  N  N,KCGS  A,환경  A,사회  A,지배구조 A
279,롯데이노베이트  2021  N  N,KCGS  A,환경  A,사회  A,지배구조 A
280,롯데정밀화학  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
281,롯데지주  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
282,롯데칠성음료  2021  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
283,롯데케미칼  2021  N  N,KCGS  A,환경  B,사회  A+,지배구조 A
284,롯데푸드  2021  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
285,롯데하이마트  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
286,마니커  2021  N  N,KCGS  C,환경  D,사회  B,지배구조 B
287,만호제강  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
288,맵스리얼티1  2021  N  N,KCGS  -,환경  -,사회  -,지배구조 -
289,메리츠금융지주  2021  N  N,KCGS  B+,환경  D,사회  B+,지배구조 A
290,메리츠증권  2021  N  N,KCGS  B+,환경  C,사회  A,지배구조 B+
291,메리츠화재  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
292,메타랩스  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B+
293,명문제약  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
294,명신산업  2021  N  N,KCGS  -,환경  -,사회  -,지배구조 -
295,모나리자  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B
296,모나미  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
297,모토닉  2021  N  N,KCGS  B,환경  B,사회  B,지배구조 B+
298,무림P&P  2021  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
299,무림페이퍼  2021  N  N,KCGS  A,환경  B+,사회  B+,지배구조 A
300,무학  2021  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
301,문배철강  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
302,미래산업  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 C
303,미래아이앤지  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 C
304,미래에셋생명  2021  N  N,KCGS  B+,환경  C,사회  A+,지배구조 B+
305,미래에셋증권  2021  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
306,미원상사  2021  N  N,KCGS  C,환경  C,사회  D,지배구조 B
307,미원에스씨  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
308,미원홀딩스  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
309,미원화학  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
310,미창석유공업  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
311,방림  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
312,백광산업  2021  N  N,KCGS  B,환경  B,사회  C,지배구조 B
313,백산  2021  N  N,KCGS  C,환경  C,사회  B,지배구조 B
314,범양건영  2021  N  N,KCGS  C,환경  D,사회  B,지배구조 C
315,벽산  2021  N  N,KCGS  B,환경  B+,사회  B,지배구조 B
316,보락  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
317,보령  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
318,보해양조  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
319,부광약품  2021  N  N,KCGS  C,환경  D,사회  D,지배구조 B+
320,부국증권  2021  N  N,KCGS  C,환경  D,사회  B,지배구조 C
321,부국철강  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
322,부산산업  2021  N  N,KCGS  C,환경  D,사회  D,지배구조 B
323,부산주공  2021  N  N,KCGS  C,환경  B,사회  D,지배구조 B
324,비비안  2021  N  N,KCGS  D,환경  D,사회  C,지배구조 C
325,비상교육  2021  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
326,비에이치  2021  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
327,비케이탑스  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 C
328,빙그레  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
329,사조대림  2021  N  N,KCGS  B+,환경  C,사회  A,지배구조 B+
330,사조동아원  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
331,사조산업  2021  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
332,사조씨푸드  2021  N  N,KCGS  B,환경  C,사회  B+,지배구조 B+
333,사조오양  2021  N  N,KCGS  C,환경  D,사회  B,지배구조 C
334,삼부토건  2021  N  N,KCGS  C,환경  C,사회  D,지배구조 B+
335,삼성E&A  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
336,삼성SDI  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
337,삼성공조  2021  N  N,KCGS  C,환경  C,사회  C,지배구조 B
338,삼성물산  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
339,삼성바이오로직스  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
340,삼성생명  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
341,삼성에스디에스  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
342,삼성전기  2021  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
343,삼성전자  2021  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
344,삼성제약  2021  N  N,KCGS  C,환경  D,사회  C,지배구조 B
345,삼성중공업  2021  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
