,회사명,종합등급,환경,사회,지배구조
60,KG모빌리티  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
61,KG스틸  2024  N  N,KCGS  B,환경  B+,사회  A,지배구조 C
62,KG케미칼  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 C
63,KH 필룩스  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
64,KIB플러그에너지  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
65,KISCO홀딩스  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
66,KPX케미칼  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
67,KPX홀딩스  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
68,KR모터스  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
69,KSS해운  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
70,KTcs  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 A
71,KTis  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
72,LF  2024  N  N,KCGS  B+,환경  B,사회  B,지배구조 B+
73,LG  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
74,LG디스플레이  2024  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
75,LG생활건강  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
76,LG에너지솔루션  2024  N  N,KCGS  -,환경  -,사회  -,지배구조 -
77,LG유플러스  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 A
78,LG이노텍  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
79,LG전자  2024  N  N,KCGS  A,환경  A+,사회  A,지배구조 A
80,LG헬로비전  2024  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
81,LG화학  2024  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
82,LIG넥스원  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
83,LS  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 A
84,LS네트웍스  2024  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
85,LS에코에너지  2024  N  N,KCGS  C,환경  D,사회  C,지배구조 B
86,LX세미콘  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B+
87,LX인터내셔널  2024  N  N,KCGS  B+,환경  B+,사회  A+,지배구조 B
88,LX하우시스  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 B+
89,LX홀딩스  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
90,MH에탄올  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
91,NAVER  2024  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
92,NH투자증권  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 A
93,NICE  2024  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
94,NICE평가정보  2024  N  N,KCGS  -,환경  -,사회  -,지배구조 -
95,NI스틸  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
96,OCI홀딩스  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 A
97,PI첨단소재  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
98,POSCO홀딩스  2024  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
99,S-Oil  2024  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
100,SBS  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
101,SGC에너지  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B
102,SG글로벌  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
103,SG세계물산  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
104,SHD  2024  N  N,KCGS  C,환경  D,사회  D,지배구조 B
105,SH에너지화학  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 B
106,SIMPAC  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
107,SK  2024  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
108,SKC  2024  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A
109,SK가스  2024  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A
110,SK네트웍스  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
111,SK디스커버리  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 A
112,SK디앤디  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
113,SK렌터카  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 A
114,SK바이오사이언스  2024  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
115,SK스퀘어  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
116,SK아이이테크놀로지  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
117,SK이노베이션  2024  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
118,SK증권  2024  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
119,SK케미칼  2024  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A
120,SK텔레콤  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 A
121,SK하이닉스  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
122,SNT다이내믹스  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
123,SNT모티브  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
124,SNT에너지  2024  N  N,KCGS  D,환경  D,사회  C,지배구조 D
125,SNT홀딩스  2024  N  N,KCGS  B,환경  C,사회  C,지배구조 B+
126,SPC삼립  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
127,STX  2024  N  N,KCGS  C,환경  D,사회  C,지배구조 C
128,STX엔진  2024  N  N,KCGS  C,환경  C,사회  B,지배구조 D
129,STX중공업  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 B
130,SUN&L  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
131,TCC스틸  2024  N  N,KCGS  C,환경  B+,사회  B+,지배구조 D
132,TP  2024  N  N,KCGS  D,환경  D,사회  C,지배구조 D
133,TYM  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
134,WISCOM  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 B
135,YG PLUS  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
136,가온전선  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
137,강남제비스코  2024  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
138,강원랜드  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 A
139,갤럭시아에스엠  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
140,경농  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 B+
141,경동나비엔  2024  N  N,KCGS  B,환경  B+,사회  A,지배구조 C
142,경동도시가스  2024  N  N,KCGS  C,환경  C,사회  B+,지배구조 D
143,경동인베스트  2024  N  N,KCGS  C,환경  C,사회  B+,지배구조 C
144,경방  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 C
145,경보제약  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
146,경인양행  2024  N  N,KCGS  C,환경  B+,사회  B+,지배구조 D
147,경인전자  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
148,계룡건설산업  2024  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B
149,계양전기  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
150,고려산업  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
151,고려아연  2024  N  N,KCGS  B,환경  A,사회  A,지배구조 C
152,고려제강  2024  N  N,KCGS  C,환경  C,사회  B,지배구조 D
153,광동제약  2024  N  N,KCGS  C,환경  C,사회  B,지배구조 C
154,광명전기  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
155,광전자  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
156,광주신세계  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
157,교보증권  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B+
158,교촌에프앤비  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 B
159,국도화학  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
160,국동  2024  N  N,KCGS  C,환경  D,사회  C,지배구조 C
161,국보  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
162,국제약품  2024  N  N,KCGS  C,환경  D,사회  C,지배구조 B
163,그린케미칼  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 B
164,극동유화  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
165,금강공업  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 B
166,금비  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
167,금양  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
168,금호건설  2024  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
169,금호석유화학  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
170,금호에이치티  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
171,금호전기  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
172,금호타이어  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
173,기신정기  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
174,기아  2024  N  N,KCGS  B,환경  A,사회  A+,지배구조 C
175,기업은행  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 A
176,까뮤이앤씨  2024  N  N,KCGS  C,환경  D,사회  D,지배구조 B
177,깨끗한나라  2024  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B
178,남광토건  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
179,남선알미늄  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
180,남성  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
181,남양유업  2024  N  N,KCGS  B,환경  B+,사회  A,지배구조 C
182,남해화학  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
183,넥센  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
184,넥센타이어  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B
185,넷마블  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
186,노루페인트  2024  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
187,노루홀딩스  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
188,녹십자  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
189,녹십자홀딩스  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
190,농심  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B
191,농심홀딩스  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
192,다스코  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
193,다올투자증권  2024  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
194,다우기술  2024  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
195,다이나믹디자인  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
196,대교  2024  N  N,KCGS  B+,환경  C,사회  B+,지배구조 B+
197,대구백화점  2024  N  N,KCGS  C,환경  D,사회  C,지배구조 B
198,대덕  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B
199,대덕전자  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 B+
200,대동  2024  N  N,KCGS  C,환경  B,사회  A,지배구조 D
201,대동전자  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
202,대림비앤코  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
203,대림통상  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
204,대상  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
205,대상홀딩스  2024  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
206,대성산업  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
207,대성에너지  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
208,대성홀딩스  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
209,대신증권  2024  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
210,대양금속  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
211,대영포장  2024  N  N,KCGS  D,환경  D,사회  C,지배구조 D
212,대우건설  2024  N  N,KCGS  A,환경  A+,사회  B+,지배구조 A
213,대우부품  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
214,대웅  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B+
215,대웅제약  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B
216,대원강업  2024  N  N,KCGS  C,환경  B,사회  B+,지배구조 C
217,대원전선  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
218,대원제약  2024  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
219,대원화성  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
220,대유에이텍  2024  N  N,KCGS  C,환경  C,사회  B,지배구조 D
221,대유플러스  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
222,대창  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
223,대창단조  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 C
224,대한방직  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 B
225,대한유화  2024  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B
226,대한전선  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
227,대한제강  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
228,대한제당  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
229,대한제분  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
230,대한항공  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
231,대한해운  2024  N  N,KCGS  C,환경  B,사회  B+,지배구조 D
232,대한화섬  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 B
233,대현  2024  N  N,KCGS  C,환경  D,사회  D,지배구조 B+
234,대호에이엘  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 B
235,더블유게임즈  2024  N  N,KCGS  B,환경  D,사회  C,지배구조 B+
236,더존비즈온  2024  N  N,KCGS  C,환경  D,사회  B,지배구조 D
237,덕성  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 B
238,덕양산업  2024  N  N,KCGS  C,환경  D,사회  B,지배구조 D
239,덴티움  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
240,도화엔지니어링  2024  N  N,KCGS  B,환경  C,사회  B,지배구조 B
241,동국홀딩스  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 B+
242,동남합성  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
243,동방  2024  N  N,KCGS  C,환경  C,사회  B,지배구조 D
244,동방아그로  2024  N  N,KCGS  C,환경  D,사회  C,지배구조 B
245,동부건설  2024  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B
246,동서  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
247,동성제약  2024  N  N,KCGS  C,환경  D,사회  C,지배구조 B
248,동성케미컬  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 B+
249,동아쏘시오홀딩스  2024  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
250,동아에스티  2024  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
251,동아지질  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
252,동아타이어  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
253,동양  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
254,동양고속  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 C
255,동양생명  2024  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
256,동양철관  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
257,동양피스톤  2024  N  N,KCGS  C,환경  C,사회  B,지배구조 D
258,동원F&B  2024  N  N,KCGS  B,환경  B+,사회  A,지배구조 C
259,동원금속  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
260,동원산업  2024  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B
261,동원수산  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
262,동원시스템즈  2024  N  N,KCGS  B,환경  A,사회  A,지배구조 C
263,동일고무벨트  2024  N  N,KCGS  A,환경  A,사회  A,지배구조 B+
264,동일산업  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 B
265,동일제강  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 C
266,동화약품  2024  N  N,KCGS  C,환경  C,사회  B,지배구조 C
267,두산  2024  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
268,두산밥캣  2024  N  N,KCGS  A,환경  B,사회  A,지배구조 A
269,두산에너빌리티  2024  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
270,두산퓨얼셀  2024  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
271,두올  2024  N  N,KCGS  C,환경  C,사회  B,지배구조 D
272,드림텍  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
273,디씨엠  2024  N  N,KCGS  C,환경  D,사회  C,지배구조 B
274,디아이  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
275,디아이동일  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
276,디아이씨  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
277,디와이  2024  N  N,KCGS  C,환경  D,사회  C,지배구조 B
278,디와이파워  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 C
279,락앤락  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 B
280,롯데관광개발  2024  N  N,KCGS  D,환경  D,사회  C,지배구조 D
281,롯데렌탈  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B
282,롯데손해보험  2024  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
283,롯데쇼핑  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
284,롯데에너지머티리얼즈  2024  N  N,KCGS  C,환경  B,사회  B,지배구조 C
285,롯데웰푸드  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
286,롯데이노베이트  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
287,롯데정밀화학  2024  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A
288,롯데지주  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
289,롯데칠성음료  2024  N  N,KCGS  A,환경  A+,사회  A,지배구조 B+
290,롯데케미칼  2024  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
291,롯데하이마트  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
292,마니커  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
293,만호제강  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
294,맵스리얼티1  2024  N  N,KCGS  -,환경  -,사회  -,지배구조 -
295,메리츠금융지주  2024  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
296,메리츠증권  2024  N  N,KCGS  -,환경  -,사회  -,지배구조 -
297,메타랩스  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
298,명문제약  2024  N  N,KCGS  C,환경  D,사회  D,지배구조 B
299,명신산업  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
300,모나리자  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
301,모나미  2024  N  N,KCGS  D,환경  D,사회  C,지배구조 D
302,모토닉  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 B
303,무림P&P  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
304,무림페이퍼  2024  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B
305,무학  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 C
306,문배철강  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
307,미래산업  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
308,미래아이앤지  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
309,미래에셋생명  2024  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
310,미래에셋증권  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
311,미원상사  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 B
312,미원에스씨  2024  N  N,KCGS  C,환경  B,사회  B+,지배구조 C
313,미원홀딩스  2024  N  N,KCGS  C,환경  C,사회  B,지배구조 D
314,미원화학  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
315,미창석유공업  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
316,방림  2024  N  N,KCGS  C,환경  C,사회  D,지배구조 C
317,백광산업  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
318,백산  2024  N  N,KCGS  D,환경  C,사회  C,지배구조 D
319,범양건영  2024  N  N,KCGS  D,환경  D,사회  C,지배구조 D
320,벽산  2024  N  N,KCGS  C,환경  B+,사회  B+,지배구조 D
321,보락  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 C
322,보령  2024  N  N,KCGS  B+,환경  A,사회  A,지배구조 B
323,보해양조  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
324,부광약품  2024  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
325,부국증권  2024  N  N,KCGS  C,환경  D,사회  B,지배구조 C
326,부국철강  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
327,부산산업  2024  N  N,KCGS  D,환경  C,사회  D,지배구조 D
328,부산주공  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
329,비비안  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
330,비상교육  2024  N  N,KCGS  B,환경  D,사회  B,지배구조 B
331,비에이치  2024  N  N,KCGS  -,환경  -,사회  -,지배구조 -
332,비케이탑스  2024  N  N,KCGS  D,환경  D,사회  D,지배구조 D
333,빙그레  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
334,사조대림  2024  N  N,KCGS  B,환경  B+,사회  A,지배구조 C
335,사조동아원  2024  N  N,KCGS  C,환경  B+,사회  B,지배구조 C
336,사조산업  2024  N  N,KCGS  B,환경  B+,사회  B+,지배구조 C
337,사조씨푸드  2024  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
338,사조오양  2024  N  N,KCGS  C,환경  B,사회  B+,지배구조 C
339,삼부토건  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
340,삼성E&A  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 A
341,삼성SDI  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 B+
342,삼성공조  2024  N  N,KCGS  C,환경  C,사회  C,지배구조 C
343,삼성물산  2024  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A+
344,삼성바이오로직스  2024  N  N,KCGS  A+,환경  A,사회  A,지배구조 A+
345,삼성생명  2024  N  N,KCGS  A,환경  A+,사회  A+,지배구조 B+
346,삼성에스디에스  2024  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
