종목명,2011 Market Cap,2012 Market Cap,2013 Market Cap,2014 Market Cap,2015 Market Cap,2016 Market Cap,2017 Market Cap,2018 Market Cap,2019 Market Cap,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap
전방,49224000000,42084000000,47124000000,57792000000,1.02984E+11,44016000000,32424000000,28812000000,25788000000,50148000000,67536000000,74676000000,38808000000
제일연마,54000000000,53500000000,63900000000,82800000000,81400000000,62300000000,59000000000,62100000000,77800000000,72200000000,87200000000,86500000000,86900000000
제일파마홀딩스,1.94535E+11,1.88595E+11,1.93793E+11,3.21503E+11,5.70983E+11,1.1984E+12,1.55569E+11,4.12113E+11,2.71547E+11,3.38635E+11,2.55574E+11,2.4599E+11,1.88006E+11
조광페인트,42624000000,52928000000,83456000000,1.4016E+11,1.7792E+11,1.4528E+11,1.2928E+11,83584000000,70400000000,86784000000,1.12256E+11,96256000000,80384000000
조비,20993324400,30936856500,43978233600,46334210400,49671844200,54895462500,58011071500,1.2046E+11,79441256700,98133317100,1.09297E+11,79441256700,72691346000
조선내화,,,,,,,,,,,,,2.51922E+11
종근당홀딩스,2.4534E+11,4.8285E+11,1.54376E+11,2.17729E+11,4.97032E+11,3.45179E+11,3.63215E+11,3.13116E+11,5.05996E+11,6.38757E+11,3.83254E+11,2.65523E+11,2.96584E+11
주연테크,17460300000,34320000000,20677800000,20634900000,42513900000,73759708970,33480966750,39608081270,84974585632,58707995675,76959017200,47714590664,33980366056
진양홀딩스,74620214820,87476131980,1.09834E+11,2.2973E+11,2.06813E+11,1.87249E+11,1.67686E+11,1.50638E+11,1.45887E+11,1.57345E+11,2.04856E+11,1.69083E+11,1.79424E+11
진원생명과학,65414976000,71036575500,69743102500,1.28577E+11,1.72142E+11,1.89703E+11,1.25139E+11,91895433420,52842038370,9.64815E+11,1.25516E+12,5.55146E+11,2.22866E+11
참엔지니어링,1.10649E+11,61526100285,62342096310,46674972630,52230528350,1.31337E+11,1.31337E+11,79441782170,73674701550,82058632560,71076561920,41795867490,34965376628
청호ICT,21952177260,41950335960,23326096560,18807428640,38499285880,39745790240,26217981760,23202495040,22298512600,98400274400,37500376080,45159499050,1.07911E+11
체시스,22397208750,23226735000,23890356000,13670592600,77640000000,33720000000,23736000000,21168000000,72960000000,47400000000,40160000000,28672000000,62016000000
카프로,8.38E+11,5E+11,2.564E+11,1.136E+11,1.044E+11,2.72E+11,3.032E+11,1.734E+11,1.244E+11,1.552E+11,1.916E+11,78400000000,34240000000
