Symbol,Name,결산월,회계년,주기,ROE(영업이익)(%)
A002390,한독,12,2011,Annual,8.17
A002390,한독,12,2012,Annual,3.04
A002390,한독,12,2013,Annual,2.57
A002390,한독,12,2014,Annual,3.43
A002390,한독,12,2015,Annual,2.03
A002390,한독,12,2016,Annual,1.23
A002390,한독,12,2017,Annual,-0.65
A002390,한독,12,2018,Annual,7.31
A002390,한독,12,2019,Annual,8.36
A002390,한독,12,2020,Annual,7.82
A002390,한독,12,2021,Annual,7.31
A002390,한독,12,2022,Annual,7.44
A002390,한독,12,2023,Annual,3.48
A002390,한독,12,2024,Annual,
A000520,삼일제약,12,2011,Annual,-12.40
A000520,삼일제약,12,2012,Annual,-2.43
A000520,삼일제약,12,2013,Annual,-2.98
A000520,삼일제약,12,2014,Annual,-13.74
A000520,삼일제약,12,2015,Annual,2.92
A000520,삼일제약,12,2016,Annual,7.18
A000520,삼일제약,12,2017,Annual,2.51
A000520,삼일제약,12,2018,Annual,-10.69
A000520,삼일제약,12,2019,Annual,8.15
A000520,삼일제약,12,2020,Annual,10.39
A000520,삼일제약,12,2021,Annual,0.62
A000520,삼일제약,12,2022,Annual,4.19
A000520,삼일제약,12,2023,Annual,5.10
A000520,삼일제약,12,2024,Annual,
A090350,노루페인트,12,2011,Annual,6.21
A090350,노루페인트,12,2012,Annual,7.80
A090350,노루페인트,12,2013,Annual,9.27
A090350,노루페인트,12,2014,Annual,11.44
A090350,노루페인트,12,2015,Annual,11.97
A090350,노루페인트,12,2016,Annual,11.39
A090350,노루페인트,12,2017,Annual,9.65
A090350,노루페인트,12,2018,Annual,7.47
A090350,노루페인트,12,2019,Annual,9.26
A090350,노루페인트,12,2020,Annual,9.84
A090350,노루페인트,12,2021,Annual,7.52
A090350,노루페인트,12,2022,Annual,7.38
A090350,노루페인트,12,2023,Annual,11.52
A090350,노루페인트,12,2024,Annual,
A081000,일진다이아,12,2011,Annual,27.96
A081000,일진다이아,12,2012,Annual,14.93
A081000,일진다이아,12,2013,Annual,10.05
A081000,일진다이아,12,2014,Annual,10.95
A081000,일진다이아,12,2015,Annual,18.88
A081000,일진다이아,12,2016,Annual,7.72
A081000,일진다이아,12,2017,Annual,16.04
A081000,일진다이아,12,2018,Annual,15.08
A081000,일진다이아,12,2019,Annual,9.59
A081000,일진다이아,12,2020,Annual,4.87
A081000,일진다이아,12,2021,Annual,2.51
A081000,일진다이아,12,2022,Annual,0.62
A081000,일진다이아,12,2023,Annual,-0.82
A081000,일진다이아,12,2024,Annual,
A107590,미원홀딩스,12,2011,Annual,24.89
A107590,미원홀딩스,12,2012,Annual,33.92
A107590,미원홀딩스,12,2013,Annual,28.29
A107590,미원홀딩스,12,2014,Annual,20.63
A107590,미원홀딩스,12,2015,Annual,20.23
A107590,미원홀딩스,12,2016,Annual,1.26
A107590,미원홀딩스,12,2017,Annual,5.41
A107590,미원홀딩스,12,2018,Annual,2.84
A107590,미원홀딩스,12,2019,Annual,4.71
A107590,미원홀딩스,12,2020,Annual,11.01
A107590,미원홀딩스,12,2021,Annual,13.70
A107590,미원홀딩스,12,2022,Annual,9.28
A107590,미원홀딩스,12,2023,Annual,5.92
A107590,미원홀딩스,12,2024,Annual,
A000860,강남제비스코,12,2011,Annual,5.59
A000860,강남제비스코,12,2012,Annual,6.80
A000860,강남제비스코,12,2013,Annual,7.67
A000860,강남제비스코,12,2014,Annual,7.29
A000860,강남제비스코,12,2015,Annual,6.69
A000860,강남제비스코,12,2016,Annual,6.09
A000860,강남제비스코,12,2017,Annual,3.18
A000860,강남제비스코,12,2018,Annual,0.33
A000860,강남제비스코,12,2019,Annual,-0.35
A000860,강남제비스코,12,2020,Annual,0.48
A000860,강남제비스코,12,2021,Annual,-2.04
A000860,강남제비스코,12,2022,Annual,0.66
A000860,강남제비스코,12,2023,Annual,3.38
A000860,강남제비스코,12,2024,Annual,
A100250,진양홀딩스,12,2011,Annual,4.97
A100250,진양홀딩스,12,2012,Annual,5.23
A100250,진양홀딩스,12,2013,Annual,6.20
A100250,진양홀딩스,12,2014,Annual,6.07
A100250,진양홀딩스,12,2015,Annual,6.29
A100250,진양홀딩스,12,2016,Annual,5.88
A100250,진양홀딩스,12,2017,Annual,3.95
A100250,진양홀딩스,12,2018,Annual,2.45
A100250,진양홀딩스,12,2019,Annual,3.52
A100250,진양홀딩스,12,2020,Annual,3.04
A100250,진양홀딩스,12,2021,Annual,1.76
A100250,진양홀딩스,12,2022,Annual,1.32
A100250,진양홀딩스,12,2023,Annual,0.85
A100250,진양홀딩스,12,2024,Annual,
A372910,한컴라이프케어,12,2011,Annual,12.51
A372910,한컴라이프케어,12,2012,Annual,36.94
A372910,한컴라이프케어,12,2013,Annual,41.75
A372910,한컴라이프케어,12,2014,Annual,38.24
A372910,한컴라이프케어,12,2015,Annual,45.32
A372910,한컴라이프케어,12,2016,Annual,N/A(IFRS)
A372910,한컴라이프케어,12,2017,Annual,39.55
A372910,한컴라이프케어,12,2018,Annual,189.66
A372910,한컴라이프케어,12,2019,Annual,완전잠식
