종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021-2020통합등급,2021-2020환경,2021-2020사회,2021-2020지배구조,2022-2021통합등급,2022-2021환경,2022-2021사회,2022-2021지배구조,2023-2022통합등급,2023-2022환경,2023-2022사회,2023-2022지배구조,2024-2023통합등급,2024-2023환경,2024-2023사회,2024-2023지배구조,종목코드,시장구분,업종명,시가총액
인스코비,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,5.0,3.0,3.0,0.0,-4.0,0.0,2.0,-2.0,0.0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6490,KOSPI,통신업,141531782700.0
인지컨트롤스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,3.0,3.0,5.0,3.0,0.0,-2.0,-2.0,2.0,-2.0,0.0,0.0,-4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,23800,KOSPI,운수장비,118252793560.0
인천도시가스,5.0,1.0,5.0,6.0,5.0,1.0,5.0,6.0,3.0,1.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,3.0,5.0,6.0,-2.0,-2.0,-2.0,-1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34590,KOSPI,전기가스업,110900013900.0
인터지스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,6.0,6.0,5.0,5.0,6.0,-1.0,0.0,-2.0,0.0,-2.0,-2.0,2.0,-3.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,129260,KOSPI,운수창고업,68122631460.0
인팩,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,6.0,3.0,3.0,3.0,5.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23810,KOSPI,운수장비,83800000000.0
일동제약,6.0,6.0,8.0,5.0,6.0,6.0,8.0,5.0,5.0,3.0,8.0,5.0,7.0,6.0,7.0,7.0,7.0,6.0,8.0,6.0,0.0,0.0,-1.0,1.0,-2.0,-3.0,1.0,-2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,249420,KOSPI,의약품,416166889830.0
일동홀딩스,7.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,6.0,3.0,8.0,6.0,7.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,1.0,1.0,0.0,1.0,-1.0,-3.0,1.0,-1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,230,KOSPI,의약품,99593652000.0
일성건설,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,6.0,5.0,5.0,5.0,5.0,0.0,0.0,-2.0,1.0,-4.0,-4.0,-2.0,-3.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,13360,KOSPI,건설업,78282051120.0
일성아이에스,3.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,6.0,3.0,1.0,5.0,5.0,0.0,0.0,-2.0,1.0,-2.0,0.0,-2.0,-5.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3120,KOSPI,의약품,255626000000.0
일신방직,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,6.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,2.0,-5.0,-2.0,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,KOSPI,섬유의복,200440800000.0
일신석재,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7110,KOSPI,유통업,82491289650.0
