Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원),총자산(천원)
A006120,SK디스커버리,12,2016,Annual,"2,662,430,030","3,883,506,414","6,545,936,444"
A006120,SK디스커버리,12,2017,Annual,"2,143,595,365","2,908,002,780","5,051,598,144"
A006120,SK디스커버리,12,2018,Annual,"2,318,569,224","2,487,038,523","4,805,607,747"
A006120,SK디스커버리,12,2019,Annual,"2,323,214,585","2,676,892,387","5,000,106,972"
A006120,SK디스커버리,12,2020,Annual,"2,616,361,618","3,005,272,711","5,621,634,329"
A006120,SK디스커버리,12,2021,Annual,"3,069,308,328","3,812,564,887","6,881,873,215"
A006120,SK디스커버리,12,2022,Annual,"5,953,321,868","5,826,776,624","11,780,098,492"
A006120,SK디스커버리,12,2023,Annual,"6,069,572,248","6,181,138,047","12,250,710,295"
A006120,SK디스커버리,12,2024,Annual,,,
A008730,율촌화학,12,2011,Annual,"294,337,985","94,646,290","388,984,274"
A008730,율촌화학,12,2012,Annual,"304,170,115","140,436,903","444,607,018"
A008730,율촌화학,12,2013,Annual,"318,899,617","203,967,916","522,867,533"
A008730,율촌화학,12,2014,Annual,"314,103,603","252,130,944","566,234,547"
A008730,율촌화학,12,2015,Annual,"314,803,977","200,403,714","515,207,692"
A008730,율촌화학,12,2016,Annual,"321,188,999","205,573,594","526,762,593"
A008730,율촌화학,12,2017,Annual,"335,727,088","241,934,566","577,661,654"
A008730,율촌화학,12,2018,Annual,"336,213,095","277,998,255","614,211,350"
A008730,율촌화학,12,2019,Annual,"341,983,595","264,507,839","606,491,434"
A008730,율촌화학,12,2020,Annual,"347,643,462","265,701,497","613,344,959"
A008730,율촌화학,12,2021,Annual,"346,066,225","320,650,273","666,716,498"
A008730,율촌화학,12,2022,Annual,"333,811,755","319,324,397","653,136,153"
A008730,율촌화학,12,2023,Annual,"306,262,066","372,689,001","678,951,067"
A008730,율촌화학,12,2024,Annual,,,
A271940,일진하이솔루스,12,2011,Annual,,,
A271940,일진하이솔루스,12,2012,Annual,"8,408,657","8,568,205","16,976,862"
A271940,일진하이솔루스,12,2013,Annual,"4,493,099","10,891,400","15,384,499"
A271940,일진하이솔루스,12,2014,Annual,"5,860,962","17,510,808","23,371,770"
A271940,일진하이솔루스,12,2015,Annual,"4,703,254","16,460,692","21,163,945"
A271940,일진하이솔루스,12,2016,Annual,"4,823,934","17,899,472","22,723,406"
A271940,일진하이솔루스,12,2017,Annual,"8,363,359","20,526,222","28,889,580"
A271940,일진하이솔루스,12,2018,Annual,"8,578,143","19,630,722","28,208,865"
A271940,일진하이솔루스,12,2019,Annual,"37,712,577","40,155,340","77,867,917"
A271940,일진하이솔루스,12,2020,Annual,"53,218,238","28,083,295","81,301,533"
A271940,일진하이솔루스,12,2021,Annual,"307,157,965","36,385,115","343,543,080"
