종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조
삼성물산  ,8,8,8,8,8,8,8,8,7,7,7,7,7,7,8,7,7,8,7,6
삼성바이오로직스  ,8,7,7,8,8,7,7,8,7,7,8,7,7,7,8,7,6,5,7,6
삼성생명  ,7,8,8,6,7,8,8,6,7,7,8,6,7,7,8,6,6,7,7,6
삼성에스디에스  ,7,7,8,6,7,7,8,6,7,7,8,7,7,7,8,7,7,6,8,7
삼성전기  ,7,7,8,7,7,7,8,7,7,7,8,7,7,7,8,6,7,7,8,6
삼성전자  ,7,7,8,6,7,7,8,6,7,7,8,6,6,7,8,5,5,7,8,3
삼성제약  ,1,1,1,3,1,1,1,3,1,1,1,1,3,1,3,5,3,5,3,1
삼성중공업  ,7,7,8,6,7,7,8,6,6,6,6,6,6,5,7,6,6,6,5,7
삼성증권  ,6,7,8,5,6,7,8,5,7,7,8,6,7,7,8,6,6,5,8,5
삼성출판사  ,3,1,1,5,3,1,1,5,3,1,1,6,3,1,1,6,3,1,3,5
삼성카드  ,7,8,8,7,7,8,8,7,7,7,8,7,7,8,8,7,5,1,6,6
삼성화재해상보험  ,7,7,8,7,7,7,8,7,7,7,7,7,7,8,8,6,7,8,8,7
삼아알미늄  ,3,3,1,3,3,3,1,3,3,1,1,5,5,5,3,6,5,5,3,5
삼양사  ,6,8,7,5,6,8,7,5,6,6,7,5,7,7,7,6,6,6,6,5
삼양식품  ,7,7,8,7,7,7,8,7,6,7,8,5,7,7,8,7,5,5,5,5
삼양통상  ,3,3,1,6,3,3,1,6,3,1,1,5,5,3,3,6,3,5,3,1
삼양패키징  ,5,6,6,3,5,6,6,3,5,3,6,5,6,5,6,6,3,3,6,3
삼양홀딩스  ,6,7,7,6,6,7,7,6,6,6,7,5,6,7,7,5,6,5,6,6
삼영  ,3,3,1,3,3,3,1,3,3,3,1,3,5,5,3,5,3,5,3,3
삼영무역  ,3,1,1,6,3,1,1,6,5,1,3,6,5,1,3,6,3,1,3,3
삼영전자공업  ,1,3,3,1,1,3,3,1,3,3,1,3,5,5,5,6,6,6,6,5
삼원강재  ,5,5,5,6,5,5,5,6,3,3,1,3,3,5,1,5,5,6,3,5
삼익THK  ,3,3,3,5,3,3,3,5,3,3,3,3,6,5,5,6,6,5,5,6
삼익악기  ,3,3,1,3,3,3,1,3,1,3,1,1,3,1,3,6,3,1,3,5
삼일씨엔에스  ,1,3,1,1,1,3,1,1,1,1,1,1,5,3,5,6,5,3,5,6
삼일제약  ,3,1,3,3,3,1,3,3,1,1,1,3,5,1,5,6,5,1,6,5
삼정펄프  ,1,3,3,1,1,3,3,1,1,1,3,1,3,3,1,5,3,3,5,3
삼진제약  ,3,1,1,6,3,1,1,6,1,1,1,1,5,1,5,6,5,1,6,5
삼천리  ,3,5,5,3,3,5,5,3,3,3,6,3,6,5,7,6,6,6,7,6
삼호개발  ,6,5,7,6,6,5,7,6,5,3,6,5,3,1,1,5,1,1,3,3
삼화왕관  ,1,3,1,1,1,3,1,1,1,1,1,1,5,5,3,5,5,5,3,5
삼화전기  ,1,3,3,1,1,3,3,1,1,1,1,1,3,3,3,5,3,3,5,5
삼화전자공업  ,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,1,1,3,3
삼화콘덴서공업  ,1,3,3,1,1,3,3,1,1,1,3,1,3,3,5,5,5,5,5,5
삼화페인트공업  ,6,6,7,6,6,6,7,6,5,3,6,6,6,6,6,7,6,5,6,6
상상인증권  ,1,1,3,1,1,1,3,1,1,1,3,1,3,1,5,1,3,1,5,3
상신브레이크  ,3,1,5,3,3,1,5,3,1,1,3,3,5,5,5,5,5,5,5,5
새론오토모티브  ,1,3,1,1,1,3,1,1,1,1,3,3,3,3,3,5,5,5,5,5
샘표  ,3,3,5,1,3,3,5,1,3,1,3,3,5,5,6,5,3,5,6,3
샘표식품  ,3,3,5,1,3,3,5,1,3,1,3,3,5,5,6,5,3,5,6,3
서연  ,6,6,7,6,6,6,7,6,6,5,7,5,6,6,7,6,6,3,6,6
서연이화  ,6,6,7,5,6,6,7,5,6,5,7,6,7,6,7,7,6,5,6,6
서울도시가스  ,3,3,5,3,3,3,5,3,3,1,5,3,6,3,6,7,5,3,6,5
서울식품공업  ,1,3,1,1,1,3,1,1,1,1,1,1,6,5,5,6,5,5,5,5
서원  ,3,3,1,3,3,3,1,3,3,3,1,3,5,5,3,6,5,5,3,5
서흥  ,6,6,7,5,6,6,7,5,5,3,5,6,5,3,5,6,3,3,3,5
선도전기  ,1,3,3,1,1,3,3,1,1,1,1,1,3,3,3,5,5,5,3,5
선진  ,6,3,5,7,6,3,5,7,3,3,6,3,6,5,7,5,5,1,5,6
성문전자  ,3,3,1,3,3,3,1,3,1,1,3,1,3,3,3,3,3,3,5,3
성보화학  ,1,1,3,3,1,1,3,3,1,1,3,3,5,1,5,6,3,1,5,5
성신양회  ,5,5,7,3,5,5,7,3,3,3,5,3,6,6,6,6,3,6,5,3
성안머티리얼스  ,1,1,1,1,1,1,1,1,3,1,1,5,1,1,3,3,3,3,3,5
성창기업지주  ,1,1,1,3,1,1,1,3,1,1,1,1,3,1,3,3,3,1,3,3
세기상사  ,3,1,1,5,3,1,1,5,1,1,1,1,3,1,3,5,3,1,3,3
세방  ,6,6,6,5,6,6,6,5,3,3,3,5,5,5,1,6,6,5,6,6
세방전지  ,3,3,3,3,3,3,3,3,3,5,3,3,5,5,5,6,5,6,5,5
세아베스틸지주  ,7,7,8,7,7,7,8,7,3,3,5,5,6,6,5,6,5,5,5,6
세아제강  ,7,6,7,7,7,6,7,7,6,5,6,6,6,6,6,6,5,5,6,5
세아제강지주  ,6,6,7,6,6,6,7,6,5,5,6,5,6,6,6,6,5,3,5,5
세아특수강  ,7,6,7,7,7,6,7,7,6,3,6,7,6,6,6,6,5,5,3,5
세아홀딩스  ,6,7,8,5,6,7,8,5,3,3,6,3,6,6,6,6,5,3,5,6
세우글로벌  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,5,3,3
세원이앤씨  ,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,5,5,5,5,5
세원정공  ,3,3,3,3,3,3,3,3,1,1,3,1,3,3,5,3,3,3,6,1
세이브존I&C  ,3,1,3,3,3,1,3,3,3,1,3,3,3,1,3,5,3,1,5,3
세진중공업  ,3,3,1,3,3,3,1,3,1,1,1,3,3,3,3,6,5,1,6,6
셀트리온  ,5,6,8,3,5,6,8,3,5,3,6,5,5,3,6,6,6,5,5,6
솔루스첨단소재  ,5,3,6,5,5,3,6,5,3,1,3,5,5,1,5,6,,,,
솔루엠  ,3,1,1,5,3,1,1,5,-,-,-,-,,,,,,,,
송원산업  ,3,6,6,1,3,6,6,1,1,3,3,1,3,5,5,3,5,6,6,3
수산중공업  ,3,3,1,5,3,3,1,5,1,1,1,3,3,1,3,6,5,5,5,5
스타리츠  ,1,1,1,3,1,1,1,3,,,,,,,,,,,,
스틱인베스트먼트  ,5,3,7,5,5,3,7,5,,,,,3,1,3,6,5,1,5,6
시디즈  ,1,3,1,1,1,3,1,1,3,1,3,3,3,3,3,3,3,1,3,5
시알홀딩스  ,1,3,1,1,1,3,1,1,1,3,3,1,5,5,5,5,3,5,5,3
신대양제지  ,1,3,1,1,1,3,1,1,1,1,3,1,3,3,3,5,3,3,3,3
신도리코  ,3,3,1,3,3,3,1,3,3,3,1,6,3,3,3,6,5,5,6,5
신라교역  ,1,1,1,3,1,1,1,3,1,1,1,3,3,1,1,6,3,1,3,5
신성이엔지  ,1,3,1,1,1,3,1,1,1,1,3,3,5,5,3,6,3,3,3,5
신성통상  ,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,3,3,1,3
신세계  ,7,7,8,7,7,7,8,7,7,7,8,6,7,7,8,7,7,6,7,7
신세계I&C  ,7,7,8,7,7,7,8,7,6,6,7,6,6,5,6,7,6,5,6,6
신세계건설  ,6,6,7,6,6,6,7,6,6,5,7,6,6,3,7,7,5,3,5,6
