종목명,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2020,총자산_2021,총자산_2022,총자산_2023,2020 tobinQ,2021 tobinQ,2022 tobinQ,2023 tobinQ,2020대비 2021 tobinQ증가율,2020대비 2022 tobinQ증가율,2020대비 2023 tobinQ증가율,2021대비 2022 tobinQ증가율,2021대비 2023 tobinQ증가율,2022대비 2023 tobinQ증가율
대한전선,1.17E+12,1.52E+12,1.86E+12,1.25E+12,839828614,1033109826,738060568,925279344,1199462928,1420870615,1620264871,1878565100,1.678416704,1.800044141,1.603781341,1.160305461,7.246557849,-4.446771914,-30.86904711,-10.90322151,-35.54016625,-27.65189175
대한제강,2.56E+11,3.83E+11,2.67E+11,3.03E+11,396483255,512229906,422049933,271812695,944860968,1232437581,1220496810,1115779075,0.690905093,0.726598182,0.564906788,0.514731552,5.166134901,-18.23670227,-25.49894953,-22.2532065,-29.15870633,-8.882038109
대한제당,2.15E+11,2.92E+11,2.43E+11,3.05E+11,667672501,671091219,681747544,630801051,1146241857,1182290229,1219466296,1185391612,0.77025062,0.814229193,0.758688081,0.789368713,5.709644606,-1.501139842,2.482061343,-6.821311788,-3.053253348,4.043905867
대한제분,2.81E+11,2.61E+11,2.24E+11,2.16E+11,304081446,440979864,399078815,407391972,1084880808,1321597381,1318431899,1401353854,0.538880808,0.5312396,0.472533936,0.444836948,-1.417977326,-12.31197519,-17.45169951,-11.0506942,-16.26434694,-5.86137541
대한항공,4.79E+12,1.03E+13,8.48E+12,8.83E+12,21878336960,19806214029,19705240816,20576567788,25190061074,26671903184,28997701022,30391776030,1.058558647,1.12688674,0.972146405,0.96751989,6.4548236,-8.163198274,-8.600256339,-13.73166699,-14.14222431,-0.475907323
대한화섬,1.35E+11,1.65E+11,1.55E+11,1.40E+11,115099123,165770866,122779865,143756015,722306185,907819642,836764532,860872754,0.346882151,0.363996163,0.332418326,0.330044148,4.933667449,-4.169665335,-4.854098819,-8.675321282,-9.327574749,-0.71421381
대현,83914977450,1.01E+11,96978258900,89007443100,49378450,59050547,54998742,48980005,252923294,280081122,297649820,309337534,0.527011274,0.572893117,0.51058993,0.446074055,8.70604578,-3.115937845,-15.35777759,-10.87518504,-22.13660078,-12.63555582
대호에이엘,67158726525,1.71E+11,67604574700,83957796811,73758019,76000082,80661978,51150337,101175472,145025262,153542697,145877680,1.392795534,1.703572733,0.965637283,0.926174133,22.31319617,-30.66912844,-33.50250553,-43.31693249,-45.63342586,-4.086746676
더존비즈온,3.13E+12,2.22E+12,1.12E+12,8.80E+11,406089762,398587976,394392969,437989023,804070787,900314203,832892726,883327560,4.399002947,2.906238697,1.817764667,1.491599586,-33.93414982,-58.67780292,-66.09232583,-37.4530155,-48.67594366,-17.94319622
덕성,1.44E+11,2.60E+11,86487520000,1.48E+11,38803664,40299826,41762767,41050936,105039887,125291792,125172359,126819097,1.740021522,2.400251614,1.024589518,1.49363101,37.94378889,-41.11627325,-14.16019906,-57.31324532,-37.77189851,45.7784785
덕양산업,55686115800,1.08E+11,77993127100,1.93E+11,457267351,459786678,431773772,482586900,513044314,523564265,520217537,573648655,0.999822925,1.08375173,0.979911023,1.177326738,8.394366914,-1.99154283,17.75352502,-9.581595465,8.634358383,20.14628984
케이비아이동국실업,45833197968,70646561370,61166539760,66219353445,396370266,397931073,373187014,426184780,566142150,568005111,553570562,622237518,0.781082037,0.824953201,0.784639906,0.791344333,5.616716463,0.45550512,1.313856266,-4.886737172,-4.074033298,0.854459042
하이스틸,38598919200,55298451600,66631854300,66328982235,113613390,121886838,143503167,121222358,239658335,259714572,292456090,270448865,0.635122117,0.682230836,0.718518193,0.693481706,7.417269419,13.13071505,9.188719258,5.318926517,1.649129463,-3.484461127
하이트진로,2.26E+12,2.14E+12,1.81E+12,1.60E+12,2223505553,2537892111,2172409937,2242471577,3297783699,3631051440,3333438311,3358347206,1.358565619,1.287231037,1.19488635,1.142890041,-5.250727757,-12.04794724,-15.87524186,-7.173901521,-11.21329362,-4.351569408
하이트진로홀딩스,3.56E+11,2.90E+11,2.32E+11,2.08E+11,2844595889,3148923131,2779584713,2874614630,3904980587,4236298193,3945000965,3979751149,0.81964169,0.811852465,0.76333789,0.774654875,-0.950320767,-6.86931874,-5.488595269,-5.97578712,-4.581816455,1.482565631
