종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조
롯데렌탈  ,B+,A,A,B,B+,A,A,B,,,,,,,,,,,,
롯데손해보험  ,B+,B,B+,B+,B+,B,B+,B+,B+,B,B+,B+,A,B,A+,A,B+,C,A,A
롯데쇼핑  ,A,A,A+,A,A,A,A+,A,A,A,A+,A,A,A,A+,A,A,A,A+,A
롯데에너지머티리얼즈  ,C,B,B,C,C,B,B,C,D,D,D,D,C,C,C,B,C,B,C,C
롯데웰푸드  ,B+,B+,A,B+,B+,B+,A,B+,A,B,A,A,A,A,A,A,A,A,A+,B+
롯데이노베이트  ,A,A,A+,A,A,A,A+,A,A,A,A,A,A,A,A,A,A,B+,A,A
롯데정밀화학  ,A+,A+,A+,A,A+,A+,A+,A,A,A,A+,A,A,A,A+,A,A,A,A+,A
롯데지주  ,A,A,A+,A,A,A,A+,A,A,A,A+,B+,A,B+,A+,A,B+,B,A,B
롯데칠성음료  ,A,A+,A,B+,A,A+,A,B+,B+,A,A,B,A,B+,A+,A,B+,B+,A,B+
롯데케미칼  ,B+,A,A+,B,B+,A,A+,B,A,B+,A+,A,A,B,A+,A,B+,B,A,A
롯데하이마트  ,A,A,A+,A,A,A,A+,A,A,A,A+,A,A,A,A+,A,A,B+,A+,A
마니커  ,D,D,D,C,D,D,D,C,D,D,D,D,C,D,B,B,C,D,B+,C
만호제강  ,C,C,C,B+,C,C,C,B+,C,D,C,B+,C,C,C,B+,C,C,B,B
맵스리얼티1  ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
메리츠금융지주  ,B+,B,A,B+,B+,B,A,B+,B,C,C,B+,B+,D,B+,A,B+,D,B+,A
메리츠증권  ,-,-,-,-,-,-,-,-,B+,C,A,B+,B+,C,A,B+,B+,B,A,B+
메타랩스  ,D,D,D,D,D,D,D,D,D,D,D,D,C,D,C,B+,C,D,B,B
명문제약  ,C,D,D,B,C,D,D,B,D,D,D,C,B,D,B,B+,C,D,B,B
명신산업  ,D,C,C,D,D,C,C,D,D,D,D,D,-,-,-,-,,,,
모나리자  ,B+,B+,A,B,B+,B+,A,B,D,D,C,D,B,B,C,B,B,B,B,B
모나미  ,D,D,C,D,D,D,C,D,D,D,D,D,C,D,C,B,C,D,C,B
모토닉  ,C,C,C,B,C,C,C,B,B,C,B,B+,B,B,B,B+,B,B,B,B
무림P&P  ,B+,B+,A,B+,B+,B+,A,B+,B+,B,A,B+,A,B+,A,A,B+,B+,B+,B+
