,종목명,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2020,총자산_2021,총자산_2022,총자산_2023
341,삼성공조,35616241.0,37761207.0,49783881.0,42256345.0,258204690.0,257514152.0,308654791.0,313423840.0
342,삼성물산,21386258023.0,21892978957.0,27017371086.0,26229919731.0,54331740266.0,55245423114.0,58981492467.0,66127029213.0
343,삼성E&A,3173840385.0,4098204679.0,5271682816.0,4503060317.0,4755575903.0,6058722397.0,7848723223.0,7801398613.0
344,삼성전기,3315102537.0,3070248396.0,3303686219.0,3627546626.0,9225498476.0,9941374038.0,10997170899.0,11657871602.0
345,삼성전자,102288000000.0,121721000000.0,93674903000.0,92228115000.0,378236000000.0,426621000000.0,448425000000.0,455906000000.0
346,삼성제약,56810738.0,18185605.0,15324892.0,15894485.0,178725958.0,145456078.0,117914809.0,93479032.0
347,삼성중공업,9203939004.0,8041328855.0,10919760588.0,12184181554.0,12922170786.0,12138595961.0,14491697985.0,15593389152.0
348,삼성증권,58552648425.0,59626558211.0,47652352674.0,49885200114.0,63869722094.0,65707487000.0,53848261017.0,56507909509.0
349,삼성출판사,118739112.0,115319935.0,35896218.0,30442278.0,292398203.0,338722413.0,211487638.0,196570540.0
350,삼성카드,16279312176.0,19630914160.0,21733666279.0,20670643152.0,23398860283.0,27144187002.0,29623192873.0,28806533713.0
351,삼성화재,76313844152.0,79441679330.0,68272537720.0,68874631708.0,92596378892.0,94934011110.0,80796010435.0,85019029989.0
352,삼아알미늄,97148386.0,105209850.0,150214355.0,149310133.0,207542630.0,227237961.0,288153290.0,404298806.0
353,삼양식품,208948913.0,357388871.0,470165749.0,593512455.0,556224426.0,753080321.0,924929491.0,1170302771.0
354,삼양통상,46525861.0,52591297.0,40424121.0,22832802.0,422110653.0,459013786.0,457536776.0,454751843.0
355,삼양홀딩스,1737778055.0,2035181761.0,2024270110.0,2340123862.0,3893564668.0,4460588689.0,4547780622.0,5136660179.0
356,삼영무역,111949319.0,114637440.0,112174818.0,120001033.0,533231525.0,578816472.0,624208063.0,675612521.0
357,삼영전자,22979317.0,31882386.0,20693875.0,14416675.0,513873622.0,543640907.0,543607710.0,544042880.0
358,삼영,63239100.0,67128160.0,83735128.0,64933628.0,108988417.0,117674616.0,135833316.0,132156559.0
359,삼익THK,197639469.0,180808728.0,233318683.0,270907977.0,387615060.0,378200330.0,444027584.0,473605961.0
360,삼익악기,399474701.0,331393678.0,260906133.0,271955667.0,622371934.0,585304800.0,521558833.0,534158280.0
361,삼일제약,128109718.0,160658491.0,230880901.0,242852725.0,191660927.0,226404983.0,356700497.0,370680097.0
362,삼정펄프,21806867.0,23293618.0,19657538.0,18538669.0,232780513.0,239413229.0,232663819.0,242673645.0
363,삼진제약,55577253.0,98327947.0,130692791.0,154536239.0,269033498.0,332495965.0,406556944.0,419901237.0
364,삼천리,2469141404.0,2785181548.0,3482673623.0,2757736685.0,3859947628.0,4245308851.0,5021952466.0,4432766185.0
365,삼호개발,101420081.0,76141633.0,63537093.0,101025496.0,312804376.0,296852078.0,282392862.0,328385016.0
366,삼화왕관,101925753.0,99670369.0,103072772.0,95306705.0,246083352.0,243315828.0,222783557.0,201158073.0
367,삼화전기,69343133.0,71761025.0,50062915.0,45172484.0,137039897.0,158640156.0,139115270.0,139238489.0
368,삼화전자,41201050.0,49263944.0,51007478.0,44398806.0,55038202.0,66900329.0,68742293.0,73014232.0
369,삼화콘덴서,60145259.0,66356721.0,62021312.0,62806573.0,234968255.0,269298659.0,287453833.0,308031065.0
370,삼화페인트,301977867.0,316175727.0,287461316.0,281560003.0,594292974.0,612097736.0,587186274.0,590613614.0
