종목명,총부채_2011,총부채_2012,총부채_2013,총부채_2014,총부채_2015,총부채_2016,총부채_2017,총부채_2018,총부채_2019,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2011,총자산_2012,총자산_2013,총자산_2014,총자산_2015,총자산_2016,총자산_2017,총자산_2018,총자산_2019,총자산_2020,총자산_2021,총자산_2022,총자산_2023
유니켐,50073696.0,56500293.0,53366663.0,50972250.0,31249205.0,38446074.0,54630326.0,55735680.0,80965534.0,182219406.0,207896481.0,295710102.0,73960755.0,59309478.0,64446069.0,64851524.0,39227318.0,40767618.0,66903488.0,92818715.0,118585016.0,169681996.0,285803950.0,335857581.0,434878231.0,219549496.0
이마트,5534991450.0,6124794948.0,6353901700.0,6767738550.0,7254388518.0,7305925523.0,7295105646.0,7896367362.0,10888018088.0,11843844820.0,18841829087.0,19718359591.0,19609634816.0,11110388259.0,12253991228.0,13051829830.0,13827456646.0,14493751838.0,15430094606.0,16066507597.0,16753863685.0,21094758780.0,22340423719.0,31242082401.0,33201721509.0,33443865586.0
이연제약,28732413.0,30567413.0,38005207.0,35739934.0,43100990.0,30440061.0,71178763.0,77774823.0,52190654.0,87520569.0,232741036.0,236926486.0,251150969.0,134202481.0,156922678.0,178399194.0,191245740.0,260929163.0,209535338.0,290843099.0,303166752.0,273486807.0,317609837.0,477978172.0,484691742.0,499775514.0
롯데에너지머티리얼즈,115138950.0,198755550.0,295365361.0,303408658.0,203867037.0,96065926.0,119854073.0,163793214.0,221477150.0,227381589.0,404284925.0,440193361.0,426413928.0,442163374.0,469866854.0,580795049.0,596095084.0,436708093.0,390766753.0,650284189.0,692206039.0,1036928098.0,1081009989.0,1753565091.0,2430279802.0,2392246608.0
조선선재,12400222.0,10047891.0,11899659.0,13413094.0,13740134.0,12984727.0,14479771.0,12419711.0,10573544.0,9019080.0,13139110.0,9248179.0,9294844.0,45093751.0,50151407.0,60264361.0,74264534.0,89007793.0,100867386.0,111971631.0,115036197.0,121051072.0,125961386.0,139548941.0,145133297.0,155538184.0
지역난방공사,3201466248.0,3369290806.0,3407370521.0,3108449784.0,3122177787.0,3328801685.0,3891858356.0,4097846103.0,4363220622.0,4269404295.0,4694183621.0,5811126778.0,5875165562.0,4581802816.0,4892422214.0,5007901742.0,4741581258.0,4843831864.0,5133804857.0,5721590909.0,5657998589.0,5892614210.0,6073139097.0,6517362464.0,7478129880.0,7968409129.0
KTis,52500427.0,53165670.0,49975254.0,68259629.0,55486015.0,64101282.0,62569689.0,68996317.0,143550655.0,126893638.0,177618512.0,199203706.0,243518966.0,173763860.0,177525579.0,181576207.0,216233937.0,211279655.0,221406433.0,223818296.0,229246050.0,311822912.0,294288885.0,369360806.0,396208069.0,447609122.0
스카이라이프,245117428.0,288422585.0,273562360.0,246326480.0,217850325.0,231452006.0,210550142.0,149840554.0,142838693.0,175038682.0,469693813.0,503764190.0,478564858.0,537329655.0,637337095.0,682193637.0,683008720.0,711294113.0,777948019.0,792893054.0,816001170.0,848276023.0,919475828.0,1275644844.0,1361298311.0,1215697591.0
코오롱인더,3005780434.0,2745711369.0,2774303486.0,2740109969.0,3021689569.0,3123870119.0,3339501158.0,3364325971.0,3166766473.0,2751644078.0,3050719238.0,3270361413.0,3073061698.0,4797614385.0,4628342099.0,4719887457.0,4749217251.0,4986071748.0,5249146053.0,5661948640.0,5572860217.0,5293102916.0,5043688226.0,5601285266.0,6003463016.0,6002718765.0
코오롱플라스틱,108793813.0,115096659.0,131040081.0,123741709.0,111100002.0,133480133.0,159308059.0,143626863.0,141051097.0,119662333.0,148544686.0,131310108.0,81227507.0,196479500.0,208488636.0,219566895.0,214287723.0,208616752.0,308309318.0,353840137.0,340974553.0,338684832.0,317913470.0,369094511.0,387043504.0,362980211.0
티웨이홀딩스,15038602.0,5973171.0,46212242.0,74736909.0,103307117.0,126398606.0,208876189.0,212632462.0,625218172.0,628399403.0,716048793.0,45987386.0,48804665.0,20658797.0,24295231.0,74942426.0,115512019.0,146705005.0,175552057.0,301349741.0,497537192.0,871001110.0,766137055.0,805278646.0,210718177.0,215388360.0
하나투어,164815042.0,172640453.0,183869262.0,249393219.0,287067070.0,308173294.0,382432578.0,476241546.0,789676410.0,577946924.0,372839457.0,355727793.0,485292298.0,296348920.0,352420561.0,376496384.0,437391987.0,504354080.0,520249642.0,628158988.0,716121751.0,1007555858.0,703260915.0,430595585.0,455429440.0,644596378.0
한국항공우주,909908451.0,1005186473.0,1047301842.0,1108249880.0,1593708068.0,1535264520.0,2052997808.0,2702957418.0,3183974946.0,3924790738.0,4557779985.0,6319189868.0,5519636411.0,1755476405.0,1892522284.0,1951527223.0,2108950275.0,2808157935.0,2980840123.0,3193402965.0,3755863511.0,4367135609.0,5159070657.0,5855223993.0,7772406693.0,7139576929.0
한국화장품,63615960.0,73461771.0,85008411.0,40788510.0,31418808.0,43607503.0,40085750.0,42242933.0,46114504.0,45859375.0,26536427.0,21500164.0,23252166.0,123346867.0,113557331.0,108902651.0,91230283.0,72898699.0,99299898.0,99397360.0,95021031.0,81307960.0,75378062.0,48508446.0,43913330.0,48624289.0
HL홀딩스,2024586098.0,2467381664.0,3358388268.0,734254424.0,663345138.0,957540781.0,918584906.0,858901127.0,874308075.0,1074612374.0,1280483945.0,1274667759.0,1287916030.0,3435382396.0,4034737026.0,5077131602.0,1679435649.0,1606041152.0,1914036710.0,1852322927.0,1724148921.0,1760403391.0,1961514203.0,2294958467.0,2279864890.0,2298229319.0
한미약품,409528591.0,426248298.0,417954180.0,444088361.0,977784819.0,862453635.0,868509824.0,901953197.0,1091444833.0,1050137119.0,1008469279.0,915359049.0,798457732.0,787751025.0,835591466.0,880869229.0,1033334526.0,1722592753.0,1596970589.0,1660934086.0,1691209669.0,1913706258.0,1882026593.0,1936728687.0,1924585731.0,1898668376.0
한세엠케이,49094251.0,36125351.0,47523654.0,42182009.0,57142336.0,74049857.0,54294375.0,57116896.0,84143177.0,71842627.0,82126554.0,186180877.0,180692521.0,179137166.0,173129321.0,191133608.0,190088995.0,208943053.0,229748140.0,212873830.0,205628646.0,184743386.0,149681758.0,129057654.0,224809704.0,268472037.0
한전산업,75026745.0,99414432.0,98517245.0,114873874.0,80709099.0,82334820.0,82860422.0,73106043.0,81365061.0,80406634.0,78116902.0,61835339.0,100167696.0,143799372.0,166218533.0,176708574.0,166929079.0,143003843.0,147799967.0,154376440.0,148485447.0,166748912.0,163588747.0,163320480.0,157781436.0,203640941.0
