Symbol,Name,PBR(IFRS-연결)
A204320,HL만도,0.69
A006740,영풍제지,0.69
A126560,현대퓨처넷,0.68
A025860,남해화학,0.68
A012030,DB,0.68
A002600,조흥,0.68
A078000,텔코웨어,0.68
A044380,주연테크,0.68
A064960,SNT모티브,0.67
A000490,대동,0.67
A077500,유니퀘스트,0.67
A012280,영화금속,0.67
A011780,금호석유,0.66
A001720,신영증권,0.66
A003920,남양유업,0.66
A000430,대원강업,0.66
A014530,극동유화,0.66
A058850,KTcs,0.66
A000910,유니온,0.66
A378850,화승알앤에이,0.66
A133820,화인베스틸,0.66
A005830,DB손해보험,0.65
A267250,HD현대,0.65
A453340,현대그린푸드,0.65
A000020,동화약품,0.65
A006060,화승인더,0.65
A055490,테이팩스,0.65
A001380,SG글로벌,0.65
A014130,한익스프레스,0.65
A030720,동원수산,0.65
A456040,OCI,0.64
A126720,수산인더스트리,0.64
A007540,샘표,0.64
A267270,HD현대건설기계,0.63
A004560,현대비앤지스틸,0.63
A006570,대림통상,0.63
A002410,범양건영,0.63
A284740,쿠쿠홈시스,0.62
A015230,대창단조,0.62
A101140,인바이오젠,0.62
A013360,일성건설,0.62
A102280,쌍방울,0.62
A004450,삼화왕관,0.62
A069640,한세엠케이,0.62
A090370,메타랩스,0.62
A014830,유니드,0.61
A104700,한국철강,0.61
A005390,신성통상,0.61
A001460,BYC,0.61
A005430,한국공항,0.61
A019680,대교,0.61
A012610,경인양행,0.61
A005870,휴니드,0.61
A280360,롯데웰푸드,0.60
A192400,쿠쿠홀딩스,0.60
A023150,MH에탄올,0.60
A010420,한솔PNS,0.60
A005490,POSCO홀딩스,0.59
A001680,대상,0.59
A009290,광동제약,0.59
A000390,삼화페인트,0.59
A004270,남성,0.59
A019180,티에이치엔,0.59
A034310,NICE,0.58
A000680,LS네트웍스,0.58
A009680,모토닉,0.58
A011280,태림포장,0.58
A012800,대창,0.58
A010660,화천기계,0.58
A084870,TBH글로벌,0.58
A003680,한성기업,0.58
A018670,SK가스,0.57
A200880,서연이화,0.57
A008490,서흥,0.57
A004250,NPC,0.57
A008040,사조동아원,0.57
A001740,SK네트웍스,0.56
A002350,넥센타이어,0.56
A300720,한일시멘트,0.56
A102260,동성케미컬,0.56
A023800,인지컨트롤스,0.56
A244920,에이플러스에셋,0.56
A003010,혜인,0.56
A009310,참엔지니어링,0.56
A003960,사조대림,0.55
A015890,태경산업,0.55
A016740,두올,0.55
A035000,HS애드,0.55
A012330,현대모비스,0.54
A009830,한화솔루션,0.54
A005940,NH투자증권,0.54
A001630,종근당홀딩스,0.54
A001790,대한제당,0.54
A003120,일성아이에스,0.54
A002900,TYM,0.54
A002390,한독,0.54
A210540,디와이파워,0.54
A248170,샘표식품,0.54
A008260,NI스틸,0.54
A008110,대동전자,0.54
A013520,화승코퍼레이션,0.54
A001260,남광토건,0.54
A009460,한창제지,0.54
A001210,금호전기,0.54
A034220,LG디스플레이,0.53
A006040,동원산업,0.53
A285130,SK케미칼,0.53
A031820,콤텍시스템,0.53
A009180,한솔로지스틱스,0.53
A005360,모나미,0.53
A093240,형지엘리트,0.53
A034730,SK,0.52
A030200,KT,0.52
A029780,삼성카드,0.52
A095570,AJ네트웍스,0.52
A002620,제일파마홀딩스,0.52
A002780,진흥기업,0.52
A264900,크라운제과,0.52
A007590,동방아그로,0.52
A175330,JB금융지주,0.51
A111770,영원무역,0.51
A010780,아이에스동서,0.51
A001020,페이퍼코리아,0.51
A007210,벽산,0.51
A009270,신원,0.51
A163560,동일고무벨트,0.51
A034590,인천도시가스,0.51
A021050,서원,0.51
A092780,동양피스톤,0.51
A049800,우진플라임,0.51
A032640,LG유플러스,0.50
A016360,삼성증권,0.50
A007070,GS리테일,0.50
A005090,SGC에너지,0.50
A024720,콜마홀딩스,0.50
A090350,노루페인트,0.50
A101530,해태제과식품,0.50
A010040,한국내화,0.50
A007120,미래아이앤지,0.50
A105560,KB금융,0.49
A006800,미래에셋증권,0.49
A010060,OCI홀딩스,0.49
A004800,효성,0.49
A009970,영원무역홀딩스,0.49
A003030,세아제강지주,0.49
A100250,진양홀딩스,0.49
A017900,광전자,0.49
A003550,LG,0.48
A011200,HMM,0.48
A096770,SK이노베이션,0.48
A034120,SBS,0.48
A024090,디씨엠,0.48
A000720,현대건설,0.47
A071050,한국금융지주,0.47
A028670,팬오션,0.47
A181710,NHN,0.47
A003530,한화투자증권,0.47
A108670,LX하우시스,0.47
A001250,GS글로벌,0.47
A004710,한솔테크닉스,0.47
A004000,롯데정밀화학,0.46
A006650,대한유화,0.46
A004430,송원산업,0.46
A037560,LG헬로비전,0.46
A002810,삼영무역,0.46
A015360,예스코홀딩스,0.46
A031440,신세계푸드,0.46
A007280,한국특강,0.46
A058860,KTis,0.46
A071090,하이스틸,0.46
A001450,현대해상,0.45
A002030,아세아,0.45
A009160,SIMPAC,0.45
A000480,CR홀딩스,0.45
A035510,신세계 I&C,0.45
A081000,일진다이아,0.45
A023000,삼원강재,0.45
A036580,팜스코,0.45
A026940,부국철강,0.45
A009140,경인전자,0.45
A011210,현대위아,0.44
A001120,LX인터내셔널,0.44
A002310,아세아제지,0.44
A084690,대상홀딩스,0.44
A015860,일진홀딩스,0.44
A092790,넥스틸,0.44
A027970,한국제지,0.44
A044450,KSS해운,0.44
A010100,한국무브넥스,0.44
A079980,휴비스,0.44
A009070,KCTC,0.44
A003080,성보화학,0.44
A012200,계양전기,0.44
A084670,동양고속,0.44
A086790,하나금융지주,0.43
A137310,에스디바이오센서,0.43
A344820,KCC글라스,0.43
A003610,방림,0.43
A004910,조광페인트,0.43
A111110,호전실업,0.43
A005750,대림B&Co,0.43
A025750,한솔홈데코,0.43
A011390,부산산업,0.43
A001770,SHD,0.43
A005810,풍산홀딩스,0.42
A001510,SK증권,0.42
A282690,동아타이어,0.42
A000970,한국주철관,0.42
A002450,삼익악기,0.42
A014440,영보화학,0.42
A058730,다스코,0.42
A010770,평화홀딩스,0.42
A055550,신한지주,0.41
A001390,KG케미칼,0.41
A136490,선진,0.41
A013570,디와이,0.41
