,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,지배구조_등급차이
10,BYC,섬유의복,A001460,12,2014,Annual,608388101.0,82095340.0,10814621,66578997,87275949.0,608388101.0,242958473.0,118618722,7598875,55168746,60053467,365429628.0,176909795.0,102833028.0,27901295,0,2310122,19050210,27875362,-85796016,57732834,60.07,23.31,66.49,38.8,58.13,5.34,15.77,27901295.0,41.87,15.84868481884001,7.115746765044784,25.786425403407563,15.84868481884001,37.09161714419993,31.85223653514555,5.02840188677911,-3.035866088665262,11.080338729145446,22.788304082108567,-27.16938170024822,132.02497981180764,0.2907844428732507,0.4841145365476496,0.7281482831841802,0.0
11,BYC,섬유의복,A001460,12,2015,Annual,691464609.0,91849038.0,15057363,68567867,65860300.0,691464609.0,313347277.0,127449261,9433371,63286502,114077000,378117332.0,182195988.0,111111979.0,21130659,0,4142345,13158137,28069051,-83676887,59092255,54.68,29.12,82.87,53.25,60.98,3.54,11.6,21130659.0,39.02,13.655182910949136,11.88093989256882,-24.53785864877849,13.655182910949136,28.97153704122925,7.444473225735826,3.471996528973298,2.988072537193309,-24.266386201787405,-30.9291761088198,0.6948394069286046,-2.4699620084923324,0.2634928608471992,0.481850400869749,0.5814506822728828,0.0
12,BYC,섬유의복,A001460,12,2016,Annual,733018518.0,118647018.0,15522850,68256885,66665983.0,733018518.0,339167415.0,157857292,13467742,69649468,98400000,393851103.0,211857618.0,144343998.0,16154497,0,4830726,17543266,43942199,-37856352,18071354,53.73,30.07,86.12,55.97,68.13,4.55,7.63,16154496.94,31.87,6.0095496514413815,29.17611396212991,1.223321181349002,6.0095496514413815,8.2401028811238,23.858930810120583,4.161081671865818,16.28006759402407,-23.549487973848805,33.32636679493457,56.55035505119144,-54.758890588269615,0.2890208266198262,0.5379129736752318,0.6246402473539505,0.0
13,BYC,섬유의복,A001460,12,2017,Annual,745823200.0,112685946.0,19107107,62400941,67609243.0,745823200.0,346484954.0,135470772,9084735,31636476,122500000,399338246.0,195815808.0,126448218.0,17207998,0,4708126,6190457,23542700,-30880876,8823245,53.54,30.64,86.76,57.23,64.58,1.56,8.79,17207998.0,35.42,1.746842908544366,-5.024207182349915,1.414904509845738,1.746842908544366,2.1575005959814764,-14.181492483730176,1.3932023950685712,-7.571976949160264,6.521410106424241,-64.71320106529765,-46.42348235690253,-18.42617059351096,0.2625499019070471,0.4903507489237582,0.5651495273875586,0.0
14,CJ대한통운,운수창고업,A000120,12,2011,Annual,3595163312.0,812463279.0,422506026,14577497,1509101286.0,3595163312.0,1330470686.0,590102526,188482127,105334204,522809369,2264692626.0,2587848423.0,2352685057.0,125019927,0,5538770,80994345,111199423,97373509,-58633435,62.99,23.27,58.75,36.94,90.91,3.62,4.83,125019926.6,9.09,-8.037631170475157,10.19443538819993,-14.21717199926552,-8.037631170475157,-21.89597935699712,-33.23941048961583,2.664063932491234,5.043123023977159,-14.528257028051828,-18.025006183471515,13.573394281163864,241.36961796482527,0.7198138716987441,1.1426930053509168,1.9450623378860368,0.0
15,CJ대한통운,운수창고업,A000120,12,2012,Annual,3669501369.0,677650871.0,403102572,13555180,1623205266.0,3669501369.0,1341438819.0,600443468,186445040,77152635,520618490,2328062550.0,2627465778.0,2369632574.0,143027522,0,19340163,69571921,116938980,-219059617,22293867,63.44,23.41,57.62,36.89,90.19,3.03,5.44,143027522.5,9.81,2.067724065604293,-16.59304629323438,7.561055116614623,2.067724065604293,0.8243799067061852,1.752397514732884,2.79816886726596,1.5308993621068856,14.403779807038289,-14.102742605054708,5.161498904540185,-324.96839155709176,0.7160280141048232,1.1286061785582178,1.9586922197157617,1.0
16,CJ대한통운,운수창고업,A000120,12,2013,Annual,4608720687.0,1329685385.0,693587719,14854492,1816461640.0,4608720687.0,2360513240.0,956993741,341668380,249048598,804918021,2248207446.0,3795045156.0,3497499003.0,64177360,0,6932050,-60061094,-73828143,-127284077,161392732,48.78,36.38,105.0,74.57,92.16,-2.62,1.69,64177360.06,7.84,25.59528457829552,96.2198296945744,11.90584937395096,25.59528457829552,75.96875881075871,59.38115609578085,-3.430109899753342,44.43747232699447,-55.12936314452824,-186.3295035363477,-163.1339036820742,-41.89523439183225,0.8234487211830461,1.688031575000842,1.6077203430555635,0.0
17,CJ대한통운,운수창고업,A000120,12,2014,Annual,4542856099.0,1264507113.0,750681544,9665212,1793168810.0,4542856099.0,2262195616.0,869980044,322851896,217211392,701553281,2280660483.0,4560087295.0,4081489293.0,167079481,0,8908157,59451740,259803712,-67368357,-179312544,50.2,33.64,99.19,67.01,89.5,2.63,3.66,167079481.2,10.5,-1.4291295236395385,-4.901781484196732,-1.2823188492986803,-1.4291295236395385,-4.16509521463222,-9.092399800763172,1.443507228736407,20.15897328100198,160.34022122443182,-198.98544305569925,-451.90335479520326,-47.07243939082812,1.0037930314376,1.999459072926814,2.0157793882843418,0.0
18,CJ대한통운,운수창고업,A000120,12,2015,Annual,4500489064.0,1239297511.0,795501657,9904924,1772594157.0,4500489064.0,2128783996.0,1285580125,390689710,209336849,312024763,2371705068.0,5055766404.0,4506506640.0,186633718,0,6957032,48984004,171874165,-86381816,-100776380,52.7,31.21,89.76,59.23,89.14,2.11,3.69,186633717.8,10.86,-0.93260790297377,-1.9936306993316169,-1.1473907467752564,-0.93260790297377,-5.89743959613438,47.77122002582394,3.992027120154207,10.869947808751323,11.703553831364854,-17.607114610943263,-33.844607655182394,28.223130037147847,1.1233815552273498,2.131701142867398,2.374955098074685,1.0
19,CJ대한통운,운수창고업,A000120,12,2016,Annual,5521193039.0,1511133286.0,1061758766,15248404,2036542847.0,5521193039.0,2781927821.0,1362369307,587109362,365933811,394120586,2739265218.0,6081945642.0,5410826301.0,228444490,0,12169048,68210131,208404672,-705460945,543229979,49.61,32.53,101.56,65.57,88.97,2.67,3.76,228444490.4,11.03,22.67984568976613,21.93466642087043,14.890531425801148,22.67984568976613,30.68154524964777,5.973115211313651,15.497717442158798,20.29720434053504,22.402582152920505,39.24980693697477,21.254216420484127,716.6776037679041,1.1015636655047227,2.2202836008849727,2.1862341632622826,0.0
