Unnamed: 0,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,통합_등급차이
1148,진양폴리,화학,A010640,12,2022,Annual,46084521,11294654,7174566,2700394,34187162,46084521,15374878,7993270,4007474,1400000,3722000,30709643,52720490,44269915,3288372,0,14467,3493036,4935121,-1699044,-3603463,66.64,13.69,50.07,20.55,83.97,11.61,6.24,3288372.49,16.03,-4.172109221,-9.066372471,-0.004928508,-4.172109221,-17.42742968,-18.72386234,4.202603297,-0.657489805,-30.2634188,-8.129230043,-2.469294391,-35.12590937,1.143995616,1.716740569,3.429002168,0
1149,진양홀딩스,화학,A100250,12,2020,Annual,548008472,139332687,34651110,12732179,152105393,548008472,159267419,101445650,28643205,53717741,17660890,388741053,211539921,177128218,11580142,256285,112972,30322599,13806534,5440158,-8650507,70.94,14.16,40.97,19.97,83.73,7.96,5.47,11580141.75,16.27,6.627163548,7.304811495,6.835589636,6.627163548,12.74970097,8.804993442,4.306595251,-6.101012843,-10.0467324,32.50944606,-34.78876387,-131.6677382,0.386015786,0.544166662,1.328205871,0
1150,진양홀딩스,화학,A100250,12,2021,Annual,566089269,165041513,33171093,12063970,159132367,566089269,176049121,114537540,25781939,54758030,21216175,390040148,224791428,193466354,6857969,423279,133159,14973553,13592364,2018924,-10315588,68.9,14.37,45.14,20.86,86.06,3.85,3.05,6857969.37,13.94,3.299364503,18.45139612,4.619805953,3.299364503,10.53680791,12.90532418,0.334180038,6.264305544,-40.77819598,-50.61916361,-1.551222052,-62.88850434,0.39709537,0.576328948,1.276867653,-1
1151,진양홀딩스,화학,A100250,12,2022,Annual,597085262,251311599,33572712,13044246,168394256,597085262,194455945,153726031,29957376,58299879,22965396,402629317,234557603,201248485,5231538,501013,105509,27888409,8233891,5362734,-11746673,67.43,14.51,48.3,21.52,85.8,7.04,2.23,5231538.2,14.2,5.475460267,52.27174935,5.820242088,5.475460267,10.45550463,34.21453874,3.227659784,4.344549562,-23.71592814,86.25111221,-39.42267144,165.6233717,0.392837703,0.58256464,1.206224901,1
1152,진양화학,화학,A051630,12,2020,Annual,38258642,12228033,5534038,2831768,25228063,38258642,10653288,8046491,6075515,218759,0,27605353,43288270,38399100,196205,145512,116532,826102,574799,455871,-431628,72.15,0.82,38.59,1.14,88.71,3.05,0.45,196204.53,11.29,2.125481276,16.83240013,-3.568853245,2.125481276,-1.438142657,-0.748595597,3.570617506,-2.791993342,-107.1464396,-139.4122668,-49.72039136,-138.4971558,1.13146384,1.568111446,4.063371797,1
1153,진양화학,화학,A051630,12,2021,Annual,33655064,8762063,2897233,1595234,21087890,33655064,8263266,5124755,4120895,63922,0,25391798,34785241,34057601,-3856328,170064,138337,-2212663,-2196632,5689691,-437461,75.45,0.23,32.54,0.31,97.91,-8.35,-11.09,-3856327.93,2.09,-12.03277942,-28.34446063,-16.41098248,-12.03277942,-22.43459484,-36.31068499,-8.018571615,-19.64280162,-2065.458576,-367.8438014,-482.1565452,1148.092333,1.033581187,1.369940049,4.209623773,-1
1154,진양화학,화학,A051630,12,2022,Annual,44569287,11971608,3621409,1800726,26505309,44569287,9828096,6509319,4723749,393,0,34741192,29090014,26423690,-1055629,120823,87823,-1112808,-1044460,-11786095,10704046,77.95,0.2,28.29,0.25,90.83,-3.7,-3.63,-1055629,9.17,32.42966051,36.6300151,25.68971576,32.42966051,18.93718537,27.01717448,36.82052764,-16.37253857,-72.62605774,-49.7072984,-52.45175341,-307.1482441,0.652691931,0.837334942,2.959882972,1
1155,진원생명과학,의약품,A011000,12,2020,Annual,136570536,108760184,7407597,8299048,22426859,136570536,38061744,36705093,6881195,150861,0,98508792,41502729,30090751,-18459101,8396387,168083,-18648412,-15915810,-44305356,106234937,72.13,13.01,38.64,18.03,72.5,-30.43,-44.48,-18459101.15,27.5,166.9880024,197.1919642,124.1803974,166.9880024,40.48995602,62.03277358,309.4268839,0.634020534,124.8642952,144.7759768,1153.206478,-523.1351902,0.303892261,0.421309897,1.090405342,0
1156,진원생명과학,의약품,A011000,12,2021,Annual,250856561,134633081,7437524,10687688,110382000,250856561,44349792,34758541,17530542,0,0,206506769,38700355,29942915,-27434048,11440903,194454,-15887888,-4849168,-146398011,111023458,82.32,7.33,21.48,8.91,77.37,-10.42,-70.89,-27434047.83,22.63,83.68278279,23.78894192,392.1866232,83.68278279,16.52065129,-5.303220455,109.6328305,-6.752264411,48.6207156,-14.8029977,-69.53238321,230.4296009,0.154272844,0.187404777,0.872616381,-1
1157,진원생명과학,의약품,A011000,12,2022,Annual,222866687,73063156,8980464,14863749,144369111,222866687,41395394,33835688,7493172,701146,0,181471293,48718300,39382490,-40083889,12147371,341711,-38150070,-24113048,8055142,7012570,81.43,8.82,22.81,10.84,80.84,-19.67,-82.28,-40083888.92,19.16,-11.15772053,-45.73164674,30.79044681,-11.15772053,-6.661582539,-2.65503952,-12.12331979,25.88592534,46.11000535,140.1204616,397.2615508,-105.5022209,0.218598395,0.268462847,1.176901469,0
