,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,환경_등급차이,사회_등급차이,지배구조_등급차이,통합_등급차이,t+1년도_환경_등급차이,t+1년도_사회_등급차이,t+1년도_지배구조_등급차이,t+1년도_통합_등급차이
219,국보,운수창고업,A001140,12,2022,Annual,109959854.0,60512506.0,8388501,27490643,7115035.0,109959854.0,66871514.0,54665743,11198816,9310380,466611,43088341.0,58834598.0,57926172.0,-10102055,0,103417,-24431931,1455929,-16850636,17536260,39.19,35.19,155.2,89.81,98.46,-65.21,-17.17,-10102055.06,1.54,7.471930398,1.700504535,-51.92230764,7.471930398,-5.108607317,-10.62563316,35.31359906,-39.25158578,26.13751961,38.27527928,-28.40167635,-12.2824185,0.535055258,1.365441245,0.879815552,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
220,국제약품,의약품,A002720,12,2021,Annual,139783047.0,48197308.0,20652658,16540406,80044734.0,139783047.0,71195238.0,54516685,7248969,32000000,0,68587809.0,119745569.0,65275254.0,-1675904,2772337,2442168,-1555791,9597052,-3381762,-2433896,49.07,25.74,103.8,52.47,54.51,-2.24,-1.4,-1675903.58,45.49,-4.012005393,-3.489961855,-5.69900911,-4.012005393,-5.233093731,-1.519089956,-2.710759992,-8.166858227,-127.7404445,-170.8927812,88.17948268,-62.34377189,0.856653017,1.745872492,1.68193228,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.0,1.0
221,국제약품,의약품,A002720,12,2022,Annual,136592863.0,48535452.0,19131334,22235167,76828012.0,136592863.0,62513603.0,47855143,7068443,27000000,0,74079260.0,126583403.0,63329270.0,5272527,1966817,2919682,3542774,6503789,-1346899,-7473649,54.23,20.94,84.39,38.6,50.03,4.97,4.17,5272527.16,49.97,-2.282239562,0.701582752,-4.018655368,-2.282239562,-12.19412315,-12.21927195,8.00645345,5.710302316,-414.607937,-327.7152908,-32.23138731,-60.17167973,0.926720476,1.70875631,2.024893734,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
222,그린케미칼,화학,A083420,12,2021,Annual,211689251.0,103451540.0,43195240,35213613,79879463.0,211689251.0,88296552.0,77813473,25642402,38017386,0,123392699.0,286224270.0,254329238.0,20850252,0,0,15928806,15654812,-29949454,7892978,58.29,18.68,71.56,32.04,88.86,13.46,7.28,20850251.54,11.14,19.70679642,25.99648092,-6.556108667,19.70679642,38.82307646,50.78544549,8.969364612,18.08029308,41.75835069,54.04805383,-52.59884962,-539.3134791,1.35209638,2.319620791,3.241624543,-2.0,-1.0,-2.0,-2.0,0.0,-1.0,0.0,0.0
223,그린케미칼,화학,A083420,12,2022,Annual,196645335.0,93549310.0,33312554,42728348,84717620.0,196645335.0,74168153.0,67888816,21350503,35590764,0,122477182.0,324927356.0,293989607.0,17219652,0,0,2870341,18757156,-18077555,-8510462,62.28,18.58,60.56,29.83,90.48,2.33,5.3,17219652.08,9.52,-7.106603632,-9.571853643,6.05682214,-7.106603632,-16.00107669,-12.75441979,-0.741953947,13.52194417,-17.41273918,-81.98018734,19.81719103,-39.63978442,1.652352221,2.652962378,4.380955206,1.0,1.0,2.0,1.0,-2.0,-1.0,-2.0,-2.0
224,극동유화,화학,A014530,12,2021,Annual,321935348.0,145898981.0,71626293,27504728,109160489.0,321935348.0,139852067.0,112208708,17780887,55700000,20000000,182083282.0,964831743.0,912748923.0,20485806,0,273845,11007701,-14225850,-2934367,10242188,56.56,28.19,76.81,49.84,94.6,6.2,2.12,20485805.84,5.4,10.00490515,31.04811342,0.539986464,10.00490515,16.63183206,35.98040047,5.404937887,54.90317614,43.17128161,53.47240754,-158.3931158,-72.4087211,2.996973613,5.298848595,6.898945176,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
225,극동유화,화학,A014530,12,2022,Annual,353076047.0,169686700.0,90039959,35911137,117309156.0,353076047.0,147759136.0,127554547,13002976,88700000,12000000,205316911.0,1242475835.0,1175131286.0,30590827,0,326795,20430243,-2447534,-8418528,13703275,58.15,32.02,71.97,55.07,94.58,10.55,2.46,30590826.52,5.42,9.672966698,16.3042393,7.464850217,9.672966698,5.653880682,13.67615693,12.75989138,28.77642594,49.32693886,85.59954526,-82.79516514,186.8941751,3.519003471,6.051502669,8.408791961,0.0,-1.0,0.0,0.0,-2.0,0.0,-2.0,-2.0
226,금강공업,철강금속,A014280,12,2021,Annual,868658748.0,355324568.0,97425441,126845810,421857812.0,868658748.0,481987959.0,405262571,56967196,286819436,16249990,386670790.0,570535533.0,474051304.0,25916333,361817,260722,22029791,-20224458,-5343579,35810848,44.51,40.92,124.65,91.92,83.09,5.95,4.54,25916333.0,16.91,11.48653871,15.79891538,9.897200543,11.48653871,13.17066653,15.03192529,9.456164139,13.66759765,-1878.637612,858.60806,-244.91494,-114.1773759,0.656800538,1.475507196,1.183713249,-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.0
227,금강공업,철강금속,A014280,12,2022,Annual,1094801795.0,443511159.0,110664665,189876694,559968679.0,1094801795.0,646587485.0,523650510,72836917,344553843,12362000,448214310.0,728931700.0,618585241.0,34368945,259615,302273,53379797,-27283945,-37227024,58650945,40.94,43.43,144.26,106.09,84.86,12.79,4.71,34368944.96,15.14,26.03358885,24.81860219,32.73872453,26.03358885,34.15013237,29.21265063,15.91625786,27.76271728,32.61499997,142.3073238,34.90569191,596.6683565,0.665811568,1.626301713,1.127352009,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0
228,금비,비금속광물,A008870,9,2021,Annual,337872961.0,92691311.0,35322689,25252065,170360260.0,337872961.0,176002341.0,79339731,15082163,11600000,71800430,161870621.0,228581174.0,185852942.0,9896691,1231641,340618,5165946,31167962,-17638599,-7947309,47.91,34.06,108.73,71.09,81.31,3.24,4.33,9896690.53,18.69,1.167910668,-6.51324479,8.13529543,1.167910668,-0.295971438,-2.484955758,2.809164699,4.251959885,49.11410169,-242.7914049,60.04842744,-80.94174264,0.67652994,1.412122673,1.298739396,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,1.0,0.0
229,금비,비금속광물,A008870,9,2022,Annual,307313894.0,84705727.0,38850701,31819999,173189297.0,307313894.0,173724376.0,79004755,16209715,15597931,82974817,133589518.0,234952393.0,205790034.0,-6481,1134770,257330,-20527522,-7857365,-15753954,6100065,43.47,41.42,130.04,95.29,87.59,-13.9,0.0,-6480.78,12.41,-9.04454352,-8.6152455,1.660620264,-9.04454352,-1.29428108,-0.422204608,-17.47142429,2.787289473,-100.0654865,-497.3623031,-125.209749,-10.68477718,0.764535537,1.758763685,1.352443442,1.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0
230,금양,화학,A001570,12,2021,Annual,314832085.0,195111094.0,58845936,60030850,77429613.0,314832085.0,197424609.0,127750499,24102858,57435836,8249987,117407476.0,217583032.0,175619843.0,12570727,1326516,0,13332209,-39808116,-13099414,55844960,37.29,44.21,168.15,118.55,80.71,13.52,5.78,12570727.01,19.29,43.20201525,54.36221894,40.75465267,43.20201525,40.95927006,58.79875939,47.1385892,23.50755828,109.2699564,-436.4790638,7743.407364,297.8700547,0.691108189,1.853229789,1.102106941,0.0,-1.0,-2.0,-1.0,0.0,0.0,2.0,1.0
231,금양,화학,A001570,12,2022,Annual,278599452.0,141599406.0,36691873,52018776,123962221.0,278599452.0,160842411.0,103934074,20661586,47651640,11739540,117757042.0,202836313.0,153763777.0,7924632,490749,0,-33310344,45999421,-69233226,10954989,42.27,40.9,136.59,96.77,75.81,-28.33,3.91,7924631.74,24.19,-11.50855797,-27.42626619,60.09665578,-11.50855797,-18.52970518,-18.64292131,0.297737429,-6.777513331,-36.95963646,-349.8486485,-215.5528712,428.5215507,0.728057114,1.722498371,1.261087245,0.0,0.0,-1.0,0.0,0.0,-1.0,-2.0,-1.0
232,금호건설,건설업,A002990,12,2021,Annual,1735985669.0,989098098.0,104896629,275881866,34217020.0,1735985669.0,1083164234.0,869873885,237587694,31355450,95102805,652821435.0,2065076215.0,1873480167.0,111591653,0,1105000,148124652,181187511,-30527437,-40955796,37.61,10.28,165.92,27.34,90.72,28.4,5.4,111591652.9,9.28,26.04792188,26.55029388,-4.622155861,26.04792188,9.748422685,4.621762722,67.2654726,12.87165745,37.3986829,460.5607278,72.13471237,260.7221643,1.189569852,3.163309451,1.906521791,0.0,3.0,-1.0,0.0,-1.0,-3.0,0.0,0.0
233,금호건설,건설업,A002990,12,2022,Annual,1691163707.0,1052601903.0,113207000,284259191,33969478.0,1691163707.0,1147826600.0,861502417,232931439,31355450,169177760,543337108.0,2048507175.0,1910319291.0,55946616,0,976000,20751614,57060137,-4488563,21988486,32.13,14.71,211.25,45.78,93.25,3.47,2.73,55946616.13,6.75,-2.581931568,6.420374797,-0.723446986,-2.581931568,5.969765615,-0.962377207,-16.77094549,-0.802345205,-49.86487385,-85.99043865,-68.5076876,-85.29662677,1.211300341,3.770232412,1.784683484,1.0,0.0,2.0,1.0,0.0,3.0,-1.0,0.0
234,금호석유,화학,A011780,12,2021,Annual,8115674807.0,3445210514.0,832138739,780319057,3416203924.0,8115674807.0,3032766422.0,2360281020,443426404,387903825,158296391,5082908385.0,8461841500.0,5763735450.0,2406835527,54417000,10727000,1965576709,2127031389,-1758508513,-166557427,62.63,12.73,59.67,20.33,68.11,47.75,28.44,2406835527.0,31.89,61.43264803,102.0080627,49.80421885,61.43264803,61.48498222,95.02492868,61.40143849,75.93883613,224.301442,237.1588935,175.6885044,779.0500136,1.042654086,1.664763726,2.790139537,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0
