,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,환경_등급
1524,두산에너빌리티,기계,A034020,12,2015,Annual,27260140610.0,10724405644.0,2512793814,2196491765,7206578366.0,27260140610.0,20234032938.0,12455495879,2259960867,3943165036,3282290331,7026107672.0,14470549809.0,12283242564.0,-27331742,241117000,89996000,-1750899330,-74372146,-379715192,1058645080,25.77,46.11,287.98,178.91,84.88,-23.82,-0.19,-27331742.04,15.12,-1.0589681039782972,-0.8132900656624531,0.2286268628206134,-1.0589681039782972,1.806942723793848,11.888381363184797,-8.478492929137971,-19.48121383401592,-103.11257615137426,1948.426115193192,-112.31716579371778,-30.29404317203848,0.5308318110322469,2.059540002022332,0.7151589529057235,4.0
1525,두산에너빌리티,기계,A034020,12,2016,Annual,24832568190.0,9028233955.0,2102275429,1738986482,6387955013.0,24832568190.0,18009737274.0,11580255572,2454857937,2298659347,2534990813,6822830916.0,13952279021.0,11526074486.0,798184942,191636000,66449000,-215524786,967566786,804766783,-2251618952,27.48,41.91,263.96,152.54,82.61,-3.11,5.72,798184941.6,17.39,-8.905208724820291,-15.81599713126256,-11.359390149175264,-8.905208724820291,-10.99284394176664,-7.02694068146783,-2.8931631208853448,-3.5815556066685184,-3020.358834061876,-87.6906237664732,-1400.9800550867524,-311.9395799681357,0.5618540504650075,2.04493987800298,0.7747075267523417,5.0
1526,두산에너빌리티,기계,A034020,12,2017,Annual,24929774708.0,9197344072.0,1959806125,1737966743,6904855603.0,24929774708.0,18452088874.0,11809509967,2827162503,3765146759,2062073720,6477685834.0,13836617280.0,11480811540.0,817931911,176417000,73977000,-197950237,429324785,-457137175,703612292,25.98,44.49,284.86,171.21,82.97,-2.98,5.91,817931911.0,17.03,0.3914477039034025,1.8731251077775068,8.091800724145148,0.3914477039034025,2.456180194469626,1.979700651463312,-5.058678519947069,-0.8289809917499058,2.473984155917597,-8.154305277908968,-55.628408166544894,-156.80368333492711,0.5550237594228964,2.1360432775814053,0.7498672575491737,4.0
1527,두산에너빌리티,기계,A034020,12,2018,Annual,24810203016.0,9777535549.0,2112062463,1891576146,6414487023.0,24810203017.0,18688381802.0,11522075572,3082932726,2840071600,3043437045,6121821215.0,14743600025.0,12175126403.0,1002399740,189015000,73657000,-430071231,989560099,-792967955,-110115949,24.67,43.23,305.27,175.22,82.58,-6.83,6.8,1002399740.0,17.42,-0.4796340656926579,6.308250212866451,-7.101793407337098,-0.4796340616813888,1.2805754926367596,-2.433923133162974,-5.493699881709945,6.554945668049861,22.55295661156813,117.26229658416626,130.4921899628972,73.46389625827302,0.5942555171955631,2.408368279177196,0.788917958826278,5.0
1528,디씨엠,철강금속,A024090,12,2011,Annual,168124804.0,117148503.0,19742000,31391891,22894135.0,168124804.0,29426588.0,27084610,8042000,6846907,333400,138698216.0,174808421.0,140606797.0,24379963,0,1323000,16556304,10590627,-11796777,-4224779,82.5,4.31,21.22,5.23,80.43,12.49,13.95,24379962.96,19.57,4.667835419948085,-0.0703713181666954,9.253805774278211,4.667835419948085,-14.16565644780212,-12.801873732333146,9.778237193693418,13.440508900238155,-4.106501730648205,-33.77213488539541,14.579974034404408,10.965826356880816,1.0397539021071514,1.2603508973756374,5.940492353377836,3.0
1529,디씨엠,철강금속,A024090,12,2012,Annual,195844414.0,139845314.0,25738000,32816156,30697970.0,195844414.0,52880498.0,49818079,11589000,20213863,200200,142963916.0,158216325.0,137115773.0,10627195,0,2475000,11283887,-2034740,1067567,6714754,73.0,10.49,36.99,14.37,86.66,8.01,6.72,10627195.32,13.34,16.487519592885302,19.37439268856897,34.08661213887312,16.487519592885302,79.70312426299644,83.93500589449137,3.075526220178637,-9.491588508770988,-56.41012662734558,-31.845374426562834,-119.21264907167442,-109.04964974755391,0.8078674380776569,1.1066871237634537,2.99195981475061,3.0
1530,디씨엠,철강금속,A024090,12,2013,Annual,161652082.0,103027472.0,14965963,32178551,29696775.0,161652082.0,22979308.0,17307921,8378000,4616290,67000,138672773.0,126711116.0,117515803.0,822959,0,205000,2798492,29491052,-6670175,-22015316,85.78,2.9,16.57,3.38,92.74,1.99,0.65,822959.46,7.26,-17.45892634956645,-26.32754787908017,-3.2614371569195,-17.45892634956645,-56.54483435462352,-65.25775110678194,-3.0015567005033605,-19.912742253367345,-92.25610332735968,-75.19921991420155,-1549.376922850094,-724.8015347046133,0.7838508136257719,0.9137418489496854,5.514139764347995,3.0
1531,디씨엠,철강금속,A024090,12,2014,Annual,156796347.0,94989433.0,10943554,24317962,27786917.0,156796347.0,21228097.0,15387568,6941000,5067000,0,135568250.0,112238364.0,106662259.0,-954425,0,1000,185144,10843224,-10904393,-2836528,86.46,3.23,15.66,3.74,95.03,0.14,-0.85,-954425.04,4.97,-3.003818410455117,-7.80184046445399,-6.431196653508675,-3.003818410455117,-7.62081695410497,-11.095226283965587,-2.2387401166341414,-11.421848735039152,-215.97479339797,-93.38415117856331,-63.23215597734526,63.479863721716455,0.7158225695143268,0.8279103993744849,5.2872550940388106,3.0
1532,디씨엠,철강금속,A024090,12,2015,Annual,163227897.0,85298818.0,10780000,16620429,31314529.0,163227897.0,24648895.0,19668476,8488000,4000000,0,138579003.0,106154561.0,92935003.0,6250259,0,1000,4452084,18076088,-13256858,-3049576,84.9,2.45,17.79,2.89,87.55,3.25,5.89,6250259.45,12.45,4.101849388111067,-10.20178212875531,12.695226318198593,4.101849388111067,16.11448261236039,27.820562677610905,2.220839318940837,-5.420430932154352,-754.87167666396,2304.660156418787,66.70399873690702,21.57355297080728,0.6503457004043861,0.7660219708753425,4.3066661203270975,2.0
1533,디씨엠,철강금속,A024090,12,2016,Annual,181951790.0,99980922.0,13583000,20182447,30855423.0,181951790.0,27494241.0,20314033,9644000,3000000,0,154457549.0,128540730.0,101363377.0,19438575,148000,0,20833743,15913453,-8588307,-6618762,84.89,1.65,17.8,1.94,78.86,14.22,15.12,19438574.94,21.14,11.471012825705884,17.212552699147608,-1.4661117847245886,11.471012825705884,11.543503268604937,3.2821912587431834,11.458118225890246,21.088278062776777,211.0043119813115,367.9548499084923,-11.964065454870545,-35.21611983774737,0.7064548801635862,0.832207495407039,4.675187432888218,3.0
