,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,환경_등급,사회_등급,지배구조_등급,통합_등급
1655,티에이치엔,전기전자,A019180,12,2023,Annual,402977300.0,202306023.0,38245099,99067293,165048206.0,402977300.0,284771236.0,211790140,69921128,42371823,39515425,118206064.0,586298306.0,493438431.0,43062857,0,0,27567227,44720082,-13035938,-24590032,29.33,30.16,240.91,102.83,84.16,26.3,7.34,43062857.02,15.84,8.515687343,7.106395728,8.269355595,8.515687343,1.73323791,8.741028229,29.27965082,24.83282132,3715.623258,-535.7245855,49.66955954,-30.80648042,1.454916458,4.959968094,2.058839629,2.0,3.0,2.0,2.0
1656,파미셀,의약품,A005690,12,2020,Annual,69744383.0,42939491.0,10161971,6337937,16839796.0,69744383.0,12639165.0,6507671,1971838,0,0,57105218.0,37752048.0,19972757.0,7233379,4308449,13228,5241801,8978055,-3604844,-178475,81.88,4.4,22.13,5.37,52.91,9.65,19.16,7233378.52,47.09,10.23994206,23.91451517,-5.376250556,10.23994206,7.596179164,17.74515317,10.84274521,16.22463627,268.3761589,20.58078345,-11991.62108,117.957316,0.54129159,0.661096294,2.986909974,3.0,2.0,3.0,3.0
1657,파미셀,의약품,A005690,12,2021,Annual,94332951.0,65041397.0,6568993,18435275,19161869.0,94332951.0,30461553.0,24943030,837767,0,0,63871399.0,51811621.0,28103650.0,7862970,6994159,0,9450907,-5222200,-9345099,18512491,67.71,18.28,47.69,27.0,54.24,15.62,15.18,7862970.35,45.76,35.25526636,51.47221237,13.78919911,35.25526636,141.0092202,283.2865859,11.84862126,37.24188155,8.70396809,80.29885148,-158.1662732,159.2372652,0.549242025,0.811186569,1.700885736,2.0,3.0,4.0,3.0
1658,파미셀,의약품,A005690,12,2022,Annual,109647189.0,62363173.0,10753010,22860322,36552833.0,109647189.0,32982274.0,28546176,2655621,0,0,76664915.0,60181807.0,36362213.0,8873367,6884276,0,8261769,7914448,-20532117,-269807,69.92,15.36,43.02,21.97,60.42,11.76,14.74,8873366.51,39.58,16.23424036,-4.117722133,90.7581823,16.23424036,8.275090242,14.44550241,20.03011708,16.15503595,12.8500681,-12.58226327,-251.5539045,119.7099999,0.54886776,0.784998027,1.824671246,1.0,1.0,1.0,1.0
1659,파미셀,의약품,A005690,12,2023,Annual,92518753.0,43166152.0,6865860,20872380,40002802.0,92518753.0,12121807.0,7763157,1776574,0,0,80396946.0,56227379.0,40735416.0,1295996,6544418,0,3577984,11814412,5915783,-18713126,86.9,3.27,15.08,3.77,72.45,4.56,2.3,1295996.46,27.55,-15.62140914,-30.78262391,9.438308106,-15.62140914,-63.24750986,-72.8049144,4.867977744,-6.570803034,-85.39454076,-56.6922774,49.27651303,-128.8123383,0.607740346,0.699372076,4.63853112,2.0,1.0,1.0,1.0
1660,팜스코,음식료품,A036580,12,2020,Annual,989343685.0,468257686.0,163747190,93174152,424243727.0,989343685.0,682191883.0,590928577,50509392,414844766,70380819,307151802.0,1333937111.0,1157826144.0,39715048,197156,689292,11482260,30067140,-25224660,15431356,31.05,51.97,222.1,167.4,86.8,3.78,2.98,39715048.45,13.2,1.032014791,5.64198417,0.155621119,1.032014791,0.430609089,-6.513272961,2.393863474,14.50398306,96.53469884,-244.2740204,113.0696168,-67.81621139,1.348305075,4.342924581,1.955369368,1.0,4.0,4.0,3.0
1661,팜스코,음식료품,A036580,12,2021,Annual,1107610571.0,613831113.0,165363481,120483039,408334853.0,1107610571.0,793651852.0,760627106,57790065,513920023,12186741,313958719.0,1536856092.0,1355797813.0,36128222,174275,993577,2130934,3552464,-38759735,92549681,28.35,56.7,252.79,200.05,88.22,0.69,2.35,36128221.59,11.78,11.95407499,31.08831555,-3.749937356,11.95407499,16.33850706,28.71726561,2.216140995,15.21203506,-9.031402908,-81.44151064,-88.18489554,53.65810679,1.387541914,4.895089701,1.936436094,4.0,5.0,4.0,4.0
1662,팜스코,음식료품,A036580,12,2022,Annual,1223174230.0,706573722.0,202187352,184733305,404649381.0,1223174230.0,945322533.0,864151912,96273730,615518472,70693579,277851697.0,1901506810.0,1727484995.0,18799102,177155,941095,-34318064,-82145862,-63930974,98877725,22.72,61.41,340.23,270.34,90.85,-11.6,0.99,18799101.78,9.15,10.43360022,15.10881528,-0.902561212,10.43360022,19.11048032,13.61045448,-11.50056355,23.72705681,-47.96560429,-1710.470526,-2412.362968,64.94172109,1.554567423,6.84360337,2.011489987,3.0,5.0,2.0,3.0
1663,팜스코,음식료품,A036580,12,2023,Annual,1119229512.0,649782213.0,212135951,168112572,376187841.0,1119229512.0,878222194.0,843260669,83198903,589815930,19954000,241007318.0,1854547689.0,1650354334.0,31480473,384947,1309888,-33998532,-5534593,8523116,-60725988,21.53,61.9,364.4,287.46,88.99,-13.11,1.7,31480472.7,11.01,-8.497948653,-8.03759144,-7.033629937,-8.497948653,-7.098142344,-2.417542878,-13.26044771,-2.469574169,67.45732323,-0.931089819,-93.26248107,-113.3317475,1.656986051,7.694984967,2.111706698,4.0,5.0,5.0,5.0
1664,팜젠사이언스,의약품,A004720,12,2020,Annual,135543934.0,74900840.0,21404052,16419653,17214389.0,135543934.0,51973965.0,37687817,4480323,0,0,83569969.0,96614310.0,43015223.0,-669905,1114873,90592,9124059,2675612,-7720668,19567694,61.66,15.79,62.19,25.61,44.52,13.05,-0.69,-669904.65,55.48,35.49662671,47.98118293,10.38213709,35.49662671,18.69245243,24.21829487,48.57901639,1.552109712,-156.421605,3766.192224,6.032188368,-29.52355932,0.712789626,1.156088858,1.8588982,1.0,3.0,2.0,2.0
