,종목명,2011환경,2012환경,2013환경,2014환경,2015환경,2016환경,2017환경,2018환경,종목코드,시장구분,업종명,시가총액,2012-2011환경차이,2013-2012환경차이,2014-2013환경차이,2015-2014환경차이,2016-2015환경차이,2017-2016환경차이,2018-2017환경차이
147,대원화성,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,24890.0,KOSPI,화학,70618548224.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
148,대유에이텍,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2880.0,KOSPI,운수장비,54643759380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,대유플러스,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,300.0,KOSPI,전기전자,30475633069.0,-1.0,0.0,0.0,0.0,-1.0,2.0,-1.0
150,대창,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,12800.0,KOSPI,철강금속,137349000000.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0
151,대창단조,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,15230.0,KOSPI,운수장비,166290000000.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0
152,대한방직,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1070.0,KOSPI,섬유의복,34768000000.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
153,대한유화,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,6650.0,KOSPI,화학,869050000000.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0
154,대한전선,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,1440.0,KOSPI,전기전자,2321270000000.0,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0
155,대한제강,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,84010.0,KOSPI,철강금속,325928000000.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
156,대한제당,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,1790.0,KOSPI,음식료품,278059000000.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0
157,대한제분,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1130.0,KOSPI,음식료품,221897000000.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0
158,대한항공,4.0,3.0,4.0,4.0,1.0,2.0,4.0,3.0,3490.0,KOSPI,운수창고업,7640580000000.0,-1.0,1.0,0.0,-3.0,1.0,2.0,-1.0
159,대한화섬,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3830.0,KOSPI,화학,143822000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
160,대현,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,16090.0,KOSPI,섬유의복,84667776720.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0
161,대호에이엘,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,69460.0,KOSPI,철강금속,75582738624.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0
162,더존비즈온,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,12510.0,KOSPI,서비스업,1637630000000.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
163,덕성,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4830.0,KOSPI,화학,125440000000.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0
164,덕양산업,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,24900.0,KOSPI,운수장비,169989000000.0,1.0,-1.0,0.0,1.0,0.0,0.0,-1.0
165,케이비아이동국실업,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1620.0,KOSPI,운수장비,64661251011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,하이스틸,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,71090.0,KOSPI,철강금속,65824195460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,하이트론,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,19490.0,KOSPI,전기전자,36143092216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,하이트진로,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,80.0,KOSPI,음식료품,1476310000000.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
169,하이트진로홀딩스,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,140.0,KOSPI,기타금융,208861000000.0,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0
170,한국가스공사,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,36460.0,KOSPI,전기가스업,2372440000000.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0
171,한국공항,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5430.0,KOSPI,운수창고업,216262000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
172,한국금융지주,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,71050.0,KOSPI,기타금융,3672340000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0
173,한국내화,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,10040.0,KOSPI,비금속광물,114577000000.0,0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0
174,한국단자,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,25540.0,KOSPI,전기전자,655104000000.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
175,한국석유,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4090.0,KOSPI,비금속광물,203741000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
176,한국수출포장,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2200.0,KOSPI,종이목재,105800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,한국쉘석유,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2960.0,KOSPI,화학,350350000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
178,한국전력,5.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,15760.0,KOSPI,전기가스업,13417000000000.0,-1.0,0.0,1.0,-1.0,-2.0,2.0,0.0
179,한국전자홀딩스,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,6200.0,KOSPI,기타금융,42731263168.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0
181,한국주강,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,25890.0,KOSPI,기계,26859490125.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,한국주철관,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,970.0,KOSPI,철강금속,147063000000.0,0.0,-1.0,1.0,-1.0,0.0,1.0,-2.0
183,한국철강,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,104700.0,KOSPI,철강금속,514494000000.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0
184,한국카본,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,17960.0,KOSPI,기계,573069000000.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
185,한국앤컴퍼니,4.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,240.0,KOSPI,기타금융,1471500000000.0,0.0,0.0,0.0,-1.0,2.0,-1.0,-2.0
186,한국무브넥스,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,10100.0,KOSPI,운수장비,145858000000.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0
187,한국화장품제조,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3350.0,KOSPI,화학,117379000000.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
188,한농화성,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11500.0,KOSPI,화학,276776000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,한독,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2390.0,KOSPI,의약품,183606000000.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
190,한미글로벌,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,53690.0,KOSPI,서비스업,167431000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,한미반도체,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,42700.0,KOSPI,기계,12371800000000.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0
192,한미사이언스,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,8930.0,KOSPI,기타금융,2298090000000.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0
193,한샘,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,9240.0,KOSPI,유통업,1195520000000.0,0.0,1.0,0.0,0.0,0.0,-2.0,1.0
194,한섬,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,20000.0,KOSPI,섬유의복,446911000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0
195,한성기업,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3680.0,KOSPI,음식료품,31979002250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,한세실업,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,105630.0,KOSPI,섬유의복,854000000000.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
197,한세예스24홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,16450.0,KOSPI,섬유의복,187200000000.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
198,한솔로지스틱스,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,9180.0,KOSPI,운수창고업,62026222875.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
199,한솔케미칼,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,14680.0,KOSPI,화학,2157090000000.0,0.0,-1.0,2.0,0.0,-1.0,1.0,0.0
200,한솔테크닉스,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4710.0,KOSPI,전기전자,176604000000.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-1.0
201,한솔PNS,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,10420.0,KOSPI,유통업,25226897772.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
202,한솔홀딩스,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4150.0,KOSPI,기타금융,115734000000.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
203,한솔홈데코,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,25750.0,KOSPI,종이목재,60182166303.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
204,한신공영,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4960.0,KOSPI,건설업,74631027900.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
205,한신기계,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,11700.0,KOSPI,기계,142763000000.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
206,한양증권,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1750.0,KOSPI,증권,130849000000.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
207,한온시스템,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,18880.0,KOSPI,기계,2749070000000.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0
208,한올바이오파마,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,9420.0,KOSPI,의약품,1810140000000.0,0.0,0.0,0.0,0.0,-1.0,2.0,-1.0
209,한익스프레스,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,14130.0,KOSPI,운수창고업,53760000000.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
210,한일시멘트,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,300720.0,KOSPI,비금속광물,873388000000.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0
211,한일철강,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2220.0,KOSPI,철강금속,64207391300.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
212,한전KPS,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,51600.0,KOSPI,건설업,1539000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
213,한전기술,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,52690.0,KOSPI,서비스업,2262620000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,한진,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2320.0,KOSPI,운수창고업,316142000000.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0
215,HJ중공업,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,97230.0,KOSPI,건설업,250656000000.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
216,한진중공업홀딩스,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3480.0,KOSPI,전기가스업,101730000000.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
217,한창,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,5110.0,KOSPI,유통업,23332434378.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
218,한창제지,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,9460.0,KOSPI,종이목재,49285343436.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
219,한화,5.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,880.0,KOSPI,화학,2001400000000.0,-2.0,-2.0,3.0,0.0,0.0,1.0,0.0
220,한화손해보험,4.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,370.0,KOSPI,보험,544587000000.0,0.0,-1.0,1.0,-1.0,2.0,0.0,-1.0
221,한화솔루션,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,9830.0,KOSPI,화학,4314500000000.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,2.0
222,한화에어로스페이스,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,12450.0,KOSPI,운수장비,11138600000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
223,한화투자증권,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,3530.0,KOSPI,증권,736972000000.0,-1.0,1.0,-1.0,0.0,2.0,0.0,-1.0
224,HDC현대EP,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,89470.0,KOSPI,화학,130471000000.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0
225,현대건설,4.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,720.0,KOSPI,건설업,3786100000000.0,0.0,0.0,0.0,-1.0,0.0,-2.0,3.0
226,현대그린푸드,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,453340.0,KOSPI,유통업,406910000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
227,현대글로비스,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,86280.0,KOSPI,운수창고업,6671250000000.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0
228,현대리바트,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,79430.0,KOSPI,기타제조업,153193000000.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
229,현대모비스,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,12330.0,KOSPI,운수장비,22383600000000.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0
230,HD현대미포,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,10620.0,KOSPI,운수장비,2923770000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
231,현대백화점,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,69960.0,KOSPI,유통업,1170120000000.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
232,현대비앤지스틸,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4560.0,KOSPI,철강금속,303838000000.0,-1.0,0.0,0.0,1.0,-2.0,1.0,0.0
233,HMM,5.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,11200.0,KOSPI,운수창고업,11107300000000.0,-2.0,1.0,-1.0,-2.0,0.0,3.0,-1.0
234,현대약품,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4310.0,KOSPI,의약품,121280000000.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0
235,현대엘리베이,4.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,17800.0,KOSPI,기계,1581290000000.0,0.0,0.0,-1.0,-2.0,1.0,2.0,0.0
236,현대차,5.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,5380.0,KOSPI,운수장비,51307000000000.0,0.0,-1.0,0.0,-2.0,0.0,1.0,0.0
237,현대제철,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,4020.0,KOSPI,철강금속,4276940000000.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0
238,현대코퍼레이션,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,11760.0,KOSPI,유통업,218543000000.0,0.0,1.0,0.0,-2.0,1.0,0.0,-1.0
239,HD현대중공업,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,329180.0,KOSPI,운수장비,10883600000000.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0
240,현대차증권,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,1500.0,KOSPI,증권,274314000000.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0
241,현대해상,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,1450.0,KOSPI,보험,2749050000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
242,형지엘리트,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,93240.0,KOSPI,섬유의복,37697305580.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
243,혜인,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3010.0,KOSPI,유통업,69284471150.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0
244,호텔신라,3.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,8770.0,KOSPI,유통업,2276390000000.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0
245,화성산업,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2460.0,KOSPI,건설업,101297000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,화승알앤에이,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,378850.0,KOSPI,운수장비,74265065930.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0
247,화승인더,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,6060.0,KOSPI,화학,221003000000.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0
248,화신,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,10690.0,KOSPI,운수장비,367363000000.0,0.0,0.0,1.0,-1.0,0.0,-1.0,1.0
249,화천기계,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,10660.0,KOSPI,기계,80960000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0
250,화천기공,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,850.0,KOSPI,기계,66880000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,환인제약,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,16580.0,KOSPI,의약품,256495000000.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0
252,황금에스티,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,32560.0,KOSPI,철강금속,116280000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
253,효성,4.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,4800.0,KOSPI,기타금융,1224230000000.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0
254,효성ITX,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,94280.0,KOSPI,서비스업,144478000000.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
255,후성,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,93370.0,KOSPI,화학,748212000000.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0
256,휴니드,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5870.0,KOSPI,전기전자,103753000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
257,휴스틸,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5010.0,KOSPI,철강금속,251161000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,TKG휴켐스,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,69260.0,KOSPI,화학,791001000000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
259,흥국화재,2.0,3.0,3.0,3.0,4.0,6.0,5.0,4.0,540.0,KOSPI,보험,260825000000.0,1.0,0.0,0.0,1.0,2.0,-1.0,-1.0
260,흥아해운,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3280.0,KOSPI,운수창고업,688817000000.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0
261,동국제강,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,460860.0,KOSPI,철강금속,557594000000.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0
262,동남합성,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,23450.0,KOSPI,화학,108500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,동방,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4140.0,KOSPI,운수창고업,106497000000.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0
264,동방아그로,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,7590.0,KOSPI,화학,85654559330.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
265,KG스틸,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,16380.0,KOSPI,철강금속,696062000000.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
266,동성제약,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2210.0,KOSPI,의약품,136769000000.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0
267,동성케미컬,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,102260.0,KOSPI,서비스업,223604000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
268,동아쏘시오홀딩스,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,640.0,KOSPI,기타금융,721871000000.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
269,다스코,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,58730.0,KOSPI,기계,65852614695.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0
270,동아지질,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,28100.0,KOSPI,건설업,172707000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
271,동양고속,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,84670.0,KOSPI,운수창고업,33588600400.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0
272,TYM,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2900.0,KOSPI,기계,210388000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0
273,동양생명,4.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,82640.0,KOSPI,보험,855201000000.0,0.0,0.0,0.0,1.0,1.0,-2.0,0.0
274,동양철관,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8970.0,KOSPI,철강금속,83100817710.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
275,HLB글로벌,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3580.0,KOSPI,광업,325019000000.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
276,동원F&B,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,49770.0,KOSPI,음식료품,749635000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0
277,동원금속,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,18500.0,KOSPI,운수장비,76865109852.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
278,동원산업,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,6040.0,KOSPI,기타금융,1722180000000.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
279,동원수산,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,30720.0,KOSPI,"농업, 임업 및 어업",27690139750.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0
280,동원시스템즈,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14820.0,KOSPI,화학,1174150000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,DI동일,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1530.0,KOSPI,유통업,675780000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
282,동일산업,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4890.0,KOSPI,철강금속,105012000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
283,동화약품,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,20.0,KOSPI,의약품,243004000000.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0
284,두산,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,150.0,KOSPI,기타금융,2204280000000.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
285,HD현대인프라코어,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,42670.0,KOSPI,기계,1536950000000.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0
286,두산에너빌리티,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,34020.0,KOSPI,기계,10076000000000.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0
287,디씨엠,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,24090.0,KOSPI,철강금속,124260000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
288,디아이,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3160.0,KOSPI,의료정밀,538549000000.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
289,디아이씨,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,92200.0,KOSPI,운수장비,240331000000.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
290,디와이,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,13570.0,KOSPI,기타금융,150285000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
291,DN오토모티브,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,7340.0,KOSPI,전기전자,790526000000.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
292,스틱인베스트먼트,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,26890.0,KOSPI,기타금융,360099000000.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0
293,롯데손해보험,3.0,5.0,4.0,4.0,4.0,6.0,5.0,5.0,400.0,KOSPI,보험,1013250000000.0,2.0,-1.0,0.0,0.0,2.0,-1.0,0.0
294,롯데쇼핑,4.0,5.0,4.0,5.0,2.0,2.0,3.0,4.0,23530.0,KOSPI,유통업,1892520000000.0,1.0,-1.0,1.0,-3.0,0.0,1.0,1.0
295,롯데정밀화학,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4000.0,KOSPI,화학,1111980000000.0,0.0,-1.0,1.0,-1.0,0.0,2.0,-1.0
296,롯데지주,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,4990.0,KOSPI,기타금융,2774850000000.0,1.0,0.0,0.0,-2.0,0.0,1.0,1.0
297,롯데칠성,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,5300.0,KOSPI,음식료품,1183060000000.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0
