,종목명,2011환경,2012환경,2013환경,2014환경,2015환경,2016환경,2017환경,2018환경,종목코드,시장구분,업종명,시가총액,2012-2011환경차이,2013-2012환경차이,2014-2013환경차이,2015-2014환경차이,2016-2015환경차이,2017-2016환경차이,2018-2017환경차이
36,LG생활건강,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,51900.0,KOSPI,화학,5973960000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,LG유플러스,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,32640.0,KOSPI,통신업,4243860000000.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0
38,LG이노텍,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,11070.0,KOSPI,전기전자,4366580000000.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0
39,LG전자,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,66570.0,KOSPI,전기전자,15055600000000.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0
40,LX하우시스,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,108670.0,KOSPI,화학,352878000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
41,LG화학,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,51910.0,KOSPI,화학,26683900000000.0,0.0,1.0,0.0,-1.0,-1.0,1.0,0.0
42,LS,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,6260.0,KOSPI,기타금융,4079740000000.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0
43,LS네트웍스,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,680.0,KOSPI,유통업,344369000000.0,0.0,0.0,0.0,-2.0,1.0,1.0,0.0
44,LSELECTRIC,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,10120.0,KOSPI,전기전자,4758000000000.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
45,MH에탄올,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,23150.0,KOSPI,음식료품,45082793860.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0
46,NAVER,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,35420.0,KOSPI,서비스업,29379700000000.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,0.0
47,NH투자증권,5.0,5.0,4.0,5.0,5.0,6.0,5.0,4.0,5940.0,KOSPI,증권,3853960000000.0,0.0,-1.0,1.0,0.0,1.0,-1.0,-1.0
48,NICE,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,34310.0,KOSPI,서비스업,461293000000.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0
