,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액,2012-2011사회차이,2013-2012사회차이,2014-2013사회차이,2015-2014사회차이,2016-2015사회차이,2017-2016사회차이,2018-2017사회차이
50,SK네트웍스,6.0,5.0,4.0,5.0,4.0,4.0,4.0,6.0,1740.0,KOSPI,유통업,1199330000000.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,2.0
51,SK이노베이션,5.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,96770.0,KOSPI,화학,10588400000000.0,-1.0,1.0,0.0,0.0,-1.0,1.0,1.0
52,SK증권,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,1510.0,KOSPI,증권,281664000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0
53,SK텔레콤,6.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,17670.0,KOSPI,통신업,10954300000000.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,1.0
54,SK하이닉스,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,660.0,KOSPI,전기전자,124925000000000.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0
55,SPC삼립,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5610.0,KOSPI,음식료품,508249000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,TCC스틸,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2710.0,KOSPI,철강금속,1420780000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,WISCOM,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,24070.0,KOSPI,화학,36706819010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,강원랜드,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,35250.0,KOSPI,서비스업,3209110000000.0,2.0,0.0,0.0,-1.0,1.0,0.0,-1.0
59,경농,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2100.0,KOSPI,화학,191712000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
60,경동나비엔,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,9450.0,KOSPI,전기전자,789618000000.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
61,경동인베스트,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,12320.0,KOSPI,기타금융,165552000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
62,경방,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.0,KOSPI,유통업,210001000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,경인양행,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12610.0,KOSPI,화학,137542000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,계룡건설,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,13580.0,KOSPI,건설업,117888000000.0,1.0,0.0,-1.0,0.0,1.0,-1.0,1.0
65,계양전기,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,12200.0,KOSPI,기계,50062782531.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
66,고려산업,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2140.0,KOSPI,음식료품,78434491625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,고려아연,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,10130.0,KOSPI,철강금속,9847940000000.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0
68,고려제강,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2240.0,KOSPI,철강금속,511250000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,광동제약,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,9290.0,KOSPI,의약품,354365000000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70,광주신세계,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,37710.0,KOSPI,유통업,245479000000.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
71,교보증권,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,30610.0,KOSPI,증권,562977000000.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
72,국도화학,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7690.0,KOSPI,화학,312668000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,국동,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5320.0,KOSPI,유통업,40384171685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,국보,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1140.0,KOSPI,운수창고업,32447620090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,국제약품,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2720.0,KOSPI,의약품,106434000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,극동유화,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14530.0,KOSPI,화학,139652000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,금강공업,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14280.0,KOSPI,철강금속,156325000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,금호건설,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2990.0,KOSPI,건설업,155205000000.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0
79,금호석유,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,11780.0,KOSPI,화학,3406510000000.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0
80,금호전기,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1210.0,KOSPI,전기전자,27295981353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,기신정기,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,92440.0,KOSPI,기계,87600000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,기아,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,270.0,KOSPI,운수장비,46275300000000.0,1.0,-1.0,0.0,0.0,0.0,-1.0,1.0
83,기업은행,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,24110.0,KOSPI,은행,10876900000000.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
84,까뮤이앤씨,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,13700.0,KOSPI,건설업,70753622760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,깨끗한나라,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4540.0,KOSPI,종이목재,82115728065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,이엔플러스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,74610.0,KOSPI,기계,210769000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,비비안,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2070.0,KOSPI,섬유의복,30121723890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,남해화학,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,25860.0,KOSPI,화학,356694000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,넥센,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5720.0,KOSPI,화학,223278000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,넥센타이어,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2350.0,KOSPI,화학,899521000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
91,노루페인트,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,90350.0,KOSPI,화학,181400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,녹십자,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,6280.0,KOSPI,의약품,1308890000000.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0
93,녹십자홀딩스,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5250.0,KOSPI,서비스업,738813000000.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0
94,농심,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4370.0,KOSPI,음식료품,2405680000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,농심홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,72710.0,KOSPI,기타금융,304239000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,다우기술,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,23590.0,KOSPI,서비스업,847979000000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
97,KIB플러그에너지,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15590.0,KOSPI,기계,103087000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,대교,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,19680.0,KOSPI,서비스업,209640000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
99,대구백화점,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,6370.0,KOSPI,유통업,78132031420.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0
100,대덕전자,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,353200.0,KOSPI,전기전자,1129180000000.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0
101,대동,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,490.0,KOSPI,기계,302818000000.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
102,DL,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,210.0,KOSPI,화학,1058270000000.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0
103,대림통상,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6570.0,KOSPI,기계,44761500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,대상,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1680.0,KOSPI,음식료품,758792000000.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0
105,대신증권,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3540.0,KOSPI,증권,767694000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106,대영포장,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14160.0,KOSPI,종이목재,140371000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,대우건설,3.0,3.0,5.0,5.0,4.0,5.0,5.0,6.0,47040.0,KOSPI,건설업,1541960000000.0,0.0,2.0,0.0,-1.0,1.0,0.0,1.0
108,대우부품,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9320.0,KOSPI,운수장비,68428080760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,한화오션,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,42660.0,KOSPI,운수장비,9864760000000.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,0.0
110,대웅,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3090.0,KOSPI,의약품,1054700000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,대웅제약,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,69620.0,KOSPI,의약품,1283790000000.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0
112,대원강업,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,430.0,KOSPI,운수장비,341000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,대원제약,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3220.0,KOSPI,의약품,337957000000.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0
114,대유에이텍,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2880.0,KOSPI,운수장비,54643759380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,대유플러스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,300.0,KOSPI,전기전자,30475633069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,대창,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12800.0,KOSPI,철강금속,137349000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,대한유화,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,6650.0,KOSPI,화학,869050000000.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
118,대한제강,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,84010.0,KOSPI,철강금속,325928000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
