,종목명,2011통합등급,2012통합등급,2013통합등급,2014통합등급,2015통합등급,2016통합등급,2017통합등급,2018통합등급,종목코드,시장구분,업종명,시가총액,2012-2011통합등급차이,2013-2012통합등급차이,2014-2013통합등급차이,2015-2014통합등급차이,2016-2015통합등급차이,2017-2016통합등급차이,2018-2017통합등급차이
119,하이스틸,3,3,3,3,3,3,3,3,71090.0,KOSPI,철강금속,65824195460.0,0,0,0,0,0,0,0
120,한국가스공사,5,4,4,5,4,4,4,4,36460.0,KOSPI,전기가스업,2372440000000.0,-1,0,1,-1,0,0,0
121,한국공항,3,3,3,3,3,3,3,3,5430.0,KOSPI,운수창고업,216262000000.0,0,0,0,0,0,0,0
122,한국내화,3,3,3,3,3,3,3,3,10040.0,KOSPI,비금속광물,114577000000.0,0,0,0,0,0,0,0
123,한국단자,3,3,3,3,3,3,3,3,25540.0,KOSPI,전기전자,655104000000.0,0,0,0,0,0,0,0
124,한국석유,3,3,3,3,3,3,3,3,4090.0,KOSPI,비금속광물,203741000000.0,0,0,0,0,0,0,0
125,한국쉘석유,3,4,4,4,4,3,3,3,2960.0,KOSPI,화학,350350000000.0,1,0,0,0,-1,0,0
126,한국전력,6,5,5,5,4,4,4,5,15760.0,KOSPI,전기가스업,13417000000000.0,-1,0,0,-1,0,0,1
128,한국주철관,3,3,3,3,3,3,3,3,970.0,KOSPI,철강금속,147063000000.0,0,0,0,0,0,0,0
129,한국철강,4,4,4,4,3,3,4,3,104700.0,KOSPI,철강금속,514494000000.0,0,0,0,-1,0,1,-1
130,한국카본,3,3,3,3,3,3,3,3,17960.0,KOSPI,기계,573069000000.0,0,0,0,0,0,0,0
131,한국앤컴퍼니,4,5,5,4,4,5,4,3,240.0,KOSPI,기타금융,1471500000000.0,1,0,-1,0,1,-1,-1
132,한국무브넥스,3,3,3,3,3,3,3,3,10100.0,KOSPI,운수장비,145858000000.0,0,0,0,0,0,0,0
133,한국화장품제조,3,3,3,3,3,3,3,3,3350.0,KOSPI,화학,117379000000.0,0,0,0,0,0,0,0
134,한농화성,3,3,3,3,3,3,3,3,11500.0,KOSPI,화학,276776000000.0,0,0,0,0,0,0,0
135,한독,4,4,4,4,3,4,4,4,2390.0,KOSPI,의약품,183606000000.0,0,0,0,-1,1,0,0
136,한미글로벌,4,3,3,3,3,3,3,3,53690.0,KOSPI,서비스업,167431000000.0,-1,0,0,0,0,0,0
137,한미반도체,3,3,3,3,3,3,3,3,42700.0,KOSPI,기계,12371800000000.0,0,0,0,0,0,0,0
138,한샘,4,3,3,3,3,3,3,3,9240.0,KOSPI,유통업,1195520000000.0,-1,0,0,0,0,0,0
139,한섬,3,3,3,3,3,3,3,3,20000.0,KOSPI,섬유의복,446911000000.0,0,0,0,0,0,0,0
140,한성기업,3,3,3,3,3,3,3,3,3680.0,KOSPI,음식료품,31979002250.0,0,0,0,0,0,0,0
141,한세실업,3,3,3,3,3,3,3,3,105630.0,KOSPI,섬유의복,854000000000.0,0,0,0,0,0,0,0
142,한솔로지스틱스,3,3,3,3,3,3,3,3,9180.0,KOSPI,운수창고업,62026222875.0,0,0,0,0,0,0,0
143,한솔케미칼,3,3,3,4,4,4,4,4,14680.0,KOSPI,화학,2157090000000.0,0,0,1,0,0,0,0
144,한솔테크닉스,3,3,3,3,3,3,4,4,4710.0,KOSPI,전기전자,176604000000.0,0,0,0,0,0,1,0
145,한솔PNS,3,3,3,3,3,3,3,3,10420.0,KOSPI,유통업,25226897772.0,0,0,0,0,0,0,0
146,한솔홀딩스,4,4,4,4,3,3,3,4,4150.0,KOSPI,기타금융,115734000000.0,0,0,0,-1,0,0,1
147,한양증권,4,3,3,3,3,3,3,3,1750.0,KOSPI,증권,130849000000.0,-1,0,0,0,0,0,0
148,한온시스템,3,3,3,3,3,3,3,4,18880.0,KOSPI,기계,2749070000000.0,0,0,0,0,0,0,1
149,한올바이오파마,4,3,3,3,3,3,3,3,9420.0,KOSPI,의약품,1810140000000.0,-1,0,0,0,0,0,0
150,한익스프레스,3,3,3,3,3,3,3,3,14130.0,KOSPI,운수창고업,53760000000.0,0,0,0,0,0,0,0
151,한전KPS,5,4,4,4,4,4,4,4,51600.0,KOSPI,건설업,1539000000000.0,-1,0,0,0,0,0,0
152,한전기술,5,4,3,3,3,4,4,4,52690.0,KOSPI,서비스업,2262620000000.0,-1,-1,0,0,1,0,0
153,한진,3,3,3,3,3,3,3,3,2320.0,KOSPI,운수창고업,316142000000.0,0,0,0,0,0,0,0
154,HJ중공업,3,3,3,3,3,3,3,3,97230.0,KOSPI,건설업,250656000000.0,0,0,0,0,0,0,0
155,한진중공업홀딩스,3,3,3,3,3,3,3,3,3480.0,KOSPI,전기가스업,101730000000.0,0,0,0,0,0,0,0
156,한창,3,3,3,3,3,3,3,3,5110.0,KOSPI,유통업,23332434378.0,0,0,0,0,0,0,0
157,한창제지,3,3,3,3,3,3,3,3,9460.0,KOSPI,종이목재,49285343436.0,0,0,0,0,0,0,0
158,한화,3,3,3,4,4,4,5,5,880.0,KOSPI,화학,2001400000000.0,0,0,1,0,0,1,0
159,한화손해보험,3,3,3,3,3,4,4,3,370.0,KOSPI,보험,544587000000.0,0,0,0,0,1,0,-1
160,한화솔루션,5,4,4,4,3,4,3,4,9830.0,KOSPI,화학,4314500000000.0,-1,0,0,-1,1,-1,1
161,한화에어로스페이스,4,5,5,5,4,4,4,4,12450.0,KOSPI,운수장비,11138600000000.0,1,0,0,-1,0,0,0
162,한화투자증권,3,3,3,3,3,4,4,3,3530.0,KOSPI,증권,736972000000.0,0,0,0,0,1,0,-1
163,HDC현대EP,3,3,3,3,3,3,3,3,89470.0,KOSPI,화학,130471000000.0,0,0,0,0,0,0,0
164,현대건설,5,4,4,4,4,4,3,5,720.0,KOSPI,건설업,3786100000000.0,-1,0,0,0,0,-1,2
165,현대그린푸드,3,3,3,3,3,3,4,4,453340.0,KOSPI,유통업,406910000000.0,0,0,0,0,0,1,0
166,현대글로비스,4,3,4,3,3,4,4,4,86280.0,KOSPI,운수창고업,6671250000000.0,-1,1,-1,0,1,0,0
167,현대리바트,3,3,3,3,3,4,4,4,79430.0,KOSPI,기타제조업,153193000000.0,0,0,0,0,1,0,0
168,현대모비스,5,4,4,5,3,4,3,4,12330.0,KOSPI,운수장비,22383600000000.0,-1,0,1,-2,1,-1,1
169,HD현대미포,4,3,5,5,4,4,4,4,10620.0,KOSPI,운수장비,2923770000000.0,-1,2,0,-1,0,0,0
170,현대백화점,4,3,3,3,4,4,4,3,69960.0,KOSPI,유통업,1170120000000.0,-1,0,0,1,0,0,-1
171,현대비앤지스틸,3,3,3,3,3,3,3,3,4560.0,KOSPI,철강금속,303838000000.0,0,0,0,0,0,0,0
172,HMM,5,4,4,3,3,3,4,4,11200.0,KOSPI,운수창고업,11107300000000.0,-1,0,-1,0,0,1,0
173,현대약품,3,4,3,4,3,3,4,3,4310.0,KOSPI,의약품,121280000000.0,1,-1,1,-1,0,1,-1
174,현대엘리베이,4,4,4,3,3,4,5,5,17800.0,KOSPI,기계,1581290000000.0,0,0,-1,0,1,1,0
175,현대차,6,5,5,4,3,4,4,4,5380.0,KOSPI,운수장비,51307000000000.0,-1,0,-1,-1,1,0,0
176,현대제철,5,5,4,4,4,3,3,3,4020.0,KOSPI,철강금속,4276940000000.0,0,-1,0,0,-1,0,0
177,HD현대중공업,3,4,5,5,4,5,4,4,329180.0,KOSPI,운수장비,10883600000000.0,1,1,0,-1,1,-1,0
178,현대해상,5,4,4,5,4,5,5,5,1450.0,KOSPI,보험,2749050000000.0,-1,0,1,-1,1,0,0
179,형지엘리트,3,3,3,3,3,3,3,3,93240.0,KOSPI,섬유의복,37697305580.0,0,0,0,0,0,0,0
180,혜인,3,3,3,3,3,3,3,3,3010.0,KOSPI,유통업,69284471150.0,0,0,0,0,0,0,0
181,호텔신라,3,3,3,3,3,3,4,5,8770.0,KOSPI,유통업,2276390000000.0,0,0,0,0,0,1,1
182,화성산업,4,3,3,3,3,3,3,3,2460.0,KOSPI,건설업,101297000000.0,-1,0,0,0,0,0,0
183,화승알앤에이,3,3,3,3,3,3,4,4,378850.0,KOSPI,운수장비,74265065930.0,0,0,0,0,0,1,0
184,화승인더,3,3,3,3,3,3,3,3,6060.0,KOSPI,화학,221003000000.0,0,0,0,0,0,0,0
185,화신,3,3,3,3,3,3,3,3,10690.0,KOSPI,운수장비,367363000000.0,0,0,0,0,0,0,0
186,화천기계,3,3,3,3,3,3,3,3,10660.0,KOSPI,기계,80960000000.0,0,0,0,0,0,0,0
187,화천기공,3,3,3,3,3,3,3,3,850.0,KOSPI,기계,66880000000.0,0,0,0,0,0,0,0
188,환인제약,3,3,3,3,3,3,3,3,16580.0,KOSPI,의약품,256495000000.0,0,0,0,0,0,0,0
189,황금에스티,3,3,3,3,3,3,3,3,32560.0,KOSPI,철강금속,116280000000.0,0,0,0,0,0,0,0
190,효성,3,4,4,3,3,3,3,3,4800.0,KOSPI,기타금융,1224230000000.0,1,0,-1,0,0,0,0
191,후성,3,3,3,3,3,3,3,3,93370.0,KOSPI,화학,748212000000.0,0,0,0,0,0,0,0
192,휴니드,4,3,3,3,3,3,3,3,5870.0,KOSPI,전기전자,103753000000.0,-1,0,0,0,0,0,0
193,TKG휴켐스,3,4,4,4,3,4,4,3,69260.0,KOSPI,화학,791001000000.0,1,0,0,-1,1,0,-1
194,흥국화재,3,3,3,3,3,4,4,3,540.0,KOSPI,보험,260825000000.0,0,0,0,0,1,0,-1
195,흥아해운,3,3,3,3,3,3,3,3,3280.0,KOSPI,운수창고업,688817000000.0,0,0,0,0,0,0,0
196,동국제강,3,4,4,4,3,3,3,3,460860.0,KOSPI,철강금속,557594000000.0,1,0,0,-1,0,0,0
197,동방,3,3,3,3,3,3,3,3,4140.0,KOSPI,운수창고업,106497000000.0,0,0,0,0,0,0,0
198,동방아그로,3,3,3,3,3,3,3,3,7590.0,KOSPI,화학,85654559330.0,0,0,0,0,0,0,0
199,KG스틸,4,4,3,3,4,4,4,3,16380.0,KOSPI,철강금속,696062000000.0,0,-1,0,1,0,0,-1
200,동성제약,3,3,3,3,3,3,3,3,2210.0,KOSPI,의약품,136769000000.0,0,0,0,0,0,0,0
201,동성케미컬,3,3,3,3,3,3,3,3,102260.0,KOSPI,서비스업,223604000000.0,0,0,0,0,0,0,0
202,동아쏘시오홀딩스,3,4,3,3,3,3,3,3,640.0,KOSPI,기타금융,721871000000.0,1,-1,0,0,0,0,0
203,다스코,3,3,3,3,3,3,3,3,58730.0,KOSPI,기계,65852614695.0,0,0,0,0,0,0,0
204,동아지질,3,3,3,3,3,3,3,3,28100.0,KOSPI,건설업,172707000000.0,0,0,0,0,0,0,0
205,동양고속,3,3,3,3,3,3,3,3,84670.0,KOSPI,운수창고업,33588600400.0,0,0,0,0,0,0,0
