,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액,2012-2011지배구조차이,2013-2012지배구조차이,2014-2013지배구조차이,2015-2014지배구조차이,2016-2015지배구조차이,2017-2016지배구조차이,2018-2017지배구조차이
60,남해화학,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,25860.0,KOSPI,화학,356694000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,넥센타이어,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2350.0,KOSPI,화학,899521000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,노루페인트,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,90350.0,KOSPI,화학,181400000000.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
63,녹십자,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,6280.0,KOSPI,의약품,1308890000000.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0
64,농심,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4370.0,KOSPI,음식료품,2405680000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,KIB플러그에너지,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15590.0,KOSPI,기계,103087000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,대구백화점,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6370.0,KOSPI,유통업,78132031420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,대덕전자,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,353200.0,KOSPI,전기전자,1129180000000.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0
68,대동,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,490.0,KOSPI,기계,302818000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,대림B&Co,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5750.0,KOSPI,비금속광물,66355515200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,DL,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,210.0,KOSPI,화학,1058270000000.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0
71,대림통상,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6570.0,KOSPI,기계,44761500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,대상,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1680.0,KOSPI,음식료품,758792000000.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
73,대영포장,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14160.0,KOSPI,종이목재,140371000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,대우건설,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,47040.0,KOSPI,건설업,1541960000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
75,한화오션,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,42660.0,KOSPI,운수장비,9864760000000.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0
76,대원강업,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,430.0,KOSPI,운수장비,341000000000.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0
77,대원전선,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6340.0,KOSPI,전기전자,170556000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,대원화성,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,24890.0,KOSPI,화학,70618548224.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0
79,대유에이텍,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2880.0,KOSPI,운수장비,54643759380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,대유플러스,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,300.0,KOSPI,전기전자,30475633069.0,1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0
81,대창,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12800.0,KOSPI,철강금속,137349000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,대창단조,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,15230.0,KOSPI,운수장비,166290000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
83,대한유화,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,6650.0,KOSPI,화학,869050000000.0,1.0,-1.0,1.0,0.0,-1.0,0.0,0.0
84,대한전선,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1440.0,KOSPI,전기전자,2321270000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,대한제강,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,84010.0,KOSPI,철강금속,325928000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,대한항공,5.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,3490.0,KOSPI,운수창고업,7640580000000.0,1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0
87,대한화섬,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3830.0,KOSPI,화학,143822000000.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
88,대호에이엘,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,69460.0,KOSPI,철강금속,75582738624.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0
89,케이비아이동국실업,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1620.0,KOSPI,운수장비,64661251011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,하이트진로,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,80.0,KOSPI,음식료품,1476310000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,한국가스공사,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,36460.0,KOSPI,전기가스업,2372440000000.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
92,한국공항,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5430.0,KOSPI,운수창고업,216262000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,한국단자,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,25540.0,KOSPI,전기전자,655104000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,한국석유,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4090.0,KOSPI,비금속광물,203741000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,한국수출포장,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2200.0,KOSPI,종이목재,105800000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,한국카본,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,17960.0,KOSPI,기계,573069000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
