,종목명,2020사회,2021사회,2022사회,2023사회,2024사회,종목코드,시장구분,업종명,시가총액,2021-2020사회차이,2022-2021사회차이,2023-2022사회차이,2024-2023사회차이
99,국보,2.0,1.0,1.0,1.0,1.0,1140.0,KOSPI,운수창고업,32447620090.0,-1.0,0.0,0.0,0.0
100,국제약품,3.0,3.0,2.0,2.0,2.0,2720.0,KOSPI,의약품,106434000000.0,0.0,-1.0,0.0,0.0
101,극동유화,2.0,2.0,2.0,1.0,1.0,14530.0,KOSPI,화학,139652000000.0,0.0,0.0,-1.0,0.0
102,금강공업,3.0,2.0,1.0,1.0,1.0,14280.0,KOSPI,철강금속,156325000000.0,-1.0,-1.0,0.0,0.0
103,금비,3.0,2.0,1.0,1.0,1.0,8870.0,KOSPI,비금속광물,60100000000.0,-1.0,-1.0,0.0,0.0
104,금양,2.0,2.0,1.0,1.0,1.0,1570.0,KOSPI,화학,5572800000000.0,0.0,-1.0,0.0,0.0
105,금호건설,4.0,1.0,4.0,4.0,4.0,2990.0,KOSPI,건설업,155205000000.0,-3.0,3.0,0.0,0.0
106,금호석유,5.0,5.0,5.0,6.0,6.0,11780.0,KOSPI,화학,3406510000000.0,0.0,0.0,1.0,0.0
107,금호전기,3.0,3.0,2.0,2.0,2.0,1210.0,KOSPI,전기전자,27295981353.0,0.0,-1.0,0.0,0.0
108,기신정기,3.0,2.0,1.0,1.0,1.0,92440.0,KOSPI,기계,87600000000.0,-1.0,-1.0,0.0,0.0
109,기아,6.0,6.0,5.0,6.0,6.0,270.0,KOSPI,운수장비,46275300000000.0,0.0,-1.0,1.0,0.0
110,기업은행,5.0,6.0,6.0,6.0,6.0,24110.0,KOSPI,은행,10876900000000.0,1.0,0.0,0.0,0.0
111,까뮤이앤씨,2.0,2.0,1.0,1.0,1.0,13700.0,KOSPI,건설업,70753622760.0,0.0,-1.0,0.0,0.0
112,깨끗한나라,4.0,3.0,3.0,4.0,4.0,4540.0,KOSPI,종이목재,82115728065.0,-1.0,0.0,1.0,0.0
113,이엔플러스,2.0,3.0,2.0,1.0,1.0,74610.0,KOSPI,기계,210769000000.0,1.0,-1.0,-1.0,0.0
114,남광토건,3.0,2.0,1.0,1.0,1.0,1260.0,KOSPI,건설업,60666969240.0,-1.0,-1.0,0.0,0.0
115,남선알미늄,4.0,3.0,1.0,2.0,2.0,8350.0,KOSPI,철강금속,242669000000.0,-1.0,-2.0,1.0,0.0
116,남성,3.0,2.0,1.0,1.0,1.0,4270.0,KOSPI,유통업,65797494720.0,-1.0,-1.0,0.0,0.0
117,남양유업,3.0,4.0,4.0,5.0,5.0,3920.0,KOSPI,음식료품,361440000000.0,1.0,0.0,1.0,0.0
118,비비안,3.0,2.0,1.0,1.0,1.0,2070.0,KOSPI,섬유의복,30121723890.0,-1.0,-1.0,0.0,0.0
119,남해화학,3.0,3.0,2.0,2.0,2.0,25860.0,KOSPI,화학,356694000000.0,0.0,-1.0,0.0,0.0
120,넥센,4.0,5.0,5.0,5.0,5.0,5720.0,KOSPI,화학,223278000000.0,1.0,0.0,0.0,0.0
