,종목명,2020환경,2021환경,2022환경,2023환경,2024환경,종목코드,시장구분,업종명,시가총액
687,세아특수강,B,B+,C,B+,B+,19440.0,KOSPI,철강금속,116381000000.0
688,신세계인터내셔날,B,B+,C,A,A,31430.0,KOSPI,유통업,637245000000.0
689,신세계푸드,B,B+,C,B+,B+,31440.0,KOSPI,서비스업,132439000000.0
691,아이마켓코리아,D,D,D,C,C,122900.0,KOSPI,유통업,280468000000.0
692,인바이오젠,D,D,D,D,D,101140.0,KOSPI,유통업,93812977440.0
693,SJM,C,C,D,C,C,123700.0,KOSPI,운수장비,54461094020.0
694,에이블씨엔씨,D,C,D,C,C,78520.0,KOSPI,화학,169612000000.0
695,영흥,C,C,D,C,C,12160.0,KOSPI,철강금속,50047323768.0
696,우진,B,C,D,D,D,105840.0,KOSPI,의료정밀,167873000000.0
698,유니켐,B,C,D,C,C,11330.0,KOSPI,기타제조업,159327000000.0
699,이마트,A,A,A+,A,A,139480.0,KOSPI,유통업,1714360000000.0
700,이연제약,D,D,D,D,D,102460.0,KOSPI,의약품,247948000000.0
701,롯데에너지머티리얼즈,B,C,D,B,B,20150.0,KOSPI,전기전자,2051930000000.0
702,조선선재,D,D,D,D,D,120030.0,KOSPI,기계,122747000000.0
703,지역난방공사,B+,B+,A,A+,A+,71320.0,KOSPI,전기가스업,470097000000.0
704,KTis,D,B+,B+,B+,B+,58860.0,KOSPI,서비스업,98315650000.0
705,스카이라이프,C,B,B,B+,B+,53210.0,KOSPI,서비스업,257574000000.0
706,코오롱인더,B+,B+,B,B+,B+,120110.0,KOSPI,화학,983808000000.0
707,코오롱플라스틱,B,B,C,C,C,138490.0,KOSPI,화학,267140000000.0
708,티웨이홀딩스,D,D,D,C,C,4870.0,KOSPI,비금속광물,47993027990.0
709,하나투어,D,B,B+,B+,B+,39130.0,KOSPI,서비스업,936688000000.0
710,한국항공우주,A,A,B,B+,B+,47810.0,KOSPI,운수장비,4883500000000.0
711,한국화장품,D,D,D,D,D,123690.0,KOSPI,유통업,107495000000.0
