,종목명,2011환경,2012환경,2013환경,2014환경,2015환경,2016환경,2017환경,2018환경,종목코드,시장구분,업종명,시가총액
129,남성,C,B,C,C,C,C,B,C,4270.0,KOSPI,유통업,65797494720.0
130,남양유업,B,B,B,C,C,D,B,C,3920.0,KOSPI,음식료품,361440000000.0
131,비비안,B,B,C,B,C,B,C,C,2070.0,KOSPI,섬유의복,30121723890.0
132,남해화학,B,C,C,B,C,B,B,C,25860.0,KOSPI,화학,356694000000.0
133,넥센,B,B,B,B,B,B,B,B,5720.0,KOSPI,화학,223278000000.0
134,넥센타이어,C,C,B,B,C,B+,B,B,2350.0,KOSPI,화학,899521000000.0
135,노루페인트,B,B,C,B,B,B,B,B,90350.0,KOSPI,화학,181400000000.0
136,노루홀딩스,B,B,B,B,B,D,D,B,320.0,KOSPI,기타금융,149658000000.0
137,녹십자,B,B,C,B,B,C,B,B,6280.0,KOSPI,의약품,1308890000000.0
138,녹십자홀딩스,B,B,B,B,C,B,B,C,5250.0,KOSPI,서비스업,738813000000.0
139,농심,B,B,B,B,C,D,B,C,4370.0,KOSPI,음식료품,2405680000000.0
140,농심홀딩스,B,B,B,C,B,C,B,C,72710.0,KOSPI,기타금융,304239000000.0
141,다우기술,C,C,C,C,B,B,B,C,23590.0,KOSPI,서비스업,847979000000.0
144,KIB플러그에너지,B,B,B,B,B,B,B,B,15590.0,KOSPI,기계,103087000000.0
145,대교,A,B+,A,A+,A,A,A,B+,19680.0,KOSPI,서비스업,209640000000.0
146,대구백화점,B+,B,B,B,B,B+,B+,B+,6370.0,KOSPI,유통업,78132031420.0
149,대덕전자,B,B,B,B,B,B,B,B,353200.0,KOSPI,전기전자,1129180000000.0
150,대동,B,B,B,C,C,C,B,C,490.0,KOSPI,기계,302818000000.0
151,대동전자,C,C,C,C,C,B,B,C,8110.0,KOSPI,전기전자,117283000000.0
152,대림B&Co,B,B,B,C,C,B,C,B,5750.0,KOSPI,비금속광물,66355515200.0
153,DL,B+,B+,A,A,B,B,B+,B+,210.0,KOSPI,화학,1058270000000.0
154,대림통상,C,B,C,B,C,C,C,B,6570.0,KOSPI,기계,44761500000.0
155,대상,B,C,C,C,C,C,B,B,1680.0,KOSPI,음식료품,758792000000.0
156,대상홀딩스,B,B,C,B,C,B,C,B,84690.0,KOSPI,기타금융,320843000000.0
158,대성홀딩스,B,B,B,B,B,B,B,B+,16710.0,KOSPI,서비스업,144322000000.0
159,대신증권,A,A,A,B+,A,A,A,B+ 이하,3540.0,KOSPI,증권,767694000000.0
160,대양금속,C,C,D,C,C,B,C,B,9190.0,KOSPI,철강금속,76862071306.0
161,대영포장,C,C,C,C,C,C,C,C,14160.0,KOSPI,종이목재,140371000000.0
162,대우건설,B,B+,B+,D,D,B,B+,B+,47040.0,KOSPI,건설업,1541960000000.0
163,대우부품,C,C,C,C,C,B,C,B,9320.0,KOSPI,운수장비,68428080760.0
165,한화오션,B+,B+,B+,B+,B,C,C,B+,42660.0,KOSPI,운수장비,9864760000000.0
166,대웅,B,B,C,C,C,C,B,C,3090.0,KOSPI,의약품,1054700000000.0
167,대웅제약,B,B,B,B,C,C,C,C,69620.0,KOSPI,의약품,1283790000000.0
168,대원강업,C,B,B,B,C,B,B,B,430.0,KOSPI,운수장비,341000000000.0
169,대원전선,C,B,C,C,C,B,C,C,6340.0,KOSPI,전기전자,170556000000.0
170,대원제약,B+,B,B,B+,B+,B+,B+,B+,3220.0,KOSPI,의약품,337957000000.0
171,대원화성,B,B,C,B,B,B,B,C,24890.0,KOSPI,화학,70618548224.0
172,대유에이텍,C,C,C,C,C,C,C,C,2880.0,KOSPI,운수장비,54643759380.0
173,대유플러스,B,C,C,C,C,D,B,C,300.0,KOSPI,전기전자,30475633069.0
174,대창,C,B,C,C,C,C,B,B,12800.0,KOSPI,철강금속,137349000000.0
175,대창단조,C,C,B,B,B,B,C,B,15230.0,KOSPI,운수장비,166290000000.0
176,대한방직,B,B,B,B,B,B,C,C,1070.0,KOSPI,섬유의복,34768000000.0
177,대한유화,B,B,C,C,C,C,B,C,6650.0,KOSPI,화학,869050000000.0
178,대한전선,B,B,C,C,D,B,B,B,1440.0,KOSPI,전기전자,2321270000000.0
179,대한제강,B,B,B,B,B,C,B,B,84010.0,KOSPI,철강금속,325928000000.0
180,대한제당,B,B,B,B,B+,B,C,B,1790.0,KOSPI,음식료품,278059000000.0
181,대한제분,B,B,B,C,C,B,C,C,1130.0,KOSPI,음식료품,221897000000.0
