,종목명,2020지배구조,2021지배구조,2022지배구조,2023지배구조,2024지배구조,종목코드,시장구분,업종명,시가총액
32,KPX홀딩스,B,B+,C,C,C,92230.0,KOSPI,화학,238270000000.0
33,KR모터스,B,B,D,D,D,40.0,KOSPI,운수장비,31696560384.0
34,KSS해운,B+,A,B+,B+,B+,44450.0,KOSPI,운수창고업,187457000000.0
35,다올투자증권,C,B+,B+,B+,B+,30210.0,KOSPI,증권,187911000000.0
36,LF,B+,B+,B+,B+,B+,93050.0,KOSPI,섬유의복,437138000000.0
37,LG,B+,A,A,A,A,3550.0,KOSPI,기타금융,12426800000000.0
38,LG디스플레이,B+,B+,B+,B,B,34220.0,KOSPI,전기전자,5065000000000.0
41,LG생활건강,A,A,A,A,A,51900.0,KOSPI,화학,5973960000000.0
42,LG유플러스,B,A,A,A,A,32640.0,KOSPI,통신업,4243860000000.0
43,LG이노텍,B+,A,A,A,A,11070.0,KOSPI,전기전자,4366580000000.0
44,LG전자,B,A,A,A,A,66570.0,KOSPI,전기전자,15055600000000.0
45,LX하우시스,A,A,A,B+,B+,108670.0,KOSPI,화학,352878000000.0
46,LG화학,B+,B+,B+,A,A,51910.0,KOSPI,화학,26683900000000.0
47,LS,A,B+,C,A,A,6260.0,KOSPI,기타금융,4079740000000.0
48,LS네트웍스,B,B,B,B+,B+,680.0,KOSPI,유통업,344369000000.0
49,LSELECTRIC,B+,B+,A,A,A,10120.0,KOSPI,전기전자,4758000000000.0
50,MH에탄올,B+,B+,B,C,C,23150.0,KOSPI,음식료품,45082793860.0
51,NAVER,A+,A+,A,A+,A+,35420.0,KOSPI,서비스업,29379700000000.0
53,NH투자증권,B+,A,B+,A,A,5940.0,KOSPI,증권,3853960000000.0
54,NICE,B+,B+,B+,B+,B+,34310.0,KOSPI,서비스업,461293000000.0
55,NI스틸,B,B,C,D,D,8260.0,KOSPI,철강금속,126699000000.0
57,SNT에너지,B+,B,C,D,D,100840.0,KOSPI,기계,76193116650.0
58,SNT모티브,B+,B+,B,C,C,64960.0,KOSPI,운수장비,666084000000.0
59,SNT다이내믹스,B+,B,B,C,C,3570.0,KOSPI,운수장비,540356000000.0
60,SNT홀딩스,B+,B+,B,B+,B+,36530.0,KOSPI,기타금융,366837000000.0
61,S-Oil,A+,A+,A+,A+,A+,10950.0,KOSPI,화학,8567550000000.0
62,SBS,B+,B+,B+,B+,B+,34120.0,KOSPI,서비스업,422968000000.0
64,SG세계물산,C,C,D,D,D,4060.0,KOSPI,유통업,82791808640.0
65,SG글로벌,D,C,D,D,D,1380.0,KOSPI,운수장비,91502031005.0
66,SH에너지화학,B+,B+,B+,B,B,2360.0,KOSPI,화학,71236720930.0
67,SIMPAC,C,B,D,D,D,9160.0,KOSPI,철강금속,287236000000.0
68,SK,A+,A+,A+,A+,A+,34730.0,KOSPI,기타금융,11865400000000.0
69,SKC,B,B+,A,A,A,11790.0,KOSPI,화학,4161730000000.0
70,SK가스,A,A,A,A,A,18670.0,KOSPI,유통업,1426070000000.0
