,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액
242,한익스프레스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14130.0,KOSPI,운수창고업,53760000000.0
246,한전KPS,A,A,A,B+,B+,B+,B+,A,51600.0,KOSPI,건설업,1539000000000.0
247,한전기술,A,A,B이하,B이하,B이하,B+,B+,A,52690.0,KOSPI,서비스업,2262620000000.0
248,한진,B이하,B이하,B이하,B이하,B이하,B+,B이하,B+,2320.0,KOSPI,운수창고업,316142000000.0
249,HJ중공업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,97230.0,KOSPI,건설업,250656000000.0
250,한진중공업홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3480.0,KOSPI,전기가스업,101730000000.0
252,한창,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5110.0,KOSPI,유통업,23332434378.0
253,한창제지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9460.0,KOSPI,종이목재,49285343436.0
254,한화,B이하,B이하,B이하,A,B+,B+,A+,A,880.0,KOSPI,화학,2001400000000.0
256,한화손해보험,B이하,B이하,B이하,B이하,B+,B이하,B이하,B+,370.0,KOSPI,보험,544587000000.0
257,한화솔루션,A,A,A,A,B+,A+,B이하,A,9830.0,KOSPI,화학,4314500000000.0
258,한화에어로스페이스,B+,A,A,A,B+,B+,B+,B이하,12450.0,KOSPI,운수장비,11138600000000.0
259,한화투자증권,B이하,B이하,B이하,B이하,B이하,B+,B+,B이하,3530.0,KOSPI,증권,736972000000.0
262,HDC현대EP,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,89470.0,KOSPI,화학,130471000000.0
263,현대건설,A,A,B+,B+,B+,B+,B+,A,720.0,KOSPI,건설업,3786100000000.0
264,현대그린푸드,B이하,B+,B+,B이하,B이하,B이하,B이하,B이하,453340.0,KOSPI,유통업,406910000000.0
265,현대글로비스,B+,B+,B+,B이하,B이하,A+,B+,A,86280.0,KOSPI,운수창고업,6671250000000.0
266,현대리바트,B이하,B이하,B이하,B이하,B이하,B+,B+,B+,79430.0,KOSPI,기타제조업,153193000000.0
267,현대모비스,A,A,B+,A,B+,A+,A,A,12330.0,KOSPI,운수장비,22383600000000.0
268,HD현대미포,B이하,B이하,A,A,B+,B이하,B이하,B+,10620.0,KOSPI,운수장비,2923770000000.0
269,현대백화점,B+,B+,B+,B+,B+,B+,B+,B+,69960.0,KOSPI,유통업,1170120000000.0
270,현대비앤지스틸,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,4560.0,KOSPI,철강금속,303838000000.0
272,HMM,A,B+,B+,B이하,B+,B+,B+,B+,11200.0,KOSPI,운수창고업,11107300000000.0
274,현대약품,B이하,B+,B이하,B이하,B이하,B+,B+,B+,4310.0,KOSPI,의약품,121280000000.0
