,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액
232,한솔케미칼,B+,B+,B+,B+,B+,B+,B+,B+,14680.0,KOSPI,화학,2157090000000.0
235,한솔홀딩스,B+,B+,B+,B+,B이하,B이하,B이하,B이하,4150.0,KOSPI,기타금융,115734000000.0
236,한솔홈데코,B이하,B이하,B+,B+,B+,B+,B+,B+,25750.0,KOSPI,종이목재,60182166303.0
237,한신공영,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4960.0,KOSPI,건설업,74631027900.0
238,한신기계,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,11700.0,KOSPI,기계,142763000000.0
239,한양증권,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1750.0,KOSPI,증권,130849000000.0
240,한온시스템,A,B+,B+,B+,B+,B+,B+,B+,18880.0,KOSPI,기계,2749070000000.0
242,한익스프레스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14130.0,KOSPI,운수창고업,53760000000.0
245,한일철강,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2220.0,KOSPI,철강금속,64207391300.0
246,한전KPS,B이하,B이하,B이하,B+,B+,B+,B+,B+,51600.0,KOSPI,건설업,1539000000000.0
247,한전기술,B이하,B이하,B+,B+,B+,B+,A,A,52690.0,KOSPI,서비스업,2262620000000.0
249,HJ중공업,B이하,B+,B이하,B+,B이하,B+,B+,B+,97230.0,KOSPI,건설업,250656000000.0
254,한화,B+,B+,B+,B+,A,A,A,A,880.0,KOSPI,화학,2001400000000.0
256,한화손해보험,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,370.0,KOSPI,보험,544587000000.0
257,한화솔루션,A,A,B+,B+,B이하,B+,B+,B이하,9830.0,KOSPI,화학,4314500000000.0
258,한화에어로스페이스,A,A,A,A,A,A,A,A,12450.0,KOSPI,운수장비,11138600000000.0
